case,mean_mse,mean_mae,median_mse,median_mae,count
NN,0.6074622344663556,0.46840275869116305,0.4008077212788391,0.3941643091303647,36
NR,0.46627797245419345,0.43109515034572915,0.4259125043684872,0.3972506567646214,36
RN,0.6347751876146062,0.47697278405762333,0.40247610978648807,0.39429310807452345,36
RR,0.4793800319164007,0.435611419267634,0.42480299064499655,0.39764555985955313,36
