case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
RN,ETTm1,96,720,M,True,False,7,33745,10801,0.47055879831078135,0.4475337263388072,0.425,0.421,1.1071971724959562,1.063025478239447,0.3597485839854926,checkpoints/reversal/ols_RN_ETTm1_s96_p720_M.npz
NR,ETTm1,96,96,M,False,True,7,34369,11425,0.3467075546825424,0.37205168282051515,0.299,0.343,1.1595570390720482,1.0846987837332802,0.16564074996858835,checkpoints/reversal/ols_NR_ETTm1_s96_p96_M.npz
NR,ETTm1,96,192,M,False,True,7,34273,11329,0.3841789914454893,0.3917482160242351,0.335,0.365,1.1468029595387739,1.0732827836280414,0.2062140409834683,checkpoints/reversal/ols_NR_ETTm1_s96_p192_M.npz
NR,ETTm1,96,336,M,False,True,7,34129,11185,0.41913720803598997,0.4130985188523042,0.369,0.386,1.1358731925094578,1.0702034167158139,0.24976062506902963,checkpoints/reversal/ols_NR_ETTm1_s96_p336_M.npz
NR,ETTm1,96,720,M,False,True,7,33745,10801,0.48426061894341976,0.4480617918838175,0.425,0.421,1.1394367504551053,1.0642797906979038,0.39868279197253287,checkpoints/reversal/ols_NR_ETTm1_s96_p720_M.npz
RR,ETTm1,96,96,M,True,True,7,34369,11425,0.34700909453397644,0.3724262759688146,0.299,0.343,1.1605655335584497,1.0857908920373602,0.19602887495420873,checkpoints/reversal/ols_RR_ETTm1_s96_p96_M.npz
RR,ETTm1,96,192,M,True,True,7,34273,11329,0.38434570809482393,0.3919946573641324,0.335,0.365,1.1473006211785788,1.0739579653811848,0.23693616699893028,checkpoints/reversal/ols_RR_ETTm1_s96_p192_M.npz
RR,ETTm1,96,336,M,True,True,7,34129,11185,0.41923222425017503,0.4130656967003002,0.369,0.386,1.1361306890248646,1.0701183852339382,0.2945793339749798,checkpoints/reversal/ols_RR_ETTm1_s96_p336_M.npz
RR,ETTm1,96,720,M,True,True,7,33745,10801,0.48351240341513424,0.44702026507899506,0.425,0.421,1.1376762433297276,1.061805855294525,0.4064544999273494,checkpoints/reversal/ols_RR_ETTm1_s96_p720_M.npz
RN,ETTm2,96,96,M,True,False,7,34369,11425,0.19920537589361265,0.29874586529036434,0.167,0.26,1.1928465622372013,1.1490225588090937,0.19333404197823256,checkpoints/reversal/ols_RN_ETTm2_s96_p96_M.npz
