epoch,train_mse,val_mse
1,1.0781137495040893,0.4575304090976715
2,0.5873078163464864,0.3205791711807251
3,0.3786966778437297,0.30764517188072205
4,0.3445120687484741,0.29904353618621826
5,0.34365955233573914,0.2964441180229187
6,0.3357710793018341,0.3026754856109619
7,0.33332920042673747,0.29167768359184265
8,0.33078605349858603,0.2904012203216553
9,0.33397379541397093,0.29055139422416687
10,0.3265574988524119,0.28827017545700073
11,0.3236195007165273,0.2962230443954468
12,0.3225108397801717,0.2909567356109619
13,0.32128755458196007,0.2897580862045288
14,0.322461057027181,0.2875649929046631
15,0.31987136634190877,0.2924259305000305
16,0.31876254351933797,0.2870088517665863
17,0.3196711923281352,0.28534066677093506
18,0.3176595017910004,0.28523820638656616
