epoch,train_mse,val_mse
1,0.7438124349934488,0.5348097085952759
2,0.4597319267987358,0.4455932676792145
3,0.4216481177344634,0.4368983507156372
4,0.4127266617787916,0.4384230077266693
5,0.4050909914283558,0.43557852506637573
6,0.4003956032612011,0.42791038751602173
7,0.3938564218237691,0.4301031827926636
8,0.3915148488529082,0.4281883239746094
9,0.38959877644470986,0.42669931054115295
10,0.38546724084150524,0.43686577677726746
11,0.384966773244104,0.43356844782829285
12,0.3829560559774266,0.5004428625106812
13,0.38383275286687707,0.4484991729259491
