model,output_transformation,dataset,n,RR_over_NN_median,NR_over_NN_median,RN_over_NN_median,mismatch_over_matched_median,interaction_median,abs_log_interaction_median,log_interaction_mean,log_interaction_std,asymmetry_abs_log_median
ols,raw,ETTh1,4,0.9955622936446484,1.004501121871947,0.9939894691603375,1.0003715485793059,0.9992572050312434,0.0016658646581922615,0.004873883232700455,0.011900065496422864,0.01222310392005674
ols,raw,ETTh2,4,1.0426177127760592,1.0036463223784995,1.0513651771950467,1.0007332692355808,0.9981886805593778,0.0018138678175807512,-0.0025566387979155964,0.003024084355214665,0.056235154361985076
ols,raw,ETTm1,4,1.0128392724830486,1.0125052096639489,1.0002869407431951,1.0000017753345727,0.99999172174811,8.608019240261248e-05,-9.553735308133675e-05,0.0002755707818323046,0.012133744906579667
ols,raw,ETTm2,4,1.011287941980306,1.0033517522686388,1.0079452797618962,1.000002751870499,0.9999682010006501,3.6541778785880905e-05,-5.6112921968834564e-05,8.701251812990497e-05,0.003791468169333386
ols,raw,electricity,4,0.982840329918014,0.9828097262407488,0.9992402434489867,0.999759232012104,1.0004632620662204,0.0004631543132903218,0.0005958235156510135,0.000305022473189096,0.01695253948677703
ols,raw,exchange_rate,4,1.909387218935055,1.6630513982225206,1.0797370120547725,0.9488255343202597,1.0451638057325907,0.04410444242997742,0.04512560661833587,0.01610531459367992,0.41548807509350566
ols,raw,illness,4,0.2860092523380846,0.2937972873394856,1.0735084047039045,1.0609561739344646,0.9163699769042092,0.08770592055773568,-0.09035591958150238,0.06301681440243827,1.306054541766886
ols,raw,traffic,4,1.0121950410197482,1.0121907453686083,0.9994091787192101,0.999668061098254,1.0006670693217026,0.0006668467321397693,0.0006624677877599577,0.00018612434096165309,0.012768110586872775
ols,raw,weather,4,0.9807257994533969,0.9849881913489399,0.9949755670686877,0.9996148739005921,1.000699226844998,0.0006989690668960653,0.0011957673497106976,0.001211116710245051,0.010118199103236738
revin_ols,revin_current_no_floor,ETTh1,4,0.9937055632427394,1.003831401583833,0.9769492538842299,0.9943349612136299,1.0116445446620097,0.011545294288836022,0.04108080942237316,0.06495600478805952,0.02716893489726544
revin_ols,revin_current_no_floor,ETTh2,4,0.40019771857280667,1.1277303721621812,0.4077064704167364,1.10266062188813,0.9102361249593901,0.09406145929460669,-0.0916005171761681,0.06325349389484798,1.1127176261238731
revin_ols,revin_current_no_floor,ETTm1,4,1.2275535548872547,0.991771872953895,1.2396674353835353,1.0017456791714343,0.9984078244946418,0.0015935073008428464,-0.0023614080012667096,0.002636852291826718,0.2230553228490629
revin_ols,revin_current_no_floor,ETTm2,4,1.5850483453924267,1.001024510993183,1.5603996805073193,0.9915834341605396,1.0135559742619948,0.013464616083325373,0.014473638233663684,0.0061940352433908575,0.4313925059017363
revin_ols,revin_current_no_floor,electricity,4,1.0369998487535743,0.9989933948729226,1.0228747866434227,0.9989216728521458,1.0021758037854092,0.0021730013196977357,0.0023065099196318147,0.0018868468047527542,0.011946336851156588
revin_ols,revin_current_no_floor,exchange_rate,4,0.9326028820691963,1.1189315791011318,0.9557047905302603,1.062761328986071,0.8939778477917995,0.11209020874918525,-0.1923932821577637,0.17436031370052513,0.14065296941886324
revin_ols,revin_current_no_floor,illness,4,0.5352483713916792,0.8756724933606472,1.1684657860127001,1.3315805812283323,0.5250894343424284,0.6468569465160252,-0.6435555046735767,0.21332207703275585,0.28874571738568217
revin_ols,revin_current_no_floor,traffic,4,1.007571921504212,1.0102149494437636,0.9953705064899894,0.9994088449072653,1.0012957640784645,0.0012949194375002661,0.001380772828981827,0.0004071284491001445,0.014245518099607947
revin_ols,revin_current_no_floor,weather,4,0.7904842776685665,0.9672431231116674,0.8103532017503354,0.9972189077637919,1.0010479446946476,0.0015452326801000038,0.0008104879826717531,0.0020354149651916715,0.18412540406252756
