dataset,seq_len,pred_len,features,NR_over_NN_ols,NR_over_NN_revin_ols,RN_over_NN_ols,RN_over_NN_revin_ols,RR_over_NN_ols,RR_over_NN_revin_ols,abs_log_interaction_ols,abs_log_interaction_revin_ols,interaction_ols,interaction_revin_ols,mismatch_over_matched_ols,mismatch_over_matched_revin_ols,revin_minus_ols_mismatch_over_matched,revin_over_ols_mismatch_over_matched,revin_minus_ols_interaction,revin_over_ols_interaction,revin_minus_ols_abs_log_interaction,revin_over_ols_abs_log_interaction,revin_minus_ols_RR_over_NN,revin_over_ols_RR_over_NN,revin_minus_ols_NR_over_NN,revin_over_ols_NR_over_NN,revin_minus_ols_RN_over_NN,revin_over_ols_RN_over_NN
ETTh1,96,96,M,0.9962335910636246,0.9957888027610199,0.9981009244630714,0.9926871221546318,0.9944903678682013,0.9920206175733807,0.0001495346454710194,0.003548449249449938,1.0001495458263334,1.0035547524488104,0.999921858563964,0.9982205542319904,-0.0017013043319735743,0.9982985627152736,0.0034052066224770083,1.0034046974641813,0.003398914603978919,23.729947252509092,-0.0024697502948206607,0.9975165669023875,-0.00044478830260474833,0.9995535301092088,-0.005413802308439575,0.9945758969100725
ETTh1,96,192,M,1.0019929455521117,1.0008947401928254,0.9962809869493665,0.9843333018884759,0.9966342194210955,0.9885529338196459,0.0016364740573898175,0.0033832895355509892,0.9983648642361533,1.0033890193196089,1.0008212385946476,0.9983279842936048,-0.0024932543010427466,0.9975087915754628,0.00502415508345555,1.0050323837140438,0.0017468154781611718,2.067426318353833,-0.008081285601449606,0.9918914227065736,-0.0010982053592862862,0.9989039789509884,-0.011947685060890612,0.9880077154764594
ETTh1,96,336,M,1.0104467878318926,1.0067680629748406,0.9916979513713086,0.9695652058799841,1.0003607044413687,0.9953905089120981,0.0016952552589947058,0.019542139328222106,0.9983061808745496,1.0197343368752092,1.0008918565326101,0.9904493681952694,-0.010442488337340738,0.9895668165654613,0.021428156000659615,1.021464513003303,0.0178468840692274,11.527549744815826,-0.004970195529270582,0.9950315965959038,-0.003678724857052007,0.9963593086728046,-0.02213274549132449,0.9776819691311053
ETTh1,96,720,M,1.0070092981917826,1.0364114053246745,0.9604729664388925,0.9220128788207812,0.98938982166994,1.0968225916106298,0.022677727601715325,0.1378493595762696,1.0229368221177002,1.1478026317754382,0.9889878007816109,0.9339961768730913,-0.05499162390851953,0.9443960543648173,0.12486580965773797,1.122066003449987,0.11517163197455427,6.078623131792217,0.10743276994068973,1.1085848748265466,0.02940210713289182,1.0291974534750445,-0.03846008761811126,0.9599571367836534
ETTh2,96,96,M,1.0090529944649973,1.0082243335194379,1.006655655395528,0.8931916081875673,1.0157559787981152,0.8899018726580818,1.2724110819226698e-05,0.011880621475048916,0.9999872759701319,0.9881896744464578,0.9999765205024379,1.0060924163394416,0.006115895837003671,1.0061160394385367,-0.01179760152367415,0.9882022483613816,0.011867897364229689,933.7093682881767,-0.12585410614003334,0.8760980897312077,-0.0008286609455594451,0.9991787736123822,-0.11346404720796066,0.8872861374196729
ETTh2,96,192,M,0.9982396502920017,1.059765037413027,1.0267969184296757,0.5790126968192586,1.0245100228945954,0.5610624134574211,0.000467796071265498,0.08953947367466536,0.9995323133282571,0.9143521715717865,1.0002600855620014,1.0497836089735462,0.049523523411544756,1.0495106464072488,-0.0851801417564706,0.9147800019862924,0.08907167760339986,191.40706640062217,-0.4634476094371742,0.5476397506314538,0.06152538712102529,1.0616338843112754,-0.4477842216104171,0.5639018645525031
ETTh2,96,336,M,0.9889854675291505,1.1956957069113352,1.0759334359604176,0.2364002440142142,1.060725402657523,0.2393330236881922,0.003159939563896004,0.16639852864041008,0.9968450477904985,0.8467087292624805,1.0020349634292065,1.155537634802714,0.15350267137350748,1.1531909334262989,-0.150136318528018,0.8493885094169908,0.16323858907651406,52.658769345338776,-0.8213923789693308,0.22563146228851633,0.2067102393821847,1.2090124133963494,-0.8395331919462033,0.21971642121447288
ETTh2,96,720,M,1.0327337470895195,1.3388038497996761,1.1594250784247584,0.12834428411071822,1.1895172760269581,0.15569663923128826,0.0065860954456816575,0.09858344491454801,0.9934355453454259,0.9061200783469937,1.0012064529091604,1.2694924291605347,0.2682859762513743,1.2679626918822064,-0.08731546699843218,0.9121075671113903,0.09199734946886635,14.968420322421348,-1.03382063679567,0.13089060778614509,0.30607010271015667,1.2963688400545952,-1.03108079431404,0.11069648785335222
ETTm1,96,96,M,1.006374766933599,1.004628011377544,1.0008435449498243,1.1379705424821858,1.0072500351347373,1.1431128561234742,2.6156557460149956e-05,0.00010866838415254407,1.0000261568995459,0.9998913375200424,0.9999841956653337,0.9997600209143092,-0.00022417475102454176,0.9997758217059867,-0.00013481937950343692,0.9998651841468613,8.251182669239412e-05,4.154536938513508,0.13586282098873692,1.134884900719376,-0.0017467555560548575,0.9982643090690984,0.13712699753236146,1.1370114222390635
ETTm1,96,192,M,1.0087110981370961,0.9955551532804341,1.0003044618023438,1.2529337384784183,1.009148834031491,1.2449367719860887,0.00012944606923599164,0.0019482947217142176,1.00012945444774,0.9980536019724741,0.9999336663915618,1.0015822805421914,0.001648614150629668,1.0016487235164098,-0.0020758524752658714,0.9979244162182863,0.001818848652478226,15.051014937829468,0.23578793795459774,1.2336503100465752,-0.01315594485666205,0.9869576681757952,0.2526292766760745,1.2525523841220185
