case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,model,base_model,family,output_transformation,last_value_mse,last_value_mae,log_mse_relative_to_last_value,skill_vs_last_value,log_mae_relative_to_last_value
NN,electricity,96,192,M,False,False,321,18125,5069,0.1938402293569773,0.2802755338096012,0.154,0.248,1.2587027880323205,1.1301432814903274,2.67745445901528,checkpoints/full/ols_electricity_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.5961736352251157,0.9507093725102964,-2.108330306356926,0.8785594342124069,-1.221435245222394
NN,electricity,96,336,M,False,False,321,17981,4925,0.2067783432583612,0.2960530579105049,0.171,0.265,1.209230077534276,1.1171813506056791,4.146668207948096,checkpoints/full/ols_electricity_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.6178496658651245,0.9613233559502437,-2.057205765716541,0.8721893958251127,-1.1777721430319321
NN,electricity,96,720,M,False,False,321,17597,4541,0.2423158813166889,0.3292184011214843,0.21,0.297,1.1538851491270905,1.108479465055503,7.291214500088245,checkpoints/full/ols_electricity_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.6467607892842342,0.9753622504651288,-1.9163233096674523,0.8528530173334941,-1.0860875772113607
NN,exchange_rate,96,96,M,False,False,8,5120,1422,0.0802464999170322,0.202160142603275,0.089,0.208,0.9016460664835084,0.9719237625157452,0.0232679169857874,checkpoints/full/ols_exchange_rate_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.0811256925969781,0.196356619260169,-0.01089656607483659,0.010837413546823216,0.029127676485584106
NN,exchange_rate,96,192,M,False,False,8,5024,1326,0.1659577851668483,0.3002952827733089,0.18,0.3,0.9219876953713798,1.00098427591103,0.0276246670400723,checkpoints/full/ols_exchange_rate_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.1671189513404892,0.2886756792265636,-0.00697239254783048,0.006948141813522546,0.03946242573923254
NN,exchange_rate,96,336,M,False,False,8,4880,1182,0.3024518382614224,0.4120847569928778,0.331,0.415,0.9137517772248412,0.9929753180551274,0.0349056250415742,checkpoints/full/ols_exchange_rate_s96_p336_M.npz,ols,dlinear_ols,linear,raw,0.3056997217031902,0.3978149981586654,-0.01068126610083777,0.0106244239401736,0.035241980577397906
NN,exchange_rate,96,720,M,False,False,8,4496,798,0.8297614958058462,0.6821429652234731,1.033,0.78,0.8032541101702287,0.8745422631070168,0.0513671670341864,checkpoints/full/ols_exchange_rate_s96_p720_M.npz,ols,dlinear_ols,linear,raw,0.8100644170721474,0.6764451581766724,0.0240245332917297,-0.024315447412059932,0.008387884974345046
NN,traffic,96,96,M,False,False,862,12089,3413,0.648631942461111,0.3960947061173274,0.41,0.279,1.5820291279539294,1.4196942871588794,3.283989666029811,checkpoints/full/ols_traffic_s96_p96_M.npz,ols,dlinear_ols,linear,raw,2.714452418782965,1.0772232192006952,-1.4314800836719166,0.7610450129931077,-1.0004885763257687
NN,traffic,96,192,M,False,False,862,11993,3317,0.598342341433408,0.3704324417951998,0.423,0.284,1.4145209017338252,1.304339583785915,4.722659999970347,checkpoints/full/ols_traffic_s96_p192_M.npz,ols,dlinear_ols,linear,raw,2.7470782117095016,1.0850772686915366,-1.5241300899102181,0.7821895500161021,-1.0747353940459887
NN,traffic,96,336,M,False,False,862,11849,3173,0.6051667731221522,0.3732005572455075,0.435,0.29,1.3911879841888557,1.2868984732603708,6.382640875061043,checkpoints/full/ols_traffic_s96_p336_M.npz,ols,dlinear_ols,linear,raw,2.788541949245972,1.094132305824746,-1.527770061279191,0.7829809326390837,-1.075600951224899
