dataset,seq_len,pred_len,features,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
exchange_rate,96,96,M,8,5120,1422,0.08024649991703225,0.202160142603275,0.089,0.208,0.9016460664835085,0.9719237625157452,0.03531025000847876,checkpoints/ols_exchange_rate_s96_p96_M.npz
weather,96,96,M,21,36696,10444,0.19503764536460802,0.2533440101144976,0.182,0.232,1.071635414091253,1.0920000435969723,0.26422450004611164,checkpoints/ols_weather_s96_p96_M.npz
electricity,96,96,M,321,18221,5165,0.1945653911502309,0.2774011741833414,0.141,0.237,1.3798963911363895,1.1704690893811875,2.149358749971725,checkpoints/ols_electricity_s96_p96_M.npz
traffic,96,96,M,862,12089,3413,0.648631942461111,0.3960947061173274,0.41,0.279,1.5820291279539294,1.4196942871588794,3.646589625044726,checkpoints/ols_traffic_s96_p96_M.npz
illness,104,24,M,7,549,170,2.1952276006802394,1.0237821211113034,1.683,0.858,1.3043538922639568,1.1932192553744796,0.006170041975565255,checkpoints/ols_illness_s104_p24_M.npz
ETTh1,96,96,M,7,8449,2785,0.38148012405429643,0.3929667859875138,0.375,0.399,1.017280330811457,0.9848791628759743,0.04655308392830193,checkpoints/ols_ETTh1_s96_p96_M.npz
ETTm1,96,96,M,7,34369,11425,0.34451137496119116,0.37139991128091465,0.299,0.343,1.1522119563919437,1.0827985751630165,0.1762597500346601,checkpoints/ols_ETTm1_s96_p96_M.npz
