epoch,train_mse,val_mse
1,0.5780203178723653,0.3076646625995636
2,0.3412689003149668,0.29221418499946594
3,0.33002568276723226,0.2893487811088562
4,0.32295474902788796,0.28727635741233826
5,0.3225110743840536,0.285611629486084
6,0.31528884704907734,0.2873130738735199
7,0.31652810335159304,0.2863284647464752
8,0.3142050434748332,0.28315475583076477
9,0.3154809270699819,0.28333401679992676
10,0.3149347484111786,0.28461772203445435
11,0.31121162231763205,0.28408512473106384
12,0.3113921228249868,0.28277021646499634
13,0.31207181588808697,0.2830292880535126
14,0.31161081218719483,0.2845001220703125
15,0.31104820307095843,0.2827959656715393
16,0.30999774010976155,0.2877811789512634
