source,model,dataset,case,lr,seq_len,pred_len,mae,mse,result_dir
deep_ltsf,DLinear,ETTh1,NR,0p0001,96,96,0.5085996389389038,0.5785605311393738,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p0001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
deep_ltsf,DLinear,ETTh1,NR,0p0003,96,336,0.4836808145046234,0.5302248001098633,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p0003_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0003_0
deep_ltsf,DLinear,ETTh1,NR,0p0003,96,96,0.44645121693611145,0.45533549785614014,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p0003_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0003_0
deep_ltsf,DLinear,ETTh1,NR,0p001,96,336,0.46426016092300415,0.4976014196872711,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p001_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p001_0
deep_ltsf,DLinear,ETTh1,NR,0p001,96,96,0.4116600453853607,0.39837074279785156,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p001_0
deep_ltsf,DLinear,ETTh1,NR,0p003,96,336,0.4510575234889984,0.48527705669403076,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p003_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p003_0
deep_ltsf,DLinear,ETTh1,NR,0p003,96,96,0.3984147608280182,0.38559186458587646,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p003_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p003_0
deep_ltsf,DLinear,ETTh1,NR,0p005,336,336,0.4138849377632141,0.40873003005981445,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p005_s336_p336_DLinear_ETTh1_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
deep_ltsf,DLinear,ETTh1,NR,0p005,336,96,0.38486310839653015,0.35209402441978455,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p005_s336_p96_DLinear_ETTh1_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
deep_ltsf,DLinear,ETTh1,NR,0p005,96,336,0.4527864158153534,0.48730137944221497,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p005_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
