family,metric,subgroup,comparison,n_blocks,median_delta_NN_minus_other,mean_delta_NN_minus_other,NN_better_rate,other_better_rate,p_value,p_holm,significant_holm_0.05,p_label_holm
deep_ltsf,mae,ALL,NN_vs_NR,242,-0.0024727731943130493,-24.054987639742944,0.5909090909090909,0.4090909090909091,0.0011592889245859983,0.0023185778491719967,True,**
deep_ltsf,mae,ALL,NN_vs_RN,242,-0.002198651432991028,-0.06480398897297127,0.628099173553719,0.371900826446281,2.2445838222083204e-07,8.978335288833282e-07,True,***
deep_ltsf,mae,ALL,NN_vs_RR,242,0.0022203773260116577,-0.36781418588289544,0.34710743801652894,0.6528925619834711,6.288289684381646e-06,1.886486905314494e-05,True,***
deep_ltsf,mae,model=DLinear,NN_vs_NR,50,0.0008603930473327637,0.01399964839220047,0.46,0.54,0.9389922173111831,1.0,False,ns
deep_ltsf,mae,model=DLinear,NN_vs_RN,50,9.37730073928833e-05,-0.009561370611190795,0.48,0.52,0.3230277659528582,1.0,False,ns
deep_ltsf,mae,model=DLinear,NN_vs_RR,50,0.0006193071603775024,-0.0004976639151573182,0.48,0.52,0.27798803015155293,1.0,False,ns
deep_ltsf,mae,model=GRU,NN_vs_NR,30,-0.020642444491386414,-0.03982958843310674,0.7333333333333333,0.26666666666666666,0.004338232800364494,0.017352931201457977,True,*
deep_ltsf,mae,model=GRU,NN_vs_RN,30,-0.026529699563980103,-0.060742854078610735,0.6666666666666666,0.3333333333333333,0.004338232800364494,0.017352931201457977,True,*
deep_ltsf,mae,model=GRU,NN_vs_RR,30,0.004022538661956787,0.03793652057647705,0.26666666666666666,0.7333333333333333,0.011303061619400978,0.022606123238801956,True,*
deep_ltsf,mae,model=PatchTST,NN_vs_NR,30,0.00014995038509368896,0.01562737226486206,0.4666666666666667,0.5333333333333333,0.7456546742469072,0.7456546742469072,False,ns
deep_ltsf,mae,model=PatchTST,NN_vs_RN,30,-0.0012963563203811646,-0.011068064471085865,0.5666666666666667,0.43333333333333335,0.3492113798856735,0.698422759771347,False,ns
deep_ltsf,mae,model=PatchTST,NN_vs_RR,30,0.0037069767713546753,0.032872139414151506,0.23333333333333334,0.7666666666666667,0.012047622352838516,0.048190489411354065,True,*
deep_ltsf,mae,model=TimeFilter,NN_vs_NR,26,-0.0019099786877632141,-0.0014402384941394513,0.5769230769230769,0.4230769230769231,0.7453929781913757,1.0,False,ns
deep_ltsf,mae,model=TimeFilter,NN_vs_RN,26,-0.0003800317645072937,-0.03067967754143935,0.6153846153846154,0.38461538461538464,0.48335155844688416,1.0,False,ns
deep_ltsf,mae,model=TimeFilter,NN_vs_RR,26,0.00041019171476364136,0.034228647557588726,0.46153846153846156,0.5384615384615384,0.35332122445106506,1.0,False,ns
deep_ltsf,mae,model=TimeMixer,NN_vs_NR,38,-0.0009318143129348755,-153.19852625931563,0.631578947368421,0.3684210526315789,0.7415718131742324,0.7415718131742324,False,ns
deep_ltsf,mae,model=TimeMixer,NN_vs_RN,38,-0.0011110901832580566,-0.28821370946733577,0.631578947368421,0.3684210526315789,0.24911091444664635,0.4982218288932927,False,ns
deep_ltsf,mae,model=TimeMixer,NN_vs_RR,38,0.0014250129461288452,-2.474641922273134,0.3684210526315789,0.631578947368421,0.060844782456115354,0.24337912982446142,False,ns
deep_ltsf,mae,model=TimesNet,NN_vs_NR,30,-0.0277508944272995,-0.014009582002957661,0.8333333333333334,0.16666666666666666,0.0006084088236093521,0.0018252264708280563,True,**
