source,model,dataset,case,lr,seq_len,pred_len,mse,mae,result_dir
shallow_ltsf,OLS,ETTh1,RR,,336,96,0.3514239191380748,0.3864000145366435,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh1,RR,,336,336,0.4066404774825936,0.4145230162792228,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,NN,,336,96,0.3018558119437219,0.3654603864364265,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,NN,,336,336,0.485814102982662,0.4836554232019869,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,NR,,336,96,0.2697817704707513,0.3546811544684852,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,NR,,336,336,0.4313320892811716,0.4649704744323624,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,RN,,336,96,0.3151457346735386,0.3756409903052944,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,RN,,336,336,0.5572061650596792,0.520397145522143,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,RR,,336,96,0.2832032488396186,0.3647269681957703,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTh2,RR,,336,336,0.5046814345458392,0.50463635827195,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,NN,,336,96,0.2992891608722617,0.3427992491164316,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,NN,,336,336,0.3683715701110567,0.3843609975516293,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,NR,,336,96,0.2949058947022086,0.3420231100999899,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,NR,,336,336,0.3670069194722185,0.3831184415637469,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,RN,,336,96,0.2993566938899034,0.3432538956693308,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,RN,,336,336,0.3679123416372462,0.3847064261301073,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,RR,,336,96,0.2950407320783633,0.3424885593128695,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm1,RR,,336,336,0.3665926495061832,0.3833137324430106,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,NN,,336,96,0.1723400045386296,0.2694501152892422,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,NN,,336,336,0.318876283687788,0.3783551262255729,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,NR,,336,96,0.1746923639084038,0.2729113646886619,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,NR,,336,336,0.3205916063883541,0.3814401866175144,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,RN,,336,96,0.1730647813392127,0.2704418905752858,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,RN,,336,336,0.3209317093684585,0.3799260180608162,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,RR,,336,96,0.1754391603290995,0.2738678814487389,results/long_input/ols_results.csv
shallow_ltsf,OLS,ETTm2,RR,,336,336,0.3226386948023987,0.3829234759839433,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,NN,,336,96,0.1398997415101851,0.2370138359064149,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,NN,,336,336,0.1691194328174865,0.2675710842369583,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,NR,,336,96,0.128873124949294,0.2327646213146312,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,NR,,336,336,0.1608399634305858,0.2646162020174734,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,RN,,336,96,0.1398061433862805,0.237110142335704,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,RN,,336,336,0.1688985345927603,0.2677413925319209,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,RR,,336,96,0.1288299915066101,0.2328954564958646,results/long_input/ols_results.csv
shallow_ltsf,OLS,electricity,RR,,336,336,0.1609444138857874,0.2649818916064056,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,NN,,336,96,0.0826139573964489,0.2056740268907657,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,NN,,336,336,0.3698542351772079,0.4567226778290769,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,NR,,336,96,0.1102133540701174,0.2282176644174108,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,NR,,336,336,0.7072738676954219,0.6330678710878649,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,RN,,336,96,0.084341677306762,0.2093095644675697,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,RN,,336,336,0.3749063161830928,0.4589515940791731,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,RR,,336,96,0.1196891529325044,0.2399621012036966,results/long_input/ols_results.csv
shallow_ltsf,OLS,exchange_rate,RR,,336,336,0.7481088625291366,0.6527272203856522,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,NN,,336,96,0.4100457696112512,0.2819679168082865,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,NN,,336,336,0.4359670384716637,0.2954631596735965,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,NR,,336,96,0.4023142824112402,0.2744238793095014,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,NR,,336,336,0.4270858825840777,0.2900842263218945,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,RN,,336,96,0.4097960856551056,0.2813535666685628,results/long_input/ols_results.csv
