block_definition,metric,subgroup,family,case,n_blocks,median,mean,mean_rank,wins_best_count,wins_best_rate
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,NR,30,0.4842810481786728,0.5209605132540067,3.2666666666666666,2,0.06666666666666667
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,RN,30,0.45952871441841125,0.5418737788995107,2.8,5,0.16666666666666666
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,RR,30,0.4087660312652588,0.4431944042444229,1.6,17,0.5666666666666667
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NN,30,0.35319784283638,0.39181773910919826,2.7333333333333334,5,0.16666666666666666
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,NR,30,0.34967608749866486,0.3761903668443362,2.566666666666667,4,0.13333333333333333
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,RN,30,0.35428890585899353,0.40288580358028414,2.9,4,0.13333333333333333
model+dataset+seq_len+pred_len+lr,mae,model=PatchTST,deep_ltsf,RR,30,0.3485575318336487,0.35894559969504675,1.8,17,0.5666666666666667
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NN,26,0.3586600571870804,0.40563478664709973,2.3461538461538463,9,0.34615384615384615
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,NR,26,0.362329825758934,0.40707502514123917,2.6538461538461537,4,0.15384615384615385
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,RN,26,0.36145079135894775,0.4363144641885391,2.730769230769231,3,0.11538461538461539
model+dataset+seq_len+pred_len+lr,mae,model=TimeFilter,deep_ltsf,RR,26,0.3625817745923996,0.371406139089511,2.269230769230769,10,0.38461538461538464
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NN,38,0.3964150995016098,0.4043836358346437,2.3684210526315788,7,0.18421052631578946
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,NR,38,0.4001103639602661,153.60290989515028,2.6842105263157894,7,0.18421052631578946
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,RN,38,0.3993627727031708,0.6925973453019795,2.9473684210526314,7,0.18421052631578946
model+dataset+seq_len+pred_len+lr,mae,model=TimeMixer,deep_ltsf,RR,38,0.394735723733902,2.8790255581077777,2.0,17,0.4473684210526316
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NN,30,0.4215448796749115,0.46112073858579,2.1,7,0.23333333333333334
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,NR,30,0.4642607271671295,0.47513032058874766,3.4,0,0.0
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,RN,30,0.4492223858833313,0.4997779756784439,3.0,4,0.13333333333333333
model+dataset+seq_len+pred_len+lr,mae,model=TimesNet,deep_ltsf,RR,30,0.4080192595720291,0.4257444346944491,1.5,19,0.6333333333333333
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NN,38,0.40506112575531006,0.42232548955239746,2.473684210526316,8,0.21052631578947367
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,NR,38,0.39528851211071014,0.4033568905372369,2.5526315789473686,9,0.23684210526315788
