dataset,architecture,capacity,condition,mse_mean,mse_std,mae_mean,mae_std,none_mse_mean,none_mse_std,event_mse_mean,event_mse_std,separation_mse_mean,separation_mse_std,predicted_separation_energy_mean,predicted_separation_energy_std,ambiguity_floor_mean,ambiguity_floor_std
ETTh2,gru,64,info0,0.48474153876304626,0.01318094993254911,0.5321330030759176,0.007433676899214255,0.2568114052216212,0.012717114670517289,0.7126717766125997,0.01365622865380247,0.4379199147224426,0.0,0.0,0.0,0.10947997868061066,0.0
ETTh2,gru,64,info100,0.2880165676275889,0.029492758810253056,0.42720939715703327,0.023444047208302347,0.24732676645119986,0.03082565730223789,0.3287063439687093,0.028464266292923226,0.07494718829790752,0.00383379252770543,0.35787419478098553,0.015153864054667074,0.10947997868061066,0.0
ETTh2,mlp,32,info0,0.43488303820292157,0.01433362360288234,0.500818133354187,0.01123158961654889,0.20977995296319327,0.014198914557194478,0.659986138343811,0.01455246576343734,0.4379199147224426,0.0,0.0,0.0,0.10947997868061066,0.0
ETTh2,mlp,32,info100,0.22968419392903647,0.013151758845188707,0.3780052562554677,0.009468950927433908,0.19042978684107462,0.01366096839550312,0.2689386208852132,0.015460900619058793,0.0941867729028066,0.007382690956967759,0.32542987664540607,0.022570685904451153,0.10947997868061066,0.0
ETTh2,mlp,32,info50,0.37022365132967633,0.019690690966240074,0.4680699606736501,0.01388276254558865,0.2310673048098882,0.015118974782326162,0.5093799630800883,0.024573391848190962,0.27352678775787354,0.004719447265156895,0.148357555270195,0.015664702623457465,0.10947997868061066,0.0
ETTh2,mlp,128,info0,0.43746323386828107,0.03980712638848047,0.5012771785259247,0.028807403302633434,0.21279696623484293,0.03960611854054469,0.6621295213699341,0.04002190098926836,0.4379199147224426,0.0,0.0,0.0,0.10947997868061066,0.0
ETTh2,mlp,128,info100,0.264740323026975,0.06496761280167587,0.40390873948733014,0.04997366619786499,0.2457947035630544,0.06661986405996073,0.28368598222732544,0.06331875901447505,0.06657988702257474,0.013730639480737376,0.35437660415967304,0.04930237430456042,0.10947997868061066,0.0
ETTh2,mlp,128,info50,0.30032570163408917,0.013172974934865097,0.41100797057151794,0.008049206365727925,0.16947592298189798,0.016844987405877435,0.43117546041806537,0.00950384940819643,0.2592893938223521,0.006748397296960784,0.15237312515576681,0.007158979304793714,0.10947997868061066,0.0
ETTh2,mlp,128,placebo,0.4922802646954854,0.03277717147550329,0.540268063545227,0.022746693877877734,0.26592346529165906,0.032195798935416596,0.7186369697252909,0.033364820632448874,0.4379199147224426,0.0,0.0,0.0,0.10947997868061066,0.0
ETTh2,mlp,128,shuffled,0.45104018847147626,0.0212758890287617,0.5098640322685242,0.015563066148129025,0.2253014345963796,0.021867628318612397,0.6767789125442505,0.02071304423731113,0.4390622675418854,0.00021465984322306832,0.0012069673975929618,0.00019901320688905545,0.10947997868061066,0.0
ETTh2,mlp,512,info0,0.4560517966747284,0.07069104766925365,0.5127224425474802,0.05004222475353603,0.22943324347337088,0.0673589454314792,0.6826703349749247,0.07402664288339915,0.4379199147224426,0.0,0.0,0.0,0.10947997868061066,0.0
ETTh2,mlp,512,info100,0.18401163816452026,0.0090576106738736,0.3360491792360942,0.009492166873523462,0.15885238349437714,0.008999116885167743,0.2091708779335022,0.009736053568100313,0.06011293828487396,0.003829610107004848,0.42139965295791626,0.06832477038913697,0.10947997868061066,0.0
ETTh2,mlp,512,info50,0.33836521704991657,0.06942750700826864,0.4370499948660533,0.045709503624044544,0.205984299381574,0.07453491610254442,0.47074614961942035,0.06432414431517355,0.25931885838508606,0.005859243091845929,0.14045068124930063,0.025147243480806564,0.10947997868061066,0.0
ETTm1,gru,64,info0,0.28657613197962445,0.00713490175330338,0.35954152544339496,0.009766548130295434,0.0607769601047039,0.00715805723677505,0.5123753547668457,0.007111757751851092,0.4473574757575989,0.0,0.0,0.0,0.11183936893939972,0.0
ETTm1,gru,64,info100,0.08445056279500325,0.010984129886644298,0.21936740974585214,0.019351405672514775,0.0604640394449234,0.012349599542844683,0.10843708117802937,0.009618968934288397,0.049784733603398,0.0018930431460993788,0.3986351390679677,0.0031628737516415997,0.11183936893939972,0.0
ETTm1,mlp,32,info0,0.34349698821703595,0.005410856242693716,0.43255408604939777,0.006074632522781594,0.1175612285733223,0.005332398999404094,0.5694327553113302,0.005490311341154753,0.4473574757575989,0.0,0.0,0.0,0.11183936893939972,0.0
ETTm1,mlp,32,info100,0.11805855731169383,0.013911740623809172,0.26892492175102234,0.019454285410228523,0.09026224414507548,0.015248013565863592,0.1458548754453659,0.013483778761079169,0.06373886143167813,0.011192052082098145,0.364356408516566,0.024568176233142756,0.11183936893939972,0.0
ETTm1,mlp,32,info50,0.23258914550145468,0.013716087462226714,0.3516715466976166,0.01786596449106952,0.09737128764390945,0.012035444739712735,0.3678070306777954,0.015493661366965075,0.26616954803466797,0.003311572937150432,0.1538390169541041,0.00538775441734727,0.11183936893939972,0.0
ETTm1,mlp,128,info0,0.3089256286621094,0.012185782407949977,0.38753393292427063,0.014767730189026303,0.08287547280391057,0.012243532208702071,0.5349757472674052,0.012130416431457324,0.4473574757575989,0.0,0.0,0.0,0.11183936893939972,0.0
ETTm1,mlp,128,info100,0.09811331580082576,0.021483923412076906,0.24576603372891745,0.03260154726701897,0.08818725248177846,0.022117380982287733,0.10803936421871185,0.020903380801259485,0.036386133482058845,0.0017221581452457357,0.40230223536491394,0.016316504589057538,0.11183936893939972,0.0
ETTm1,mlp,128,info50,0.20248236755530039,0.0068470881030861875,0.3123424251874288,0.008649219020088883,0.07591239859660466,0.007810113631356833,0.3290523091952006,0.006882613792892161,0.2483175148566564,0.003512663566992072,0.19577202200889587,0.017445825090975847,0.11183936893939972,0.0
ETTm1,mlp,128,placebo,0.31728681921958923,0.036945315528683,0.39646874864896137,0.04454578451352311,0.09111282353599866,0.036842073113195255,0.5434607664744059,0.037049277339498574,0.4473574757575989,0.0,0.0,0.0,0.11183936893939972,0.0
ETTm1,mlp,128,shuffled,0.3135721782843272,0.011066034717586517,0.39508648713429767,0.01636492260285889,0.08770671238501866,0.011113748056708256,0.5394376118977865,0.011018343003987168,0.4473845263322194,0.00014372580951305618,0.0004120156809221953,0.0001553865414437723,0.11183936893939972,0.0
ETTm1,mlp,512,info0,0.3074559271335602,0.015026149161239583,0.3858841856320699,0.021868665096220742,0.08135731518268585,0.015111630262335224,0.5335545937220255,0.014942191035969521,0.4473574757575989,0.0,0.0,0.0,0.11183936893939972,0.0
ETTm1,mlp,512,info100,0.10487291216850281,0.030840580477915155,0.25088972846666974,0.04641860615025527,0.09537595013777415,0.028686294619631285,0.11436989655097325,0.033070184038553475,0.026031290491422016,0.001905085277585773,0.3796032766501109,0.04301957362424011,0.11183936893939972,0.0
ETTm1,mlp,512,info50,0.21606012682120004,0.04090967190496698,0.3255784809589386,0.05127742349864664,0.09294273207585017,0.0418127037715267,0.33917752901713055,0.040019087594926304,0.2422851175069809,0.002456829686884159,0.20946078995863596,0.001582246370571128,0.11183936893939972,0.0
weather,gru,64,info0,0.228232870499293,0.0001330145577537823,0.2622085213661194,0.0010119327730198032,0.004975330705444018,0.00014582658957573063,0.4514903922875722,0.00012041903140607144,0.44595545530319214,0.0,0.0,0.0,0.11148886382579803,0.0
weather,gru,64,info100,0.03267896299560865,0.0012973526795741284,0.11450484643379848,0.003910871038293061,0.007264135405421257,0.0004408947591148618,0.05809378499786059,0.00235785157777054,0.05122191831469536,0.0017884926458610168,0.3789893388748169,0.008331980528413196,0.11148886382579803,0.0
weather,mlp,32,info0,0.22823444505532584,0.00046696379705288174,0.26304058233896893,0.0018909604137771437,0.00504159073655804,0.0004280668564802418,0.4514273504416148,0.0005065014194676967,0.44595545530319214,0.0,0.0,0.0,0.11148886382579803,0.0
weather,mlp,32,info100,0.024979174757997196,0.0016708401611091898,0.09909125169118245,0.008545925211746817,0.003979989870761831,0.001536786529742095,0.04597835491100947,0.0019271085656594957,0.042542884747187294,0.0013596973246234791,0.3657692273457845,0.0020560955710734155,0.11148886382579803,0.0
weather,mlp,32,info50,0.12239409983158112,0.0011880919624618737,0.1786785920461019,0.0035061187519879787,0.004357732056329648,0.0006864760019564776,0.2404304544130961,0.0016920770909443468,0.23672577242056528,0.001421420123882391,0.19644651810328165,0.018294323168046665,0.11148886382579803,0.0
weather,mlp,128,info0,0.22843144337336221,0.0011508143264492435,0.2655852437019348,0.0015969791155712803,0.005436061881482601,0.0008994794271833861,0.45142685373624164,0.001404687943755708,0.44595545530319214,0.0,0.0,0.0,0.11148886382579803,0.0
weather,mlp,128,info100,0.02119905749956767,0.0022863663804427144,0.0949255923430125,0.004975106675565017,0.005707390606403351,0.0008029948786698954,0.036690725634495415,0.004050701461391407,0.03375308960676193,0.002378929536605222,0.41425468524297077,0.03091803532933166,0.11148886382579803,0.0
weather,mlp,128,info50,0.12145642191171646,0.001380954984410735,0.18092205127080283,0.005608996735420522,0.005761820202072461,0.0016660781848549736,0.2371510366598765,0.0013372972123675724,0.2328678766886393,0.0007183033332872591,0.21139108141263327,0.0035908347442428017,0.11148886382579803,0.0
weather,mlp,128,placebo,0.2292223572731018,0.000600749437118455,0.2689775029818217,0.0026252016068553687,0.006096020185699065,0.0006245300336231512,0.45234869917233783,0.0005811092630963021,0.44595545530319214,0.0,0.0,0.0,0.11148886382579803,0.0
weather,mlp,128,shuffled,0.22764135897159576,0.0011799305533038817,0.26258914669354755,0.003756563081846591,0.00477131805382669,0.001093826238767448,0.4505113859971364,0.0012736945820417656,0.4461254874865214,0.0003679102206975953,0.000766190467402339,0.0002517453718700418,0.11148886382579803,0.0
weather,mlp,512,info0,0.2274253765741984,0.0016992792256801806,0.2613971332708995,0.006257646431347739,0.00450918055139482,0.0014591060214532586,0.4503416220347087,0.0019400603532892184,0.44595545530319214,0.0,0.0,0.0,0.11148886382579803,0.0
weather,mlp,512,info100,0.015441523554424444,0.00042478822778576264,0.08030068626006444,0.0037477189391303856,0.004280503761644165,0.0009765565819178162,0.02660254326959451,0.00014310516391974297,0.026208932201067608,0.0004386107836546716,0.4284835954507192,0.004740314208218709,0.11148886382579803,0.0
weather,mlp,512,info50,0.12001929432153702,0.002547640533515696,0.1753197262684504,0.007056643194488505,0.004553282167762518,0.000598469457737646,0.23548531035582224,0.004508019559795248,0.23230676352977753,0.002899976615577304,0.22173667450745901,0.018164340239467478,0.11148886382579803,0.0
