dataset,architecture,capacity,condition,seed,run_id,status,duration_seconds,epochs_completed,best_val_mse,parameter_count,train_pairs,val_pairs,test_pairs,target_train_mean,target_train_std,mse,mae,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor,n_pairs
ETTh2,gru,64,info0,0,ETTh2__gru64__info0__seed0,completed,12.303359270095825,18,0.4646327793598175,23776,8449,2000,2785,26.87202262878418,11.584718704223633,0.47494277358055115,0.5274983644485474,0.2477063089609146,0.7021794319152832,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,gru,64,info0,1,ETTh2__gru64__info0__seed1,completed,10.593470096588135,18,0.4636388421058655,23776,8449,2000,2785,26.87202262878418,11.584718704223633,0.4997268319129944,0.5407072901725769,0.27134132385253906,0.7281123399734497,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,gru,64,info0,2,ETTh2__gru64__info0__seed2,completed,10.77097773551941,18,0.4567810893058777,23776,8449,2000,2785,26.87202262878418,11.584718704223633,0.47955501079559326,0.5281933546066284,0.2513865828514099,0.7077235579490662,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,gru,64,info100,0,ETTh2__gru64__info100__seed0,completed,12.881006479263306,18,0.2826402485370636,23776,8449,2000,2785,26.87202262878418,11.584718704223633,0.2608533203601837,0.40474265813827515,0.22115816175937653,0.30054840445518494,0.07360029220581055,0.3707970976829529,0.4379199147224426,0.10947997868061066,2785
ETTh2,gru,64,info100,1,ETTh2__gru64__info100__seed1,completed,12.832318305969238,18,0.2783772647380829,23776,8449,2000,2785,26.87202262878418,11.584718704223633,0.3193869888782501,0.4515216648578644,0.2813066244125366,0.3574673533439636,0.07196860015392303,0.36162981390953064,0.4379199147224426,0.10947997868061066,2785
ETTh2,gru,64,info100,2,ETTh2__gru64__info100__seed2,completed,12.40861201286316,18,0.2801947295665741,23776,8449,2000,2785,26.87202262878418,11.584718704223633,0.2838093936443329,0.4253638684749603,0.2395155131816864,0.32810327410697937,0.07927267253398895,0.341195672750473,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info0,0,ETTh2__mlp128__info0__seed0,completed,7.6408915519714355,13,0.4267541468143463,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.43314075469970703,0.4996326267719269,0.20764850080013275,0.6586330533027649,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info0,1,ETTh2__mlp128__info0__seed1,completed,4.543300628662109,8,0.4285591244697571,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.47925519943237305,0.5308716297149658,0.25472554564476013,0.7037849426269531,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info0,2,ETTh2__mlp128__info0__seed2,completed,6.141454219818115,11,0.4265437424182892,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.39999374747276306,0.47332727909088135,0.17601685225963593,0.6239705681800842,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info100,0,ETTh2__mlp128__info100__seed0,completed,9.468868494033813,13,0.23845475912094116,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.24768775701522827,0.3926551043987274,0.2277839630842209,0.26759156584739685,0.08093317598104477,0.3745083808898926,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info100,1,ETTh2__mlp128__info100__seed1,completed,12.608295679092407,18,0.2228044867515564,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.20999972522258759,0.36052143573760986,0.19003190100193024,0.22996756434440613,0.053570766001939774,0.39042750000953674,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info100,2,ETTh2__mlp128__info100__seed2,completed,12.474913120269775,18,0.22163157165050507,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.33653348684310913,0.4585496783256531,0.3195682466030121,0.35349881649017334,0.06523571908473969,0.29819393157958984,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info50,0,ETTh2__mlp128__info50__seed0,completed,9.123425960540771,14,0.33651578426361084,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.2851150631904602,0.4017386734485626,0.1500253528356552,0.420204758644104,0.2662545144557953,0.146193727850914,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info50,1,ETTh2__mlp128__info50__seed1,completed,12.027921199798584,18,0.3308093249797821,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.3078629970550537,0.4150511622428894,0.1793016642332077,0.4364243149757385,0.2527809143066406,0.16021806001663208,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,info50,2,ETTh2__mlp128__info50__seed2,completed,11.320934772491455,17,0.3306485116481781,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.30799904465675354,0.4162340760231018,0.17910075187683105,0.43689730763435364,0.25883275270462036,0.15070758759975433,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,placebo,0,ETTh2__mlp128__placebo__seed0,completed,4.952311277389526,8,0.41993558406829834,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.48976269364356995,0.5384128093719482,0.2629297077655792,0.7165956497192383,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,placebo,1,ETTh2__mlp128__placebo__seed1,completed,4.520056486129761,7,0.4204522371292114,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.46083447337150574,0.5185058116912842,0.23532910645008087,0.6863396763801575,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,placebo,2,ETTh2__mlp128__placebo__seed2,completed,5.051001787185669,8,0.42089611291885376,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.5262436270713806,0.5638855695724487,0.299511581659317,0.752975583076477,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,shuffled,0,ETTh2__mlp128__shuffled__seed0,completed,9.809979677200317,13,0.42669931054115295,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.43317776918411255,0.498757541179657,0.2075754702091217,0.6587799787521362,0.4388156533241272,0.0010346414055675268,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,shuffled,1,ETTh2__mlp128__shuffled__seed1,completed,5.8126137256622314,8,0.4278010129928589,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.4745783805847168,0.5276522040367126,0.24973797798156738,0.6994187235832214,0.43920713663101196,0.0014247893122956157,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,128,shuffled,2,ETTh2__mlp128__shuffled__seed2,completed,10.62662649154663,15,0.42705315351486206,28192,8449,2000,2785,26.87202262878418,11.584718704223633,0.44536441564559937,0.5031823515892029,0.2185908555984497,0.6721380352973938,0.43916401267051697,0.0011614714749157429,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info0,0,ETTh2__mlp32__info0__seed0,completed,11.176680564880371,18,0.4382319748401642,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.43926751613616943,0.5046312808990479,0.2153337001800537,0.6632013320922852,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
