epoch,train_mse,val_mse
1,1.107226181348165,0.13626381754875183
2,1.0393453861872355,0.13753777742385864
3,1.0303327020009359,0.13073745369911194
4,1.0236528342564901,0.129726842045784
5,1.0196099678675334,0.13221125304698944
6,1.0201285025278728,0.1323244571685791
7,1.0209130592346192,0.13062067329883575
8,1.0163306857744854,0.12944866716861725
9,1.0125890208880106,0.1323288381099701
10,1.0108200594584147,0.13309215009212494
11,1.0091051875750223,0.12692654132843018
12,1.0098149642944336,0.1280594915151596
13,1.0063120454152426,0.1287311613559723
14,1.002154655536016,0.12788617610931396
15,1.001155998468399,0.12917479872703552
