epoch,train_mse,val_mse
1,1.0618822207450866,0.39619189500808716
2,0.5301318562030792,0.1975330412387848
3,0.2655894971688588,0.16039273142814636
4,0.2079319862127304,0.14303043484687805
5,0.18156907761096955,0.12431524693965912
6,0.16439048131306966,0.11541295051574707
7,0.15420673775672913,0.1066666841506958
8,0.14786116019884746,0.10227891802787781
9,0.1418869725863139,0.09875644743442535
10,0.136922789255778,0.09649033844470978
11,0.13529003338019052,0.09491068869829178
12,0.1323536507288615,0.09361999481916428
13,0.13064723652601243,0.09237551689147949
14,0.12886092984676362,0.0902063176035881
15,0.12710840290784836,0.08845608681440353
16,0.12427078421910603,0.08551350235939026
17,0.120173015554746,0.08248837292194366
18,0.11684823403755824,0.08114662766456604
