epoch,train_mse,val_mse
1,1.220491052945455,0.23312540352344513
2,1.185130802154541,0.2333049327135086
3,1.145064058303833,0.23345154523849487
4,1.135185564994812,0.2330729216337204
5,1.1334915266831715,0.2333105057477951
6,1.133699788014094,0.2330235242843628
7,1.1338742593129476,0.23363594710826874
8,1.1330037008921305,0.23265421390533447
9,1.1330545409520467,0.23338529467582703
10,1.1334701879024505,0.23303987085819244
11,1.1334662144978842,0.23296380043029785
12,1.1331235671043396,0.23339760303497314
