epoch,train_mse,val_mse
1,1.0086356512554044,0.5721527338027954
2,0.5122456363050567,0.500036358833313
3,0.4923110193353473,0.4953807294368744
4,0.48707540110520803,0.49456149339675903
5,0.48564757343043463,0.4916156530380249
6,0.4830080224735693,0.48620662093162537
7,0.4817649398503014,0.4836665987968445
8,0.47964652950897174,0.48582592606544495
9,0.4776170048322575,0.4857138991355896
10,0.47470684730311036,0.4726879894733429
11,0.4694453539799227,0.47672101855278015
12,0.4659320051034593,0.4792541563510895
13,0.46352364056730344,0.4723875820636749
14,0.46036055711073653,0.4692263901233673
15,0.4605382119061496,0.48053526878356934
16,0.46030997424340697,0.47307339310646057
17,0.45695876774667693,0.4636388421058655
18,0.4547156540317385,0.46872392296791077
