epoch,train_mse,val_mse
1,0.5722899747689565,0.30450916290283203
2,0.3333599731127421,0.30455219745635986
3,0.3176561988989512,0.31068849563598633
4,0.3145234300295512,0.29916104674339294
5,0.3106443605422974,0.29903271794319153
6,0.30616322978337607,0.32417407631874084
7,0.30550919500986734,0.294291615486145
8,0.30327268624305725,0.30153825879096985
9,0.3036777353286743,0.2983448803424835
10,0.30220428450902304,0.2938354015350342
11,0.30077753973007204,0.3004753887653351
12,0.2998728125890096,0.2935207784175873
13,0.30015581973393757,0.29798173904418945
14,0.29959504612286886,0.2925507128238678
15,0.2994758160114288,0.2983865439891815
16,0.29780440974235534,0.28782376646995544
17,0.2986001241207123,0.2956923544406891
18,0.3006327673594157,0.2899892330169678
