epoch,train_mse,val_mse
1,1.0721683906145894,0.9739983677864075
2,0.7384902169251811,0.6304867267608643
3,0.4850407862172266,0.4462845027446747
4,0.38963248773726755,0.3972316086292267
5,0.36177181243078144,0.36867159605026245
6,0.3410529508465408,0.3567209839820862
7,0.31851006125272247,0.3598327338695526
8,0.29941481796647407,0.31738510727882385
9,0.2792305805733506,0.3224453926086426
10,0.2653386801117933,0.281706839799881
11,0.24969357354413238,0.2759474217891693
12,0.24203344055048345,0.2675294280052185
13,0.23714406853340014,0.2673723101615906
14,0.23862730490094686,0.2539394199848175
15,0.23067851709584425,0.28114834427833557
16,0.2264993363604036,0.2623429298400879
17,0.22339817282292584,0.24917307496070862
18,0.21942439630534158,0.2597770690917969
