model,channel_group,n_cells,RN_over_NN_gmean,NR_over_NN_gmean,RR_over_NN_gmean,RR_better_than_NN_fraction,RR_within_5pct_fraction,RR_within_10pct_fraction,interaction_gmean,abs_log_interaction_median
DLinear,selected,30,0.9939581607249349,0.9677062663358184,0.9767844082241073,0.7333333333333333,0.5,0.7,1.0155166809548006,0.0033193003684951023
DLinear,unselected,30,0.9765945513541668,0.9913421098994493,0.9871936470093184,0.7,0.7666666666666667,0.9,1.0196814073072245,0.0
GRU,selected,30,1.1602778064114114,1.215586579641777,1.0442952401919368,0.4666666666666667,0.4,0.6,0.7404153547684106,0.1622992894273403
GRU,unselected,30,1.074001026938969,1.1383125708489918,1.1667319043614301,0.3,0.43333333333333335,0.5333333333333333,0.9543437754723388,0.09361133324699598
PatchTST,selected,30,1.003658683104592,0.957373577790456,0.9068745759738278,0.7666666666666667,0.5666666666666667,0.7666666666666667,0.9437995004066132,0.034842735484016535
PatchTST,unselected,30,1.0008213457813975,0.9955756468365103,0.9937005129641661,0.5666666666666667,0.8333333333333334,0.9,0.9972974069864688,0.0031562965580816454
TimesNet,selected,30,1.2898758205653342,1.3565171802517209,1.1749823934392223,0.3,0.4,0.4666666666666667,0.6715187736662996,0.31739881051752195
TimesNet,unselected,30,1.1591252087260218,1.2467084819936367,1.2767353829858257,0.13333333333333333,0.3333333333333333,0.5,0.8834981190120944,0.115558012205044
iTransformer,selected,30,1.0038180796274332,0.949667119742189,0.9261141610482764,0.6,0.7666666666666667,0.8,0.9714894972686503,0.021611392600635874
iTransformer,unselected,30,0.9983621340815559,1.0231899535722522,1.0070585976111597,0.36666666666666664,0.8666666666666667,1.0,0.9858489394042388,0.015183138739077156
