model,n_cells,RN_over_NN_gmean,NR_over_NN_gmean,RR_over_NN_gmean,RR_better_than_NN_fraction,RR_within_5pct_fraction,RR_within_10pct_fraction,interaction_gmean,abs_log_interaction_median
DLinear,30,1.029615595682336,0.9659574440771133,1.0060229996428214,0.5666666666666667,0.5333333333333333,0.8333333333333334,1.0115207675647708,0.0017932910996085842
GRU,30,1.1957890133390636,1.1362464940236126,0.9118773078411372,0.7,0.6,0.8,0.6711340808886103,0.18883640612652267
PatchTST,30,1.027313870879936,0.9445745285372565,0.9119787916046772,0.6333333333333333,0.6,0.8,0.9398214578762856,0.039536632861501754
TimeFilter,26,1.0334559180607596,0.9582481486748244,0.9093677587817625,0.5,0.5769230769230769,0.8461538461538461,0.9182683314990661,0.013421349175249396
TimeMixer,30,1.3075257796062196,2.0532019990911348,1.8155979891950103,0.6,0.5666666666666667,0.7,0.6762974568845901,0.03778067648458482
TimesNet,30,1.1436602328328274,1.0907134931202904,0.9103938750506465,0.7666666666666667,0.6333333333333333,0.8,0.7298298487570937,0.2507742573082109
iTransformer,30,1.0144754204114221,0.9316560386028255,0.9238334159904359,0.6666666666666666,0.7666666666666667,0.8666666666666667,0.9774544650055759,0.021751459524794018
