dataset,n_cells,RN_over_NN_gmean,NR_over_NN_gmean,RR_over_NN_gmean,RR_better_than_NN_fraction,RR_within_5pct_fraction,RR_within_10pct_fraction,interaction_gmean,abs_log_interaction_median
ETTh1,28,1.0439307520615733,1.0384251539663827,0.9603988074833226,0.8214285714285714,0.6071428571428571,0.8571428571428571,0.8859408382517991,0.014273630532311725
ETTh2,28,1.0061501590666393,0.9397042996206917,0.9465821920085147,0.6071428571428571,0.5357142857142857,0.6428571428571429,1.0011619042721285,0.024197156687686187
ETTm1,28,1.1095821601463611,1.097707763220868,0.9870637218386119,0.6428571428571429,0.8928571428571429,1.0,0.8103991729434873,0.07413437969784432
ETTm2,28,1.020653562906953,1.0228985176492955,1.0110153303625091,0.2857142857142857,0.75,0.9642857142857143,0.9683822842883909,0.02508196450786159
electricity,24,1.2206754440626497,1.1870203251732387,0.9868971150873738,0.9583333333333334,0.5416666666666666,0.9166666666666666,0.6811041335252399,0.04706898226811564
exchange_rate,28,0.9613749876848149,1.0216442259171867,1.053048313603988,0.5357142857142857,0.42857142857142855,0.7142857142857143,1.0721506009530037,0.0871784940617826
illness,14,1.2441332643045844,0.502218145170397,0.36923418618726045,1.0,0.07142857142857142,0.07142857142857142,0.5909389313223086,0.5957191955100312
weather,28,1.3695605372527782,2.390815563285944,2.0737392535668246,0.4642857142857143,0.7857142857142857,0.9285714285714286,0.6333253043791566,0.012689117186416339
