model,dataset,seq_len,pred_len,selected_for_reversal,NN,NR,RN,RR,RN_over_NN,NR_over_NN,RR_over_NN,RN_over_NR,interaction,channel_group
DLinear,ETTh1,96,96,False,0.4774022363126278,0.4774022363126278,0.47748953849077225,0.47748953849077225,1.0001828692274648,1.0,1.0001828692274648,1.0001828692274648,1.0,unselected
DLinear,ETTh1,96,96,True,0.2570702334245045,0.2526041145126025,0.25700176258881885,0.2525502517819404,0.9997336493036414,0.9826268531661266,0.9824173278160129,1.0174092495868547,1.0000531350257693,selected
DLinear,ETTh1,96,336,False,0.594887126237154,0.594887126237154,0.5919208377599716,0.5919208377599716,0.9950136952938533,1.0,0.9950136952938533,0.9950136952938533,1.0,unselected
DLinear,ETTh1,96,336,True,0.3513374775648117,0.33089997867743176,0.3350665668646495,0.316724141438802,0.9536886562374755,0.9418294369589142,0.9014812300528784,1.0125916846651701,1.0036396527013083,selected
DLinear,ETTh1,336,96,False,0.4789073262363672,0.4789073262363672,0.4710152465850115,0.4710152465850115,0.9835206537486533,1.0,0.9835206537486533,0.9835206537486533,1.0,unselected
DLinear,ETTh1,336,96,True,0.2548032825191815,0.25172030925750727,0.24969749649365744,0.24570809056361512,0.9799618514524447,0.9879005747838349,0.9643050440102486,0.9919640462471365,0.996074978652817,selected
DLinear,ETTh1,336,336,False,0.532295223325491,0.532295223325491,0.5303580164909363,0.5303580164909363,0.9963606533561357,1.0,0.9963606533561357,0.9963606533561357,1.0,unselected
DLinear,ETTh1,336,336,True,0.32627967496713,0.2860311468442281,0.322979008158048,0.2851887022455533,0.9898839337466713,0.8766440841681093,0.8740621133519387,1.1291742585430447,1.0072440578949848,selected
DLinear,ETTh2,96,96,False,0.3183054397813975,0.3183054397813975,0.31385036651045084,0.31385036651045084,0.9860037790305868,1.0,0.9860037790305868,0.9860037790305868,1.0,unselected
DLinear,ETTh2,96,96,True,0.33340619504451746,0.3304494619369507,0.32918287316958106,0.32631881038347876,0.9873328032360872,0.9911317391472826,0.9787424925919797,0.9961670726895864,1.000169239849308,selected
DLinear,ETTh2,96,336,False,0.45770105347037315,0.45770105347037315,0.5425454811193049,0.5425454811193049,1.1853708375928476,1.0,1.1853708375928476,1.1853708375928476,1.0,unselected
DLinear,ETTh2,96,336,True,0.509379655122757,0.49011866251627606,0.5930546820163727,0.5619289974371592,1.1642684902157128,0.962187353945577,1.103163410210677,1.2100226483350414,0.9847524277742241,selected
DLinear,ETTh2,336,96,False,0.2729763009119779,0.2729763009119779,0.27767154038883746,0.27767154038883746,1.01720017254675,1.0,1.01720017254675,1.01720017254675,1.0,unselected
DLinear,ETTh2,336,96,True,0.2905898292859395,0.26373864710330963,0.3003197362025578,0.2718852510054906,1.0334833016713882,0.9075976531986314,0.935632371145228,1.1387020427268626,0.9974896794694847,selected
DLinear,ETTh2,336,336,False,0.4257852234877646,0.4257852234877646,0.35721500450745225,0.4329284601844847,0.8389558509836761,1.0,1.0167766195318082,0.8389558509836761,1.2119548583392525,unselected
DLinear,ETTh2,336,336,True,0.4745609164237976,0.4015315920114517,0.409452145298322,0.41198288400967914,0.86280207899099,0.8461118016993873,0.8681348795309677,1.0197258533187705,1.1891818438033244,selected
DLinear,ETTm1,96,96,False,0.23342716041952366,0.23342716041952366,0.23296213708817956,0.23296213708817956,0.9980078439436596,1.0,0.9980078439436596,0.9980078439436596,1.0,unselected
DLinear,ETTm1,96,96,True,0.48792098959287006,0.4937179336945216,0.49301400532325107,0.49905254195133847,1.0104381976570238,1.0118809074118509,1.0228142518889314,0.998574229690214,1.0003629850431461,selected
DLinear,ETTm1,96,336,False,0.28510673716664314,0.28510673716664314,0.28165543824434275,0.28165543824434275,0.9878947128482511,1.0,0.9878947128482511,0.9878947128482511,1.0,unselected
DLinear,ETTm1,96,336,True,0.5901612490415573,0.6078534175952276,0.5879491418600082,0.6060151209433874,0.9962516902200177,1.0299785331253162,1.0268636274028111,0.9672548098619498,1.000726790673311,selected
DLinear,ETTm1,336,96,False,0.205111657269299,0.205111657269299,0.199797261506319,0.20272076129913327,0.9740902304933232,1.0,0.9883434418014251,0.9740902304933232,1.0146323316484587,unselected
DLinear,ETTm1,336,96,True,0.45322653899590176,0.44019952416419983,0.43333976964155835,0.4314066618680954,0.9561217897822104,0.9712571667569102,0.9518565766776431,0.9844167152709535,1.0250004657818979,selected
DLinear,ETTm1,336,336,False,0.24559605494141573,0.24559605494141573,0.23699739575386042,0.23699739575386042,0.9649886103031808,1.0,0.9649886103031808,0.9649886103031808,1.0,unselected
DLinear,ETTm1,336,336,True,0.5442143827676773,0.541035791238149,0.5418883462746938,0.5389751891295115,0.9957258819931327,0.9941593026017373,0.9903729232374912,1.0015757830634342,1.0004674917349163,selected
DLinear,ETTm2,96,96,False,0.20448850025422866,0.20448850025422866,0.19902931281831113,0.19902931281831113,0.9733032056612942,1.0,0.9733032056612942,0.9733032056612942,1.0,unselected
DLinear,ETTm2,96,96,True,0.1744692251086235,0.17308569451173142,0.17344215760628381,0.1723522841930389,0.9941131881470773,0.9920700593698935,0.9878663935472483,1.0020594601740944,1.0016593128161007,selected
DLinear,ETTm2,96,336,False,0.3876806916669011,0.3876806916669011,0.3410460327286273,0.3410460327286273,0.8797085850787154,1.0,0.8797085850787154,0.8797085850787154,1.0,unselected
DLinear,ETTm2,96,336,True,0.31638304392496736,0.3089734117190043,0.3108005474011103,0.3062354624271393,0.9823552600840992,0.9765801854801033,0.9679262789435876,1.0059135693001562,1.008941062830799,selected
DLinear,ETTm2,336,96,False,0.17372804542537776,0.17372804542537776,0.17446651868522162,0.17446651868522162,1.0042507429242968,1.0,1.0042507429242968,1.0042507429242968,1.0,unselected
DLinear,ETTm2,336,96,True,0.1575693661967913,0.16014496733744937,0.15690310051043824,0.1591241881251335,0.9957716039453954,1.0163458240825909,1.0098675393946839,0.9797566737131362,0.9978451898089685,selected
DLinear,ETTm2,336,336,False,0.32583287893794477,0.32583287893794477,0.3084579100832343,0.3084579100832343,0.9466752130376028,1.0,0.9466752130376028,0.9466752130376028,1.0,unselected
DLinear,ETTm2,336,336,True,0.2794581303993861,0.27087354163328803,0.2757598211367925,0.2691503564516703,0.9867661418284442,0.9692813060982357,0.9631151402430679,1.0180389693066425,1.006964439119732,selected
DLinear,electricity,96,96,False,0.18778554731922115,0.18773077270999453,0.1881083387719548,0.1881083387719548,1.0017189366132897,0.9997083129665272,1.0017189366132897,1.002011210290726,1.0002917721396227,unselected
