channel_group,n_cells,RN_over_NN_gmean,NR_over_NN_gmean,RR_over_NN_gmean,RR_better_than_NN_fraction,RR_within_5pct_fraction,RR_within_10pct_fraction,interaction_gmean,abs_log_interaction_median
selected,150,1.0842858995273346,1.0772624389740915,1.0013203109619093,0.5733333333333334,0.5266666666666666,0.6666666666666666,0.8572504030318073,0.05471990524264779
unselected,150,1.0396778724821492,1.07462293818389,1.0803311910948408,0.41333333333333333,0.6466666666666666,0.7666666666666667,0.9669455246481455,0.018165215555756092
