model,seasonal_pattern,smape_RN_vs_NN,smape_NR_vs_NN,smape_RR_vs_NN,smape_RN_vs_NR,smape_train_main,smape_test_main,smape_interaction,smape_abs_log_interaction,mase_RN_vs_NN,mase_NR_vs_NN,mase_RR_vs_NN,mase_RN_vs_NR,mase_train_main,mase_test_main,mase_interaction,mase_abs_log_interaction,owa_naive2_RN_vs_NN,owa_naive2_NR_vs_NN,owa_naive2_RR_vs_NN,owa_naive2_RN_vs_NR,owa_naive2_train_main,owa_naive2_test_main,owa_naive2_interaction,owa_naive2_abs_log_interaction
DLinear,Daily,13.048007722871569,1.0,13.048007722871569,13.048007722871569,13.048007722871569,1.0,1.0,0.0,12.743731709794,1.0,12.743731709794,12.743731709794,12.743731709794,1.0,1.0,0.0,12.894177942225165,1.0,12.894177942225165,12.894177942225165,12.894177942225165,1.0,1.0,0.0
DLinear,Hourly,2.1779723277238223,1.0510703268437689,2.1779723277238223,2.072147098152792,2.1244008658325293,1.025217209592079,0.9514111229862928,0.04980900387477692,4.821115125643866,1.2068272920510459,4.821115125643866,3.9948674987704407,4.388589309022348,1.0985569134328206,0.8286189801860252,0.18799484326999022,3.764875508056641,1.1445844660120807,3.764875508056641,3.2892946041580333,3.519060200391213,1.0698525440508522,0.8736795140022854,0.13504165935794404
DLinear,Monthly,4.737448198565868,1.0,4.737448198565868,4.737448198565868,4.737448198565868,1.0,1.0,0.0,7.3633987209783855,1.0,7.3633987209783855,7.3633987209783855,7.3633987209783855,1.0,1.0,0.0,6.065026106854241,1.0,6.065026106854241,6.065026106854241,6.065026106854241,1.0,1.0,0.0
DLinear,Quarterly,7.934602713416488,1.0021995223776312,7.934602713416488,7.917188679747455,7.925890914020609,1.0010991571156331,0.9978053049033461,0.002197106969467353,9.14954344875364,1.0040183521037465,9.14954344875364,9.112924509380091,9.13121562245603,1.0020071617028226,0.9959977304246215,0.0040103000902741185,8.528719529988242,1.0030889462773622,8.528719529988242,8.502455900486,8.515577590001675,1.0015432822785855,0.9969205659290477,0.0030841852845909837
DLinear,Weekly,6.588001953096114,1.0,6.588001953096114,6.588001953096114,6.588001953096114,1.0,1.0,0.0,14.017483243640214,1.0,14.017483243640214,14.017483243640214,14.017483243640214,1.0,1.0,0.0,11.021386395501096,1.0,11.021386395501096,11.021386395501096,11.021386395501096,1.0,1.0,0.0
DLinear,Yearly,7.694780200808144,1.0181238566553705,7.694780200808144,7.557803650811403,7.62598438851399,1.0090212369694558,0.9821987702803577,0.01796157738311386,6.502654691019259,1.0203615143936833,6.502654691019259,6.372892939698192,6.437446867329622,1.0101294542748882,0.9800448036245443,0.02015699037832579,7.111230180711059,1.0192191987208163,7.111230180711059,6.977135232181749,7.043863615800161,1.0095638655978216,0.9811432136041613,0.019036842707813365
GRU,Daily,16.361260929340112,1.0,16.361260929340112,16.361260929340112,16.361260929340112,1.0,1.0,0.0,16.251990150685106,1.0,16.251990150685106,16.251990150685106,16.251990150685106,1.0,1.0,0.0,16.306519409981536,1.0,16.306519409981536,16.306519409981536,16.306519409981536,1.0,1.0,0.0
GRU,Hourly,1.188466569315546,1.0,1.188466569315546,1.188466569315546,1.188466569315546,1.0,1.0,0.0,1.5372945950722534,1.0,1.5372945950722534,1.5372945950722534,1.5372945950722534,1.0,1.0,0.0,1.4352982915021322,1.0,1.4352982915021322,1.4352982915021322,1.4352982915021322,1.0,1.0,0.0
GRU,Monthly,4.518450463324168,1.0058448748315785,4.518450463324168,4.4921941507936305,4.505303179808835,1.002918179529905,0.9941890892146195,0.005827859818900212,6.744027583723935,1.0102216004368707,6.744027583723935,6.675790322447549,6.709822209100892,1.0050978064033722,0.9898818235202551,0.010169713160249087,5.6661178149210825,1.0081018287866002,5.6661178149210825,5.6205808313442835,5.6433033924009255,1.0040427425097997,0.99196328331598,0.008069185168564771
GRU,Quarterly,7.561738117148814,1.0073436838883223,7.561738117148814,7.506611932047549,7.534124605898688,1.0036651253721642,0.9927098526493205,0.007316850333145086,8.593327010551318,1.0266081327259597,8.593327010551318,8.37060094949121,8.481232884068762,1.0132167254472064,0.9740815098987117,0.026260293113427056,8.067560849310485,1.0167896911175223,8.067560849310485,7.934345636848144,8.000675985486074,1.0083599015815348,0.9834875478536084,0.016650302286954095
