model,dataset,seq_len,pred_len,lr_tag,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction,formal_lr
DLinear,ETTh1,96,96,0p0001,0.5691572427749634,0.5785605311393738,0.5687590837478638,0.5781509876251221,0.9993004410781837,1.0165214244108782,1.0158018631306687,0.9830589076441012,0.9992962873703064,1.0165171991219917,0.9999916867859276,8.313248627308586e-06,False
DLinear,ETTh1,96,96,0p0003,0.4539696276187897,0.45533549785614014,0.4537366032600403,0.45500168204307556,0.9994866961475558,1.003008726034195,1.0022733997199313,0.9964885351490759,0.9993767817524073,1.0028984243184487,0.999780070406374,0.0002199537816856328,False
DLinear,ETTh1,96,96,0p001,0.3995872139930725,0.39837074279785156,0.3987446129322052,0.39756476879119873,0.9978913212651446,0.9969556803805989,0.9949386638734921,1.0009384979723357,0.9979340718665416,0.9969983908982616,1.0000856837136949,8.568004305516229e-05,False
DLinear,ETTh1,96,96,0p003,0.38691025972366333,0.38559186458587646,0.3852643072605133,0.38388654589653015,0.9957459063909921,0.9965925040635302,0.9921849737732653,0.9991505076858535,0.9956616494893399,0.996508175525433,0.9998307734205407,0.00016924089989249982,False
DLinear,ETTh1,96,96,0p005,0.40008309483528137,0.39987173676490784,0.38206246495246887,0.38065075874328613,0.9549577822321341,0.9994717145685434,0.9514292497162476,0.9554625391718811,0.9534437617270795,0.9978871202563825,0.9968316498487791,0.0031733799995849617,True
DLinear,ETTh1,96,96,0p01,0.3836180567741394,0.38219285011291504,0.38177093863487244,0.38041451573371887,0.9951850073096156,0.9962848290479104,0.9916491390750497,0.9988960769990387,0.9952660120699095,0.9963659233300477,1.0001627999948923,0.0001627867444112573,False
DLinear,ETTh1,96,192,0p0001,0.598486065864563,0.6031510233879089,0.5981345176696777,0.6027160882949829,0.9994126042109646,1.007794596715643,1.0070678712031655,0.9916828364311588,0.9993457474735378,1.0077271792561784,0.9998662124113308,0.00013379653902696853,False
DLinear,ETTh1,96,192,0p0003,0.4926866590976715,0.4956892430782318,0.49852150678634644,0.4952049255371094,1.0118429179701378,1.0060943074571156,1.0051112941520477,1.0057137889265586,1.00541249640858,0.9997004192233455,0.9873300721379339,0.01275087586178561,False
DLinear,ETTh1,96,192,0p001,0.44818851351737976,0.4527607560157776,0.44663384556770325,0.45073071122169495,0.9965312186662807,1.0102016057094254,1.0056721616633235,0.9864676645078735,0.9960236285232411,1.009687052459175,0.9989815454624195,0.0010189735148028237,False
DLinear,ETTh1,96,192,0p003,0.43717917799949646,0.43636345863342285,0.433896541595459,0.434183806180954,0.9924913249092544,0.998134130335744,0.9931484115225956,0.9943466461520641,0.993747348237339,0.9993972947793968,1.0025326530549403,0.002529451294018948,False
DLinear,ETTh1,96,192,0p01,0.433807909488678,0.4334672689437866,0.4311608374118805,0.43126675486564636,0.9938980548328002,0.9992147664036535,0.9941422123307369,0.9946791102877822,0.9944106250743024,0.99973007856433,1.0010317002023161,0.0010311683654284538,False
DLinear,ETTh1,96,336,0p0001,0.6170066595077515,0.6207112669944763,0.6161567568778992,0.6198638677597046,0.9986225389681688,1.0060041612673685,1.0046307575581641,0.9926624336325803,0.9986286660715433,1.0060103336610915,1.0000122711473696,1.2271072079656181e-05,False
DLinear,ETTh1,96,336,0p0003,0.5261525511741638,0.5302248001098633,0.5249615907669067,0.5290144085884094,0.9977364731871026,1.007739673458984,1.005439216074994,0.9900736266167369,0.9977268418771033,1.00772994558649,0.999980693772811,1.9306413556644914e-05,False
DLinear,ETTh1,96,336,0p001,0.4927528202533722,0.4976014196872711,0.48988044261932373,0.49434617161750793,0.9941707535381097,1.009839820767349,1.0032335712727458,0.9844836112549683,0.9938143736024406,1.009477823948311,0.9992831894144448,0.0007170676170989149,False
DLinear,ETTh1,96,336,0p003,0.48023250699043274,0.48527705669403076,0.4771714508533478,0.4811757802963257,0.9936258872680896,1.0105043903321158,1.001964201282009,0.9832969522690754,0.9925866941498449,1.0094475446703381,0.9979093747324166,0.0020928136752136435,False
DLinear,ETTh1,96,336,0p005,0.4828241765499115,0.48730137944221497,0.4799388349056244,0.48332399129867554,0.9940240323819227,1.0092729467780506,1.0010351899781313,0.984891188805954,0.9929303793792171,1.0081625164938366,0.9978007546431303,0.002201667248480308,True
DLinear,ETTh1,96,336,0p01,0.5282970070838928,0.5303298830986023,0.5157501101493835,0.517169713973999,0.9762502971505254,1.0038479794271986,0.9789374292099163,0.9725081059659842,0.9757174719867148,1.0033000917946515,0.998908722976637,0.0010918728996840447,False
DLinear,ETTh1,96,720,0p0001,0.631447970867157,0.6297270059585571,0.6266788244247437,0.6273200511932373,0.9924472851882572,0.997274573697281,0.9934627714960412,0.9951595191170599,0.9943107833784677,0.9991471359894689,1.0037588852213613,0.0037518382659181906,False
DLinear,ETTh1,96,720,0p0003,0.5475829243659973,0.5491715669631958,0.5383768677711487,0.543712317943573,0.9831878311298556,1.0029011909000594,0.9929314698282351,0.9803436670042123,0.9866174933657391,1.0063996194117302,1.0069887848215016,0.006964476456433337,False
DLinear,ETTh1,96,720,0p001,0.5112051367759705,0.5152379274368286,0.5106558203697205,0.5086169242858887,0.9989254481875625,1.007888791349578,0.9949370373967583,0.9911068133320408,0.9930200786491291,1.0019304330182697,0.9882115044768626,0.011858530787552392,False
DLinear,ETTh1,96,720,0p003,0.5065279006958008,0.5400543212890625,0.48448461294174194,0.49797749519348145,0.9564815921812427,1.0661886947337107,0.9831195764526023,0.897103483563134,0.9391272527164475,1.0468438367738833,0.9640413331419205,0.03662110858753394,False
DLinear,ETTh1,96,720,0p01,0.5064728856086731,0.5043502449989319,0.4845148026943207,0.4956446588039398,0.9566450968288984,0.9958089748334894,0.978620322800262,0.9606712944004752,0.9696042760998625,1.0092986870238088,1.027276478985876,0.026911105023400113,False
DLinear,ETTh1,336,96,0p005,0.37416955828666687,0.35209402441978455,0.36994823813438416,0.3512173891067505,0.9887181625046884,0.9410012563075232,0.9386583737997954,1.050708653019663,0.9931044635791395,0.945175868424636,1.0088923837496475,0.00885307934001655,True
DLinear,ETTh1,336,336,0p005,0.434763640165329,0.40873003005981445,0.47606852650642395,0.4481264054775238,1.095005383443261,0.9401200843391259,1.03073570114353,1.1647505480249518,1.0956961133342629,0.9407131125134188,1.0012619988135456,0.0012612031623797772,True
