dataset,n,RN_vs_NN_gmean,RN_vs_NN_median,RN_vs_NN_better_share,NR_vs_NN_gmean,NR_vs_NN_median,NR_vs_NN_better_share,RR_vs_NN_gmean,RR_vs_NN_median,RR_vs_NN_better_share,RN_vs_NR_gmean,RN_vs_NR_median,RN_vs_NR_better_share,train_main_gmean,train_main_median,train_main_better_share,test_main_gmean,test_main_median,test_main_better_share,interaction_gmean,interaction_median,interaction_better_share,median_abs_log_interaction,p90_abs_log_interaction
ETTh1,28,1.0439307520615733,0.9993552327596241,0.5,1.0384251539663827,0.9959076782292153,0.6071428571428571,0.9603988074833226,0.964985821412225,0.8214285714285714,1.0053018728159284,1.0028244100886234,0.5,0.9825938732829391,0.9902344063840143,0.8214285714285714,0.977411760440292,0.9670455581730755,0.7142857142857143,0.8859408382517991,0.9917867572936144,0.7857142857142857,0.014273630532311725,0.5064280564777807
ETTh2,28,1.0061501590666393,0.9997640247274979,0.5,0.9397042996206917,0.9812565000211966,0.6428571428571429,0.9465821920085147,0.9779247195577423,0.6071428571428571,1.0707093278947093,1.0343400463602088,0.25,1.006734514458771,1.0046407065943237,0.42857142857142855,0.9402500643552538,0.9676910352616825,0.6785714285714286,1.0011619042721285,0.9983999683504454,0.5714285714285714,0.024197156687686024,0.08735961080499677
ETTm1,28,1.1095821601463611,1.0378137853609632,0.17857142857142858,1.097707763220868,1.0344643525145325,0.32142857142857145,0.9870637218386119,0.990659706145769,0.6428571428571429,1.0108174482529406,1.013121718206231,0.32142857142857145,0.9988699778109041,1.0002214061965695,0.5,0.9881803876034332,0.9910634816025992,0.6428571428571429,0.8103991729434873,0.9287424630847945,0.8571428571428571,0.07413437969784432,0.7013581036139488
ETTm2,28,1.020653562906953,1.0115224447851379,0.25,1.0228985176492955,1.0135587044685659,0.2857142857142857,1.0110153303625091,1.0084496313169478,0.2857142857142857,0.997805300620142,0.9892927227690022,0.6428571428571429,1.0043885979260894,0.9947773651078243,0.5357142857142857,1.0065977774440122,1.0088700282187903,0.32142857142857145,0.9683822842883909,0.9890676831685257,0.7142857142857143,0.025081964507861536,0.1500465354147464
electricity,24,1.2206754440626497,1.0165777839464392,0.20833333333333334,1.1870203251732387,1.0072187912059873,0.4583333333333333,0.9868971150873738,0.9568702146071157,0.9583333333333334,1.0283526054067351,1.0170846520927586,0.125,1.0074116435541587,0.9993160938760832,0.6666666666666666,0.9796363992832071,0.9713167807277794,0.9166666666666666,0.6811041335252399,0.9540391568847273,0.8333333333333334,0.04706898226811558,0.8146948909541925
exchange_rate,28,0.9613749876848149,0.9397368480151025,0.6428571428571429,1.0216442259171867,0.9848191951436456,0.6071428571428571,1.053048313603988,0.9957503141021822,0.5357142857142857,0.9410076064607865,0.9766640614785747,0.6071428571428571,0.9954528984698655,0.9871474521460808,0.5714285714285714,1.0578585036244847,1.007417684311742,0.42857142857142855,1.0721506009530037,1.0851480738528276,0.21428571428571427,0.0871784940617826,0.2579466636506033
illness,14,1.2441332643045842,1.185785177680732,0.07142857142857142,0.502218145170397,0.557465611756848,0.9285714285714286,0.36923418618726045,0.3675363257974588,1.0,2.477276610311369,2.759112950044308,0.0,0.9563969955876344,0.9756148933781317,0.7142857142857143,0.38606790683234393,0.4185279445102677,1.0,0.5909389313223087,0.5511830021781906,0.8571428571428571,0.5957191955100312,1.0366692078633732
weather,28,1.3695605372527782,1.0167375731940351,0.14285714285714285,2.390815563285944,1.007671811920365,0.32142857142857145,2.0737392535668246,1.0038934893492537,0.4642857142857143,0.5728424050287049,1.0013593093423276,0.39285714285714285,1.0899200802882985,1.0015850784137619,0.42857142857142855,1.9026525807454548,1.0003514756133778,0.4642857142857143,0.6333253043791565,0.9915999804997613,0.6785714285714286,0.012689117186416396,0.5050853604623707
