model,case,seasonal_pattern,seq_len,pred_len,smape,mase,owa
Ridge-default,RR,Daily,140,14,7.374961061688785,2.9143506115311797,1.824162248204118
Ridge-default,RR,Hourly,480,48,22.804156920981644,2.3376733044527604,1.637384779817045
KNN-default,NN,Yearly,9,6,18.2333766042479,4.588444126890785,1.1351183422514093
KNN-default,NN,Quarterly,12,8,13.373379692503995,1.815140324286982,1.100458159031088
KNN-default,NN,Monthly,27,18,17.073242459478386,1.4723267241802418,1.118317752539668
KNN-default,NN,Weekly,130,13,10.278830920381855,3.7607844710175886,1.2380516206284358
KNN-default,NN,Daily,140,14,3.549222812461326,4.314583784752296,1.2407740794501303
KNN-default,NN,Hourly,480,48,26.518050996938587,5.511851166913085,3.2627183969908535
KNN-default,NR,Yearly,9,6,22.19231675970556,4.656827232903934,1.209619170638687
KNN-default,NR,Quarterly,12,8,13.659155154568367,1.762899102905587,1.1400316729867963
KNN-default,NR,Monthly,27,18,15.38085310810516,1.366871314166745,1.0803757948978163
KNN-default,NR,Weekly,130,13,42.39386480805479,3.8492809735313633,5.039251130504291
KNN-default,NR,Daily,140,14,7.7865485928959774,4.369694706853106,2.1493080150832733
KNN-default,NR,Hourly,480,48,31.11489692448069,7.819099130305312,3.9543642088694697
KNN-default,RN,Yearly,9,6,20.310224846305612,5.039126747216983,1.2553597006939916
KNN-default,RN,Quarterly,12,8,13.869792701514532,1.9430618627064808,1.1602002101655162
KNN-default,RN,Monthly,27,18,17.613895697952554,1.5051615836167955,1.1482581824522242
KNN-default,RN,Weekly,130,13,11.228112339827591,5.856546716013793,1.66716379339596
KNN-default,RN,Daily,140,14,3.9012496299700703,5.0183501348364805,1.4059063936862883
KNN-default,RN,Hourly,480,48,34.41028767483583,11.069511585914846,5.875230317900653
KNN-default,RR,Yearly,9,6,15.606915081641628,2.626818002538432,0.7618092819875525
KNN-default,RR,Quarterly,12,8,12.566631715352845,1.443929768320754,0.988121763286576
KNN-default,RR,Monthly,27,18,14.749097249639682,1.2342576636236169,1.003596007272221
KNN-default,RR,Weekly,130,13,42.18825541222981,3.874504273012117,5.025394925849931
KNN-default,RR,Daily,140,14,7.920444031036184,4.361668712511802,2.1718982038726264
KNN-default,RR,Hourly,480,48,28.93516343775104,7.534591868249075,3.775165528465558
OLS-long,NN,Yearly,27,6,16.08457533916943,4.217577602868857,1.0227169083439085
OLS-long,NN,Quarterly,36,8,12.32398305449701,1.71626238724417,1.027697903872408
OLS-long,NN,Monthly,81,18,15.284199021458983,1.23477323512489,0.9680807360501408
OLS-long,NN,Weekly,390,13,7.885004534473711,2.659396444685376,0.9091182896929156
OLS-long,NN,Daily,420,14,3.264162955698664,3.4276980210581485,1.0587091116406038
OLS-long,NN,Hourly,480,48,19.569914647993514,2.6228950848760277,1.8024245519736344
OLS-long,NR,Yearly,27,6,96.563891949568,3.8667478886783377,2.3907935260422275
OLS-long,NR,Quarterly,36,8,24.4482620034974,2.645338408345904,1.34648911578523
OLS-long,NR,Monthly,81,18,41.919684129533564,2.122549708801518,1.0163283714512992
OLS-long,NR,Weekly,390,13,58.63149749481572,10.316263882239875,2.269100073841207
OLS-long,NR,Daily,420,14,58.927475702635306,2.8854734034874405,12.73070355957082
OLS-long,NR,Hourly,480,48,21.10859712804418,3.3809010180460795,1.9678754386191164
OLS-long,RN,Yearly,27,6,17.332554268413258,4.338072260252602,1.076058679501287
OLS-long,RN,Quarterly,36,8,13.015002115914518,1.919933021401415,1.1188493064876468
OLS-long,RN,Monthly,81,18,14.541183092605332,1.2696102712172035,0.9586717958908798
OLS-long,RN,Weekly,390,13,8.724392365922272,4.0737979485362485,1.2095664936981108
OLS-long,RN,Daily,420,14,3.3564380741021296,3.5769774419057203,1.0966267131327527
OLS-long,RN,Hourly,480,48,24.76496895314673,3.981211052251241,2.5583176864653954
OLS-long,RR,Yearly,27,6,90.51692615196887,2.559188307174757,2.0267155365894536
OLS-long,RR,Quarterly,36,8,18.922537507765565,1.4108222882044328,0.8719943938796291
OLS-long,RR,Monthly,81,18,40.948098903871255,1.8338559546787452,0.93325180988069
OLS-long,RR,Weekly,390,13,59.61807630026875,10.693091014044183,2.3176533138930826
OLS-long,RR,Daily,420,14,58.83534537880491,2.790635236714137,12.691712894513238
OLS-long,RR,Hourly,480,48,22.804156880931785,2.337673254185366,1.6373847597882905
RevIN-OLS-long,NN,Yearly,27,6,199.1359361989172,1201.3522111975988,157.23051021079254
RevIN-OLS-long,NN,Quarterly,36,8,11.372746987224415,1.3106000788426102,0.8631217146335433
RevIN-OLS-long,NN,Monthly,81,18,184.33961704772273,79.62763405304047,37.37020039793003
RevIN-OLS-long,NN,Weekly,390,13,7.4523221315813775,2.2526783522027003,0.8122815894912641
RevIN-OLS-long,NN,Daily,420,14,34.833739919941536,47.78194274462285,13.006686571161705
RevIN-OLS-long,NN,Hourly,480,48,13.392201196869452,1.1048093603402147,0.9442656049976176
RevIN-OLS-long,NR,Yearly,27,6,199.9671782476399,6274.417204824953,1265.7582955980872
RevIN-OLS-long,NR,Quarterly,36,8,22.053921510379457,1.83500524984692,1.0672723077001975
RevIN-OLS-long,NR,Monthly,81,18,190.87111541665297,120.3774714918744,32.14225442516641
RevIN-OLS-long,NR,Weekly,390,13,58.37015154867791,10.019060082351016,2.2461654860652547
RevIN-OLS-long,NR,Daily,420,14,77.96175013538779,47.41542275601424,26.05546932655372
