model,dataset,seq_len,pred_len,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction
KNN-fast,ETTh1,96,96,0.6923220093332867,0.7046812578167766,0.7058104660924285,0.6882069081441582,1.019482923520128,1.017851878629992,0.9940560878700196,1.0016024383551088,0.9978221291755118,0.9962257388412462,0.9579577409407821,0.042951613737065526
KNN-fast,ETTh1,96,192,0.7592222180609871,0.7656203881688421,0.766548884964692,0.7527935963864556,1.0096502272054377,1.008427269323329,0.9915326217784434,1.0012127378139322,0.9963609240042594,0.9951540630413209,0.9738486773877089,0.026499349434471072
KNN-fast,ETTh1,96,336,0.851141982673751,0.8579443463813913,0.8593109691169026,0.8469853481659838,1.0095976777193976,1.0079920434499912,0.9951164029123442,1.0015929037137146,0.9983494015253986,0.9967616561815786,0.9778414392641339,0.02240774963319568
KNN-fast,ETTh1,96,720,0.9386576796637456,0.9213644133651896,0.9048862176042244,0.9047147131797796,0.9640215354423786,0.981576599570622,0.9638388230135981,0.9821154414888021,0.9729342172973707,0.990651583506809,1.018576103950443,0.018405675494031454
KNN-fast,ETTh2,96,96,1.4620696785089669,1.4334888786812687,0.7363718337943803,0.7498073435682229,0.5036503010891653,0.9804518209714567,0.5128396782928183,0.5136920451533619,0.5132656847852094,0.999170007843853,1.0385472586401712,0.037822869933368364
KNN-fast,ETTh2,96,192,1.272806990739093,1.262402767268514,0.9163839565684354,0.942843170360002,0.7199708700816531,0.9918257649853592,0.7407589502729807,0.725904584755651,0.7332941553032725,1.0101798097199082,1.0373530695532378,0.036672343385976025
KNN-fast,ETTh2,96,336,1.1259980772063627,1.137383321563652,1.1953003751724751,1.243519047599202,1.0615474389956807,1.0101112467132594,1.1043704894100819,1.0509213143104648,1.0773144787927684,1.025114310769899,1.0299263739168467,0.029487318052481237
KNN-fast,ETTh2,96,720,1.0969547663662331,1.1648377075717526,1.3922869222430525,1.5121968306855194,1.2692291103808548,1.0618830814969593,1.378540735726793,1.1952625788063178,1.2836347435210553,1.0739353563657894,1.0228286356250746,0.02257196132991036
KNN-fast,ETTm1,96,96,0.6143335633391674,0.6267571515206999,0.6197730754202109,0.6092596677037917,1.0088543299693367,1.0202228706405114,0.9917408132354076,0.9888568066857417,0.9902977600882906,1.0014571911654009,0.9635509165395804,0.037129947127430146
KNN-fast,ETTm1,96,192,0.6515163261736696,0.6607824627938688,0.6577529558045614,0.647848073578267,1.0095724840350806,1.0142224166117506,0.994369668958342,0.9954152733162768,0.9948923337746571,0.9994746518808402,0.9711295250757825,0.02929542610002948
KNN-fast,ETTm1,96,336,0.6852028841034479,0.6983612707721681,0.6890855737554974,0.6771257706150507,1.0056664817707675,1.0192036358485812,0.9882120848061438,0.9867179103354131,0.9874647149585246,1.0007568572692247,0.964129165369193,0.036530004375120086
KNN-fast,ETTm1,96,720,0.7582471964921476,0.7680195936808487,0.7673523622876552,0.7594726447140512,1.012008176011241,1.0128881415373652,1.0016161592519865,0.9991312312879992,1.0003729236996541,1.0012427720931656,0.9771378014113513,0.023127591428470477
KNN-fast,ETTm2,96,96,0.346713406168794,0.3512810869237514,0.3833690642920535,0.3861210508967767,1.1057232211707846,1.0131742259563326,1.1136605739115766,1.0913455878006524,1.102446621676506,1.0101718777259414,0.9940821633418437,0.005935416444024996
KNN-fast,ETTm2,96,192,0.5066972745583694,0.5167028144669218,0.5836408289351862,0.5891310737465072,1.1518531048817655,1.019746583238035,1.1626884598106155,1.1295483837016136,1.145998634609832,1.0145635646472353,0.989860526268271,0.010191228335683075
KNN-fast,ETTm2,96,336,0.615064178945998,0.631723674239106,0.788699794701117,0.8025994238071215,1.282304874350948,1.0270857836683913,1.3049035389810741,1.2484885826878096,1.2763844130695063,1.0223436808061481,0.9907872240417107,0.009255476038572
KNN-fast,ETTm2,96,720,1.246577246790249,1.2662177498982246,1.1543885438425558,1.1770677936202412,0.9260465380825254,1.0157555443583997,0.9442397546169046,0.9116824842609754,0.9278183255503814,1.0176989703849426,1.0038302231233198,0.0038229064956590997
KNN-fast,electricity,96,96,0.4850055284216553,0.4934054655134401,0.494499075326015,0.4753561399775663,1.0195741003927408,1.0173192605022887,0.9801045805075855,1.0022164525709842,0.9910988527008217,0.9889069872664308,0.9449228630030893,0.05665198127177182
KNN-fast,electricity,96,192,0.6039850164909614,0.6047255383093363,0.6028020672893749,0.5915666534724143,0.9980414262452085,1.0012260599156535,0.9794392862745248,0.9968192660998924,0.9880910638871166,0.9912439471129755,0.9801596204465642,0.02003984257400361
KNN-fast,electricity,96,336,0.9301426422522552,0.9260363421445594,0.9319697282221224,0.925612863543506,1.0019643072867224,0.9955853006612484,0.9951300171576042,1.0064072928971903,1.0007527699928285,0.9943814766205799,0.9975831378172213,0.002419787508540641
KNN-fast,electricity,96,720,1.1792229741797438,1.168669962712857,1.176477288369313,1.1705975389823493,0.9976716143845988,0.9910508769775052,0.9926854925775219,1.0066805222223156,0.9996585167298163,0.9930245938632072,1.003987045063146,0.003979117862729162
KNN-fast,exchange_rate,96,96,0.3139230163068213,0.3756653441570291,0.1564149306185857,0.2130177432256388,0.49825888034189014,1.196679837549287,0.6785668210369132,0.4163677407336351,0.5315386479005496,1.276608622377864,1.138045429999505,0.12931225582076983
KNN-fast,exchange_rate,96,192,0.5279835041706925,0.6737609485764371,0.3234597394292747,0.4575762466378806,0.6126322827781054,1.276102270722867,0.866648755166317,0.480080865643371,0.6450282820070724,1.3435825673715414,1.1085563085464858,0.10305854584904171
KNN-fast,exchange_rate,96,336,0.854205298584022,1.169214827135927,1.019995921830568,1.2382075349132695,1.1940875612939532,1.3687749643722442,1.44954326198373,0.8723768277290145,1.1245212103581392,1.2890314994788559,0.886876105241073,0.12004998484893295
KNN-fast,exchange_rate,96,720,1.286335903805872,2.526972141580465,1.6997541320082887,2.409685823212922,1.3213921239228723,1.9644729919330808,1.8732943829705782,0.6726445867920007,1.1225245325484072,1.6688226659222658,0.7216527228833632,0.3262112490400032
KNN-fast,illness,104,24,4.815227406242141,1.298611841506851,5.220983289305136,1.6193319071276282,1.0842651548578992,0.269688579987607,0.33629396298676023,4.020434068464169,1.162775862241214,0.28921649812936784,1.1500613635319754,0.13981530054460836
KNN-fast,illness,104,36,5.369307124228076,1.4403979696315343,5.595452372411697,1.75068444318781,1.0421181435428009,0.2682651478683322,0.3260540704196538,3.8846572200063987,1.1254369368241752,0.2897133191129594,1.1662950030238233,0.15383206023670418
KNN-fast,illness,104,48,5.562743035611479,1.5769520842649167,5.720811887155869,1.810727966335196,1.028415630657837,0.2834846179608891,0.3255099066671437,3.6277651960633785,1.086680040481513,0.2995453073039869,1.1165188073265868,0.11021563705238349
KNN-fast,illness,104,60,5.499792217957937,1.6503540022041674,6.040707552598855,1.964147491361487,1.0983519582566628,0.300075700462906,0.35713121760275723,3.6602495855622807,1.1433238348000294,0.3123622605709261,1.0835662193433517,0.08025765627198658
KNN-fast,traffic,96,96,1.483337299719133,1.5089104413529566,1.5129398080996144,1.5066552475585409,1.0199566938592366,1.0172402741026372,1.015719922800986,1.0026703816450795,1.0091740596345982,1.0064863569409999,0.9789684422409923,0.021255871658619363
KNN-fast,traffic,96,192,1.2632440682375223,1.3142513205731057,1.2728099959104318,1.2677385144993203,1.0075725094725803,1.0403779868182945,1.003557860570894,0.9684677321498885,0.9858566859885304,1.017955119475215,0.957359283071487,0.04357653157705568
KNN-fast,traffic,96,336,1.6159316471146157,1.6234182069153205,1.5959263926457457,1.595967858857019,0.9876199872039197,1.00463296811723,0.9876456480735162,0.9830654761955563,0.9853529009120844,1.0023268284482743,0.9954142600036631,0.004596286757481992
KNN-fast,traffic,96,720,1.8088808458818348,1.8049393034034371,1.7960501000710272,1.804060261730984,0.9929068043149339,0.9978210049117546,0.9973350460524664,0.9950750680005426,0.9962044161566351,1.0011349376468268,1.006653369261567,0.006631333288610103
KNN-fast,weather,96,96,0.231725765656835,0.2315919556096807,0.2270737524357469,0.227292583675704,0.9799244887252748,0.9994225499837059,0.9808688430975081,0.9804906730804214,0.9806797398602103,1.0001928287386916,1.0015420416341145,0.0015408539087717046
