model,n,RN_vs_NN_gmean,RN_vs_NN_median,RN_vs_NN_better_share,NR_vs_NN_gmean,NR_vs_NN_median,NR_vs_NN_better_share,RR_vs_NN_gmean,RR_vs_NN_median,RR_vs_NN_better_share,RN_vs_NR_gmean,RN_vs_NR_median,RN_vs_NR_better_share,train_main_gmean,train_main_median,train_main_better_share,test_main_gmean,test_main_median,test_main_better_share,interaction_gmean,interaction_median,interaction_better_share,median_abs_log_interaction,p90_abs_log_interaction
DLinear,6,6.150862616680457,7.141391076952129,0.0,1.1863760151576135,1.0929247676015863,0.16666666666666666,5.971052781428529,7.1471307882111645,0.0,5.184581058698576,6.583011709812358,0.0,5.563938097344706,6.8537909569242235,0.0,1.0731702396685745,1.0452215414180235,0.16666666666666666,0.8182622679100756,0.9146647305228128,1.0,0.08922022809865143,0.508251788682898
GRU,6,5.741333159256828,7.212267648507972,0.0,1.0304036503962473,1.012725358661552,0.3333333333333333,5.7409751522984145,7.2109909540464745,0.0,5.5719262611782945,6.86002523054421,0.0,5.65581914631856,7.1036744813052115,0.0,1.01505635236503,1.0061672216466144,0.3333333333333333,0.9704329400889641,0.987123816000071,0.6666666666666666,0.012973036991113553,0.07910868613018984
PatchTST,6,5.638786341537494,5.810336551577718,0.0,1.109689579199073,1.0530606913357197,0.0,5.52068127219846,5.811673402980066,0.0,5.081408753614981,5.566198731915933,0.0,5.2964930040988,5.686623574594201,0.0,1.0423276813404958,1.0259510723175722,0.0,0.8822781578642332,0.9511167614418012,1.0,0.05095995074195866,0.3209008366323476
TimeFilter,6,5.360612816484814,6.657597967130338,0.0,1.042241249301328,1.0517283374880273,0.16666666666666666,5.3567994326463575,6.6584460105767755,0.0,5.143351234734116,6.458867701510917,0.0,5.248990472093149,6.583291057145811,0.0,1.02053898956883,1.0240567916766352,0.16666666666666666,0.9587882170210245,0.9482246081201648,0.8333333333333334,0.05323912557682175,0.07625212700856614
TimeMixer,6,6.132956107984336,7.0407630785033355,0.0,1.1426205489651595,1.0910744634351426,0.0,5.996664987956429,7.044471324203672,0.0,5.367447761672749,6.368301927321095,0.0,5.673339939322171,6.703411419906888,0.0,1.0569902477363073,1.0442317481637557,0.0,0.8557322514718112,0.9162531643148442,1.0,0.08758570008587042,0.37744406971951266
TimesNet,6,5.184061802419164,6.731951625445322,0.0,1.016392018446175,1.0214392783026467,0.16666666666666666,5.144297328459494,6.735805093245734,0.0,5.1004550491692955,6.568124257751774,0.0,5.122329282989266,6.651435735449323,0.0,1.0042886827957704,1.0115719687841729,0.16666666666666666,0.9763255292425973,0.978316631692534,1.0,0.021922252288780846,0.038063315624948635
iTransformer,6,5.6336789144590504,7.211298445246575,0.0,1.0565114132692535,1.0465780172786316,0.0,5.649116587552799,7.237228949379011,0.0,5.332340799827496,6.737604539307236,0.0,5.488443756001337,7.024873364392462,0.0,1.029274752314948,1.0248646328311768,0.0,0.9491049832927655,0.9560869681058075,1.0,0.045159103356249605,0.09955989216050867
