dataset,RN_vs_NN,NR_vs_NN,RR_vs_NN,train_main,test_main,RN_vs_NR,abs_log_interaction,channels,train_rows,test_rows,known_period,trend_r2,trend_slope_abs,lag1_autocorr,period_autocorr,roughness_std_diff,train_test_mean_shift,train_test_scale_shift,forward_similarity,reverse_similarity,reverse_similarity_gain,last_value_competitiveness
ETTh1,1.0439307520615733,1.0384251539663827,0.9603988074833226,0.9825938732829391,0.977411760440292,1.0053018728159284,0.014273630532311725,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,0.34169580034619135
ETTh2,1.0061501590666393,0.9397042996206917,0.9465821920085147,1.006734514458771,0.9402500643552538,1.0707093278947093,0.024197156687686024,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,0.9286817061122449
ETTm1,1.1095821601463611,1.097707763220868,0.9870637218386119,0.9988699778109041,0.9881803876034332,1.0108174482529406,0.07413437969784432,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,0.31126806978291877
ETTm2,1.020653562906953,1.0228985176492955,1.0110153303625091,1.0043885979260894,1.0065977774440122,0.997805300620142,0.025081964507861536,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,0.8961254136428104
electricity,1.2206754440626497,1.1870203251732387,0.9868971150873738,1.0074116435541587,0.9796363992832071,1.0283526054067351,0.04706898226811558,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.1251727425561767
exchange_rate,0.9613749876848149,1.0216442259171867,1.053048313603988,0.9954528984698655,1.0578585036244847,0.9410076064607865,0.0871784940617826,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,0.9912137171231519
illness,1.2441332643045842,0.502218145170397,0.36923418618726045,0.9563969955876344,0.38606790683234393,2.477276610311369,0.5957191955100312,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.3172914335565891
weather,1.3695605372527782,2.390815563285944,2.0737392535668246,1.0899200802882985,1.9026525807454548,0.5728424050287049,0.012689117186416396,21,36887,10635,144,0.0392322322229802,0.5008875139319284,0.8918655796426539,0.6085359983796411,0.2601478953665244,0.4212725780518948,0.9068202844539272,-0.0490360717879096,-0.014719929719353,0.0343161420685566,0.7499508387840241
