model,dataset,seq_len,pred_len,mse_RN_vs_NN,mse_NR_vs_NN,mse_RR_vs_NN,mse_RN_vs_NR,mse_train_main,mse_test_main,mse_interaction,mse_abs_log_interaction,mae_RN_vs_NN,mae_NR_vs_NN,mae_RR_vs_NN,mae_RN_vs_NR,mae_train_main,mae_test_main,mae_interaction,mae_abs_log_interaction
DLinear,ETTh1,96,96,0.9549577822321341,0.9994717145685434,0.9514292497162476,0.9554625391718811,0.9534437617270795,0.9978871202563825,0.9968316498487791,0.0031733799995849617,0.946115384631824,0.9909476729864052,0.9417121409448306,0.954758167785519,0.9482127178380729,0.9931443896807631,1.004438481621661,0.004428660611633128
DLinear,ETTh1,96,336,0.9940240323819227,1.0092729467780506,1.0010351899781313,0.984891188805954,0.9929303793792171,1.0081625164938366,0.9978007546431303,0.002201667248480308,0.997635705447537,0.9842907288025095,0.9822967501283245,1.0135579623525084,0.9978049370921933,0.9844576967026614,1.0003392941879345,0.00033923664067816214
DLinear,ETTh1,336,96,0.9887181625046884,0.9410012563075232,0.9386583737997954,1.050708653019663,0.9931044635791395,0.945175868424636,1.0088923837496475,0.00885307934001655,0.9878824169108263,0.9671914601046142,0.97140935535863,1.0213928241301615,0.9960876190658183,0.9752248062973288,1.0166806850671373,0.016543090446775644
DLinear,ETTh1,336,336,1.095005383443261,0.9401200843391259,1.03073570114353,1.1647505480249518,1.0956961133342629,0.9407131125134188,1.0012619988135456,0.0012612031623797772,1.0955647799491557,0.9488661985264899,1.0427896227895026,1.1546040755276945,1.0972735066476118,0.9503461228872931,1.0031217856948964,0.0031169230394178238
DLinear,ETTh2,96,96,1.10150216808446,1.0087422882292092,1.0841900603989985,1.0919559742241853,1.0880660888232694,0.9964376902615697,0.9757528704523861,0.024545931134926417,1.0575878371534195,1.0142883010988062,1.0676735645520745,1.0426895745595268,1.0551076223737823,1.0119096307446072,0.9953151758370994,0.004695832346010101
DLinear,ETTh2,96,336,1.0184113201047391,0.9913543752001949,1.00818702340726,1.027292909156809,1.0176951312894191,0.9906572139437158,0.9985940121158522,0.0014069772125442177,1.0069489759337493,1.0190905894438962,1.0259262606243276,0.988085834923888,1.0068282901266388,1.0189684484285664,0.9997603084610647,0.00023972026954332653
DLinear,ETTh2,336,96,1.0759407328021748,0.8945746321426086,0.9636809448350376,1.2027400444222005,1.0765954032967637,0.895118948013378,1.001217296912595,0.0012165566074281633,1.054501491228115,0.979173588615663,1.0233360059924728,1.0769300801086241,1.0497910872699925,0.9747996705265264,0.9910860564332258,0.008953910447346962
DLinear,ETTh2,336,336,1.0743880427051393,0.9198632231920565,0.9865169810439267,1.1679867350026885,1.073423843462686,0.9190377007665376,0.9982059245850385,0.001795686695719942,1.0406070568834755,0.9797009320297537,1.0187858609254092,1.0621680789131598,1.0402508450960428,0.9793655691107352,0.9993154941293607,0.0006847402517456868
DLinear,ETTm1,96,96,0.9956633832616402,1.0065960443108317,1.0018389905082072,0.989138978728377,0.9954687317648687,1.0063992554864527,0.9996090396153409,0.0003910368295955972,0.9983045975419915,1.001318610680257,0.9982298652997489,0.9969899559379829,0.9976097179865357,1.0006216331918507,0.9986083651856282,0.0013926040374074235
DLinear,ETTm1,96,336,0.9843821008124485,1.0150090477774139,0.9994958213763131,0.9698259369884142,0.9845491209087984,1.015181264347398,1.0003393687580477,0.00033931118549595477,0.9839407663171723,0.9979112018761004,0.9830384716585605,0.9860003219398046,0.984518282986433,0.9984969183879616,1.0011742295340937,0.0011735406658012991
DLinear,ETTm1,336,96,0.9906448504846377,0.9855978316234507,0.9764719175728719,1.0051207690391055,0.9906927902916903,0.98564552719251,1.0000967873945812,9.678271098351959e-05,0.9929211079292811,0.9974172491699098,0.9903091686237969,0.9954922162772194,0.9928973104369626,0.9973933439178854,0.9999520662680058,4.7934880852231784e-05
DLinear,ETTm1,336,336,1.011072115806362,0.995974987717933,1.008350917031386,1.015158139787246,1.0117488034024777,0.9966415711492175,1.0013390024931959,0.0013381068287995476,1.0139012553383235,0.9959184917071454,1.009805440887186,1.0180564612274177,1.0139225580278803,0.9959394165677677,1.0000420216726946,4.2020789808870866e-05
DLinear,ETTm2,96,96,1.0022474880701013,1.002827449200501,1.0050605927824083,0.9994216740568261,1.002237167624081,1.0028171227824454,0.9999794055001252,2.0594711944417312e-05,1.0098530500320437,1.006160291818172,1.0123311295531072,1.0036701490248625,1.0079913370962443,1.0043053866607274,0.9963163019474485,0.0036904995765340352
DLinear,ETTm2,96,336,1.0755983289389897,1.0032599328847767,1.0791578801933925,1.0721033439920309,1.0756248286696843,1.0032846503999706,1.0000492750061454,4.9273792172140826e-05,1.06214592396114,1.0024989939285105,1.0611892141755126,1.0594982442814131,1.0603433921467744,1.0007976868955877,0.9966087478830533,0.0033970154460306622
DLinear,ETTm2,336,96,1.0131914909001958,1.0119489190171345,1.0268736261803044,1.0012278998076978,1.013969685990869,1.0127261597340809,1.0015367163051954,0.0015355367649518969,1.0198254481684836,1.0138137025037648,1.033392080193834,1.0059298327196329,1.019568498122209,1.0135582671464296,0.999496153627425,0.0005039733458103178
DLinear,ETTm2,336,336,0.9445811989070579,1.0053768966177756,0.9481531875144447,0.9395294462054552,0.9438314675742611,1.004578910630402,0.9984131934958165,0.0015880668150471508,0.9579604906111805,1.010062107284046,0.9703746908604676,0.9484174128529962,0.9593332339723828,1.0115095114993198,1.0028680241726828,0.002863919238183214
DLinear,electricity,96,96,0.9997165684525674,0.9846998026267756,0.9845566007236765,1.0152500952937467,0.9997855683629363,0.9847677660878862,1.0001380437090175,0.00013803418186145421,1.0002086665832142,0.9970226893188087,0.9979198383383102,1.00319549123459,1.0005541876552932,0.9973671097982645,1.0006910173118415,0.000690778669309966
DLinear,electricity,96,336,0.9987237001457911,0.9908258064275688,0.990696227017393,1.0079710214116226,0.9992962963282525,0.9913938745270459,1.0011469845465106,0.001146327262284222,0.9995179436631367,0.9972425098973378,0.9967804310298845,1.0022817256015621,0.999527293503535,0.9972518384525328,1.0000187087869474,1.870861194025831e-05
DLinear,electricity,336,96,0.9991321490072829,0.921362786604507,0.9210070248905045,1.0844068845990393,0.9993729827023251,0.9215848745481218,1.0004821438703695,0.00048202767636027437,0.9998168196520173,0.9815871284776014,0.9811874906427558,1.0185716485531846,0.9997048363810962,0.9814771870011426,0.9997760049692206,0.00022402012141317315
DLinear,electricity,336,336,0.9987638849090781,0.9516626270003192,0.9521900092000162,1.0494936509771577,0.9996586263216551,0.952515172808237,1.0017925001146033,0.001790895503497115,1.0004388133025588,0.9883795367173153,0.9899437510049213,1.0122010585379941,1.001010545728792,0.9889443774882377,1.001143289896243,0.0011426368380586343
DLinear,exchange_rate,96,96,1.0345498116295184,1.3057469483762763,1.3586345437283855,0.7923049813870925,1.0375224898191746,1.309498885142409,1.0057550617803295,0.0057385646765867404,1.0324206869090033,1.1127216829729065,1.1445988325644412,0.9278337096394496,1.03053257147324,1.1106867111712277,0.9963456971667849,0.003660996108959881
