model,dataset,seq_len,pred_len,NN,NR,RN,RR,best_case,worst_case
GRU,weather,96,96,0.1745471954345703,0.22099827229976654,0.22001026570796967,0.17331567406654358,RR,NR
GRU,weather,96,336,0.28264710307121277,0.30785229802131653,0.30985695123672485,0.27288153767585754,RR,RN
GRU,weather,336,96,0.17858771979808807,0.23426032066345215,0.22890275716781616,0.17246787250041962,RR,NR
GRU,weather,336,336,0.2678135335445404,0.2999340891838074,0.3024774193763733,0.2898833751678467,NN,RN
PatchTST,ETTh1,96,96,0.3792155385017395,0.36952781677246094,0.38830938935279846,0.36873865127563477,RR,RN
PatchTST,ETTh1,96,336,0.4655812382698059,0.4792364537715912,0.47342148423194885,0.45147451758384705,RR,NR
PatchTST,ETTh1,336,96,0.3824516236782074,0.36021387577056885,0.395170122385025,0.36916399002075195,NR,RN
PatchTST,ETTh1,336,336,0.4621369242668152,0.4529702067375183,0.44160932302474976,0.41556215286254883,RR,NN
PatchTST,ETTh2,96,96,0.2865363359451294,0.29437193274497986,0.30463066697120667,0.2977403998374939,NN,RN
PatchTST,ETTh2,96,336,0.42087695002555847,0.41822153329849243,0.41846373677253723,0.42538711428642273,NR,RR
PatchTST,ETTh2,336,96,0.3045511841773987,0.25709596276283264,0.2943008542060852,0.2653665840625763,NR,NN
PatchTST,ETTh2,336,336,0.4185565412044525,0.32129886746406555,0.417635440826416,0.3290689289569855,NR,NN
PatchTST,ETTm1,96,96,0.32619690895080566,0.3548080027103424,0.3616752326488495,0.3209938704967499,RR,RN
PatchTST,ETTm1,96,336,0.396433562040329,0.44170060753822327,0.4184879660606384,0.39999833703041077,NN,NR
PatchTST,ETTm1,336,96,0.29558151960372925,0.28642740845680237,0.30327683687210083,0.27854374051094055,RR,RN
PatchTST,ETTm1,336,336,0.3732704222202301,0.3540402352809906,0.38245609402656555,0.35259324312210083,RR,RN
