seasonal_pattern,n,RN_vs_NN_gmean,RN_vs_NN_median,RN_vs_NN_better_share,NR_vs_NN_gmean,NR_vs_NN_median,NR_vs_NN_better_share,RR_vs_NN_gmean,RR_vs_NN_median,RR_vs_NN_better_share,RN_vs_NR_gmean,RN_vs_NR_median,RN_vs_NR_better_share,train_main_gmean,train_main_median,train_main_better_share,test_main_gmean,test_main_median,test_main_better_share,interaction_gmean,interaction_median,interaction_better_share,median_abs_log_interaction,p90_abs_log_interaction
Daily,7,14.384337714262914,14.128619694050354,0.0,1.005063748752882,1.0058739473075646,0.2857142857142857,14.382475673274097,14.124328038835566,0.0,14.311866020549928,13.816028967797777,0.0,14.347127408638908,13.969328020174432,0.0,1.002463786905099,1.0028651486546303,0.2857142857142857,0.9948329666074631,0.9940264907763381,0.7142857142857143,0.0077096659370610434,0.014141415703920857
Hourly,7,1.4510607804553246,1.1994822050752147,0.0,1.252294667127733,1.062377643759784,0.2857142857142857,1.3533785010233772,1.2038975539483134,0.0,1.1587215202181467,1.1754805435159283,0.0,1.2522734502241768,1.1896041993254143,0.0,1.0807371990367605,1.0281447123175382,0.2857142857142857,0.7447785118917973,0.9365924371880776,0.8571428571428571,0.06550705701644163,0.6856641195298228
Monthly,7,4.6676819280993325,4.648266661284275,0.0,1.0695717033705678,1.0700601546628359,0.0,4.6651166213636195,4.648608460868531,0.0,4.364066395352412,4.362827872716744,0.0,4.512081413016943,4.493687890062571,0.0,1.0339167657536468,1.0344751515005202,0.0,0.9344398396391596,0.9345956190772955,1.0,0.06764133621096671,0.09650553903060759
Quarterly,7,7.5677256941240945,7.696162617021836,0.0,1.064023846397801,1.071531870820805,0.0,7.56667472315053,7.6977606576973745,0.0,7.112364746094977,7.200262868023975,0.0,7.3360037176997,7.4452277731368985,0.0,1.031443687098234,1.0352557003064162,0.0,0.9396980415237877,0.9334371365587846,1.0,0.06888165992963104,0.09911557979495346
Weekly,7,6.576321103692551,6.706362198202412,0.0,1.0095741827510794,1.0073794302441954,0.14285714285714285,6.589920130346344,6.734291991783716,0.0,6.513955305168503,6.574588370119728,0.0,6.551827622404782,6.652677572933869,0.0,1.0058140278006247,1.0034443253655925,0.14285714285714285,0.9925648799788175,0.9922027014799486,1.0,0.007827856401752811,0.015662913430421414
Yearly,7,6.939985614135091,7.694780200808144,0.0,1.1088189187067186,1.13720278121997,0.0,6.94476219292252,7.709496990455145,0.0,6.25889899338082,6.640278421099941,0.0,6.592917798558688,7.119708725396023,0.0,1.0533670227832586,1.0671490721063426,0.0,0.9024812369098778,0.8805912299117779,1.0,0.12716174492904372,0.16769705522175846
