model,seasonal_pattern,smape_RN_vs_NN,smape_NR_vs_NN,smape_RR_vs_NN,smape_RN_vs_NR,smape_train_main,smape_test_main,smape_interaction,smape_abs_log_interaction,mase_RN_vs_NN,mase_NR_vs_NN,mase_RR_vs_NN,mase_RN_vs_NR,mase_train_main,mase_test_main,mase_interaction,mase_abs_log_interaction,owa_context_RN_vs_NN,owa_context_NR_vs_NN,owa_context_RR_vs_NN,owa_context_RN_vs_NR,owa_context_train_main,owa_context_test_main,owa_context_interaction,owa_context_abs_log_interaction
DLinear,Daily,13.048007722871569,1.0083568278455133,13.046324512936058,12.939871444863769,12.992988956562979,1.0041049489498826,0.9915844977597165,0.008451112505513086,12.743731709794,1.0091334025817247,12.743140407568918,12.628391526027151,12.685636221251084,1.0045330155551442,0.9909032819499018,0.009138345832848227,0.7285252403602962,1.0087494329678104,0.7284614453495992,0.7222063443613789,0.7253271520177226,1.0043212132941082,0.991239647815631,0.008798949653181431
DLinear,Hourly,2.1779723277238223,1.9790661446925657,1.8218757579088085,1.100505070820741,1.4159744030115884,1.2866586811413556,0.42267454135508403,0.8611528018603427,4.821115125643866,3.8792667711778694,3.7646163710890925,1.242790302915935,2.163013804900029,1.7404495350703906,0.20129063865631106,1.6030054518573436,0.41106541102776284,0.40905293577409946,0.4365811886952687,1.0049198406310298,0.6623662873109976,0.6591235047116504,2.596417755153221,0.9541327085273972
DLinear,Monthly,4.737448198565868,1.0851002334775741,4.7334950762836625,4.365908376393118,4.545987879786133,1.0412467436024821,0.9208048509304689,0.08250715341884816,7.3633987209783855,1.1586229932270444,7.351004617425764,6.355301736649938,6.835045896791599,1.0754872357004008,0.8616407594614853,0.14891684754871207,1.256682117524071,0.980533227032012,1.2582197291898083,1.2816313439249147,1.26987158503306,0.9908243825749133,1.021101091746464,0.020881546765409858
DLinear,Quarterly,7.934602713416488,1.1007493017255985,7.9350615729575615,7.208364975546878,7.562990144203231,1.049196339233565,0.9085246101151566,0.09593330277845472,9.14954344875364,1.1600217077436434,9.14748526571474,7.887389854583328,8.494102806050144,1.0769218921154577,0.8618589152814081,0.1486636930813398,1.2896290355432456,1.0371653537319467,1.2894606816519134,1.2434170027979432,1.266229574763366,1.0183466784788129,0.9640405476033009,0.03662192342701502
DLinear,Weekly,6.588001953096114,0.9995476691010682,6.584764585967185,6.590983258478266,6.587873188452423,0.9995281326163523,0.9999609097306785,3.909103336596243e-05,14.017483243640214,0.9973130334872404,14.017825239931762,14.055249227643383,14.036524761378466,0.9986677955003394,1.0027186693246364,0.002714980427602949,0.5879490011153983,0.9982141979773979,0.5878139793009798,0.5890008400067969,0.5884071104057249,0.998991971554633,1.0015589371214935,0.0015577232404314879
DLinear,Yearly,7.694780200808144,1.1703016273997102,7.709496990455145,6.57504016114645,7.119708725396023,1.0828388193684586,0.856114820698835,0.15535077550545334,6.502654691019259,1.2521164307606043,6.5035825369914235,5.193330692952563,5.811648200253338,1.119059914312763,0.7987617306891843,0.2246925870893973,1.2218548343950568,1.2103502881769896,1.2231164936280594,1.009505137752638,1.1111896257558913,1.1007270633903097,0.8270602211656378,0.1898777677877963
GRU,Daily,16.361260929340112,0.9957930382630669,16.355117149042982,16.430382921614502,16.39270683830588,0.9977069260352379,1.0038476408637003,0.003840257626229709,16.251990150685106,0.9976560796762189,16.25013843909996,16.29017301830061,16.27014341498795,0.9987704487060906,1.0022352219778616,0.0022327275855386327,0.9213210172320307,0.9967263684620349,0.9210958492639346,0.924346988686217,0.9227199870808541,0.99823983674391,1.003039183841226,0.0030345748580192494
GRU,Hourly,1.188466569315546,0.9989368755120207,1.1874943691356243,1.1897314019030272,1.188612359242355,0.9990594157144359,1.0002453562811835,0.0002453261862536899,1.5372945950722534,0.9984181319686901,1.5363920915742761,1.5397302451238557,1.5380602627225026,0.998915405859798,1.0009963715836803,0.0009958755349857554,0.15269049645527272,0.13168704524101882,0.20062618233534957,1.1594951969330967,0.48231223786760946,0.41596743060544056,9.977748406382451,2.300357454286556
GRU,Monthly,4.518450463324168,1.0180712870789088,4.517509479676514,4.4382456520198,4.477702179258075,1.0088901179276364,0.9820449305201936,0.018118217580474296,6.744027583723935,1.0370193232882705,6.743477464306218,6.503280539015791,6.622290069070834,1.0182999225300302,0.9642235262134289,0.03643213758475226,1.17482935835598,0.898839702600457,1.1775804134229246,1.307051029184681,1.2406279423389415,0.9491809536409812,1.1151506332374246,0.10898949286121759
GRU,Quarterly,7.561738117148814,1.0316396358989257,7.562447356196366,7.329825119175307,7.4452277731368985,1.0157442574802624,0.9694216452370451,0.031055627331335975,8.593327010551318,1.0723578230005437,8.592799937158203,8.013488432906188,8.298090316614678,1.035515354653763,0.9324673568440832,0.06992113414221936,1.2202381696681892,0.965567327832623,1.2202008493574201,1.263752546813299,1.2417857830556729,0.9826178282979384,1.0356288854518958,0.035008860985878826
