model,n,RN_vs_NN_gmean,RN_vs_NN_median,RN_vs_NN_better_share,NR_vs_NN_gmean,NR_vs_NN_median,NR_vs_NN_better_share,RR_vs_NN_gmean,RR_vs_NN_median,RR_vs_NN_better_share,RN_vs_NR_gmean,RN_vs_NR_median,RN_vs_NR_better_share,train_main_gmean,train_main_median,train_main_better_share,test_main_gmean,test_main_median,test_main_better_share,interaction_gmean,interaction_median,interaction_better_share,median_abs_log_interaction,p90_abs_log_interaction
DLinear,6,7.626763718809353,7.819974855349651,0.0,1.0265398533511576,1.0015444731386811,0.0,7.626763718809353,7.819974855349651,0.0,7.429583658064173,7.739795566333875,0.0,7.527528086243366,7.779720602900918,0.0,1.0131830305286196,1.0007716411392926,0.0,0.9741463000539943,0.9984602829645238,0.5,0.0015420926422954919,0.0770392510328787
GRU,6,6.764722361316132,7.712584208808293,0.0,1.0043191617405007,1.0005701639110245,0.0,6.764878469378446,7.712584208808293,0.0,6.735630085552448,7.641786338544852,0.0,6.750238436044423,7.677046047935928,0.0,1.0021688172162704,1.0003196167105775,0.0,0.9957223907335622,0.9994304855221796,0.5,0.0006390686356057305,0.012359743727759432
PatchTST,6,7.01527632024891,7.345030572059837,0.0,1.0965405650671485,1.0,0.0,7.0703918493536735,7.345030572059837,0.0,6.397644139885804,7.3355880354659915,0.0,6.725611569345488,7.340305651598965,0.0,1.051263781212054,1.0,0.0,0.9191237731025242,1.0,0.3333333333333333,0.0,0.25300344996124935
TimeFilter,6,6.282619959383269,7.149496279294286,0.0,1.0001207906875509,1.0,0.0,6.2855790318363045,7.149496279294286,0.0,6.281861169053562,7.149496279294286,0.0,6.283719825478358,7.149496279294286,0.0,1.0002958767114998,1.0,0.0,1.000350160403195,1.0,0.16666666666666666,0.0,0.0017749976917053047
TimeMixer,6,7.644772706385872,8.020881517439197,0.0,1.0333863639068623,1.0057019214021445,0.0,7.644772709226687,8.020881517439197,0.0,7.3977874814253735,7.973138092405331,0.0,7.520266208496848,7.996947905797108,0.0,1.0165561294345093,1.0028436192708545,0.0,0.9676922739632074,0.9943564950928714,0.8333333333333334,0.005672608313996927,0.0925891781953501
TimesNet,6,6.049154173278453,6.751410245295466,0.0,0.9999996985913496,1.0000000175699122,0.3333333333333333,6.0491861313100594,6.751410170559795,0.0,6.049155996546399,6.751317283839581,0.0,6.049171063909465,6.751363726912314,0.0,1.0000024908207152,1.0000001766537396,0.16666666666666666,1.000005584468211,0.9999999800823733,0.6666666666666666,3.5818457208357273e-07,4.247281734210699e-05
iTransformer,6,6.640130251730365,7.796297440066948,0.0,1.005713978744656,1.0016870456677065,0.0,6.645101291426683,7.796297440066948,0.0,6.6024042541584755,7.705214137847713,0.0,6.623718369302057,7.750486875014248,0.0,1.003228235400787,1.0008430225389109,0.0,0.9950628677950875,0.9986391658717214,0.6666666666666666,0.0013620443667282265,0.013514586408127924
