model,case,seasonal_pattern,frequency,horizon,series_count,lr_tag,target_mode,mse,mae,smape,mase,owa_naive2,owa_context,naive2_smape,naive2_mase,context_naive_smape,context_naive_mase
DLinear,NN,Yearly,1,6,23000,0p005,official_normal_target,3463580.870950673,878.7849297198841,14.745499018730477,3.438590993058285,0.8837454410150898,0.8837454410131177,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
DLinear,NN,Quarterly,4,8,24000,0p005,official_normal_target,1960207.95607873,594.3221934444701,10.58615864036102,1.2616854418987413,0.9406884547729051,0.8164474856279424,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
DLinear,NN,Monthly,12,18,48000,0p005,official_normal_target,1940454.4113012436,579.2086780453752,13.370129287376301,1.0076402206839856,0.9371776580190916,0.8180698219774416,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
DLinear,NN,Weekly,1,13,359,0p005,official_normal_target,819427.2056099834,500.77911462884083,12.267998361158922,5.50324415626491,1.6603126416749219,1.6603126416749219,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
DLinear,NN,Daily,1,14,4227,0p005,official_normal_target,536877.8935292662,238.63375507065726,4.041355204849045,4.448648390534785,1.342023814927816,1.3420238149288461,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
DLinear,NN,Hourly,24,48,414,0p005,official_normal_target,4920246.463519274,442.14548544696055,19.165461133315013,3.7515135132531654,1.3044695429366278,2.2608223114257573,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
DLinear,NR,Yearly,1,6,23000,0p005,official_normal_target,3542501.6959512765,897.7569938157878,15.012744329257854,3.508605913057431,0.9007303202645742,0.900730320262564,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
DLinear,NR,Quarterly,4,8,24000,0p005,official_normal_target,1961599.6258102483,595.5598790204903,10.609443133183648,1.2667553382484613,0.9435941908734334,0.8189593965512578,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
DLinear,NR,Monthly,12,18,48000,0p005,official_normal_target,1940454.4113012436,579.2086780453752,13.370129287376301,1.0076402206839856,0.9371776580190916,0.8180698219774416,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
DLinear,NR,Weekly,1,13,359,0p005,official_normal_target,819427.2056099834,500.77911462884083,12.267998361158922,5.50324415626491,1.6603126416749219,1.6603126416749219,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
DLinear,NR,Daily,1,14,4227,0p005,official_normal_target,536877.8935292662,238.63375507065726,4.041355204849045,4.448648390534785,1.342023814927816,1.3420238149288461,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
DLinear,NR,Hourly,24,48,414,0p005,official_normal_target,7134655.963400612,503.6952440347323,20.14424749750496,4.527428894292223,1.493075575231143,2.621137151733324,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
DLinear,RN,Yearly,1,6,23000,0p005,official_normal_target,43999393.17464274,4694.474734376877,113.4633739003632,22.35996985150703,6.284517252212312,1.0798086394764694,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
DLinear,RN,Quarterly,4,8,24000,0p005,official_normal_target,31230118.12690954,3742.892864665936,83.99696307246595,11.54384576931247,8.022867995856137,1.0529143834620713,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
DLinear,RN,Monthly,12,18,48000,0p005,official_normal_target,19134156.77262387,2748.3503976465586,63.34029490707361,7.419656712190838,5.684006962646306,1.028053716165151,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
DLinear,RN,Weekly,1,13,359,0p005,official_normal_target,40377785.693192996,3811.0580899586034,80.82159716389491,77.1416327461043,18.29894716123447,0.9761791592120386,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
DLinear,RN,Daily,1,14,4227,0p005,official_normal_target,30951320.324762616,3256.7906940741086,52.73163392373755,56.692381560182184,17.304293872383113,0.9776982223402793,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
DLinear,RN,Hourly,24,48,414,0p005,official_normal_target,121774304.56346403,1680.4410379845342,41.741843996426546,18.086478542802194,4.911165433207951,0.9293458527069658,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
DLinear,RR,Yearly,1,6,23000,0p005,official_normal_target,43999393.17464274,4694.474734376877,113.4633739003632,22.35996985150703,6.284517252212312,1.0798086394764694,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
DLinear,RR,Quarterly,4,8,24000,0p005,official_normal_target,31230118.12690954,3742.892864665936,83.99696307246595,11.54384576931247,8.022867995856137,1.0529143834620713,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
DLinear,RR,Monthly,12,18,48000,0p005,official_normal_target,19134156.77262387,2748.3503976465586,63.34029490707361,7.419656712190838,5.684006962646306,1.028053716165151,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
DLinear,RR,Weekly,1,13,359,0p005,official_normal_target,40377785.693192996,3811.0580899586034,80.82159716389491,77.1416327461043,18.29894716123447,0.9761791592120386,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
DLinear,RR,Daily,1,14,4227,0p005,official_normal_target,30951320.324762616,3256.7906940741086,52.73163392373755,56.692381560182184,17.304293872383113,0.9776982223402793,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
DLinear,RR,Hourly,24,48,414,0p005,official_normal_target,121774304.56346403,1680.4410379845342,41.741843996426546,18.086478542802194,4.911165433207951,0.9293458527069658,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
GRU,NN,Yearly,1,6,23000,0p001,official_normal_target,3591120.8661647835,851.7534346778424,13.718836340578596,3.0946706855429857,0.8090666131531528,0.8090666131513509,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
GRU,NN,Quarterly,4,8,24000,0p001,official_normal_target,2177928.7567408704,613.5073905922187,10.879916929285733,1.3035886812798387,0.9693048130318542,0.8412541627707668,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
GRU,NN,Monthly,12,18,48000,0p001,official_normal_target,2002629.4465134775,594.5921963744394,13.825965997003713,1.0850214427047633,0.9893611486960958,0.8630388913995355,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
GRU,NN,Weekly,1,13,359,0p001,official_normal_target,735475.873442677,471.32906601345616,11.777950042897306,4.778428396692854,1.5030775207686797,1.5030775207686797,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
GRU,NN,Daily,1,14,4227,0p001,official_normal_target,452549.22958890157,192.43520415775862,3.238607029348823,3.5001564486337036,1.0655638839524515,1.065563883953311,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
GRU,NN,Hourly,24,48,414,0p001,official_normal_target,44853727.75739706,1143.8253513302889,33.544772269394116,10.576467834091716,3.12038571898454,5.637520240498533,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
GRU,NR,Yearly,1,6,23000,0p001,official_normal_target,3412538.2618919783,841.2227985344776,13.835852991562884,3.073546138201217,0.8099892143220222,0.8099892143202199,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
GRU,NR,Quarterly,4,8,24000,0p001,official_normal_target,2072823.8533642066,614.3555973956303,10.959815599945612,1.3382747419313916,0.9855791414413868,0.8552688474758757,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
GRU,NR,Monthly,12,18,48000,0p001,official_normal_target,2021223.1075695856,598.0347391412605,13.906777037681861,1.0961120983575283,0.9973767833309457,0.869968129754328,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
GRU,NR,Weekly,1,13,359,0p001,official_normal_target,735475.873442677,471.32906601345616,11.777950042897306,4.778428396692854,1.5030775207686797,1.5030775207686797,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
GRU,NR,Daily,1,14,4227,0p001,official_normal_target,452549.22958890157,192.43520415775862,3.238607029348823,3.5001564486337036,1.0655638839524515,1.065563883953311,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
GRU,NR,Hourly,24,48,414,0p001,official_normal_target,44853727.75739706,1143.8253513302889,33.544772269394116,10.576467834091716,3.12038571898454,5.637520240498533,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
GRU,RN,Yearly,1,6,23000,0p001,official_normal_target,42450594.0884523,4529.735424830892,107.764993248378,21.109026016984064,5.952794636199421,1.0225054207776911,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
GRU,RN,Quarterly,4,8,24000,0p001,official_normal_target,30595449.027356338,3676.4440005666565,82.2710825555926,11.202163825491011,7.819925560664007,1.0265304398051454,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
GRU,RN,Monthly,12,18,48000,0p001,official_normal_target,18429725.803284794,2679.545134301236,62.471942465065624,7.317414538532863,5.605836830017735,1.0139234270191726,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
GRU,RN,Weekly,1,13,359,0p001,official_normal_target,40362214.1022364,3808.008380181444,80.82968233901158,77.13619256541445,18.29840902701212,0.9761923213069132,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
GRU,RN,Daily,1,14,4227,0p001,official_normal_target,32434121.679165795,3286.460549216034,52.98769465477114,56.88450812905191,17.375638156245962,0.9817264014895781,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
GRU,RN,Hourly,24,48,414,0p001,official_normal_target,91035656.13848089,1460.4413709902376,39.86684041747809,16.259146836304737,4.478684291286163,0.8607957642983695,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
GRU,RR,Yearly,1,6,23000,0p001,official_normal_target,42450594.0884523,4529.735424830892,107.764993248378,21.109026016984064,5.952794636199421,1.0225054207776911,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
GRU,RR,Quarterly,4,8,24000,0p001,official_normal_target,30595449.027356338,3676.4440005666565,82.2710825555926,11.202163825491011,7.819925560664007,1.0265304398051454,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
GRU,RR,Monthly,12,18,48000,0p001,official_normal_target,18429725.803284794,2679.545134301236,62.471942465065624,7.317414538532863,5.605836830017735,1.0139234270191726,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
GRU,RR,Weekly,1,13,359,0p001,official_normal_target,40371565.245865315,3808.7362244548535,80.8384852551578,77.14759789479322,18.30094278419644,0.9763179306005461,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
GRU,RR,Daily,1,14,4227,0p001,official_normal_target,32434121.679165795,3286.460549216034,52.98769465477114,56.88450812905191,17.375638156245962,0.9817264014895781,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
GRU,RR,Hourly,24,48,414,0p001,official_normal_target,91035656.13848089,1460.4413709902376,39.86684041747809,16.259146836304737,4.478684291286163,0.8607957642983695,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
PatchTST,NN,Yearly,1,6,23000,0p0001,official_normal_target,7740925.767476678,1550.4444253226627,26.81073568846639,6.3309939918068245,1.6167724670526533,1.616772467049043,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
PatchTST,NN,Quarterly,4,8,24000,0p0001,official_normal_target,1945875.9309211455,578.8400127750817,10.334431706081089,1.2205429250000976,0.914257961344485,0.7935565860903533,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
PatchTST,NN,Monthly,12,18,48000,0p0001,official_normal_target,1849350.903034254,561.7632229428035,13.08671342851684,0.9747942563944915,0.9119106985289245,0.79616954435478,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
PatchTST,NN,Weekly,1,13,359,0p0001,official_normal_target,690483.973908413,446.7005758193272,11.780612928303848,3.8503757666209997,1.3361443422897747,1.3361443422897747,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
PatchTST,NN,Daily,1,14,4227,0p0001,official_normal_target,536694.2166231734,190.87116519663667,3.1820338448352223,3.436580652774399,1.0465790404655233,1.0465790404663693,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
PatchTST,NN,Hourly,24,48,414,0p0001,official_normal_target,15965931.257121917,668.8030099168891,24.424330918260598,5.521256775368196,1.8169667772377909,3.191412468028603,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
PatchTST,NR,Yearly,1,6,23000,0p0001,official_normal_target,7740925.767476678,1550.4444253226627,26.81073568846639,6.3309939918068245,1.6167724670526533,1.616772467049043,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
PatchTST,NR,Quarterly,4,8,24000,0p0001,official_normal_target,1945875.9309211455,578.8400127750817,10.334431706081089,1.2205429250000976,0.914257961344485,0.7935565860903533,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
PatchTST,NR,Monthly,12,18,48000,0p0001,official_normal_target,1870297.6893673223,564.8064389538708,13.12542959119499,0.9779507624701544,0.9147367238479471,0.7986331743419576,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
PatchTST,NR,Weekly,1,13,359,0p0001,official_normal_target,690483.973908413,446.7005758193272,11.780612928303848,3.8503757666209997,1.3361443422897747,1.3361443422897747,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
PatchTST,NR,Daily,1,14,4227,0p0001,official_normal_target,536694.2166231734,190.87116519663667,3.1820338448352223,3.436580652774399,1.0465790404655233,1.0465790404663693,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
PatchTST,NR,Hourly,24,48,414,0p0001,official_normal_target,55040166.21413164,1185.523494372492,35.19568214159291,10.497702825115901,3.148845824867892,5.663847596035902,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
PatchTST,RN,Yearly,1,6,23000,0p0001,official_normal_target,61079492.50456525,5008.910989507216,110.09256703848635,22.7602239578512,6.231739638181567,1.0732897676658357,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
PatchTST,RN,Quarterly,4,8,24000,0p0001,official_normal_target,30659536.784915537,3681.689833910364,82.55775686327746,11.226589240772611,7.8418479195978,1.0294433415434878,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
