dataset,capacity,seed,info0,info100,info50,strictly_monotone
ETTh2,32,0,0.4392675161361694,0.2250277549028396,0.3559323251247406,True
ETTh2,32,1,0.4465123414993286,0.2194941490888595,0.3926840722560882,True
ETTh2,32,2,0.4188692569732666,0.2445306777954101,0.3620545566082001,True
ETTh2,128,0,0.433140754699707,0.2476877570152282,0.2851150631904602,True
ETTh2,128,1,0.479255199432373,0.2099997252225875,0.3078629970550537,True
ETTh2,128,2,0.399993747472763,0.3365334868431091,0.3079990446567535,False
ETTh2,512,0,0.3790349066257477,0.1760798543691635,0.4147968888282776,False
ETTh2,512,1,0.4711396694183349,0.1820736825466156,0.3210976123809814,True
ETTh2,512,2,0.5179808139801025,0.1938813775777816,0.2792011499404907,True
ETTm1,32,0,0.3491226434707641,0.1143159493803978,0.2170026302337646,True
ETTm1,32,1,0.3430381715297699,0.1334587633609771,0.2428168356418609,True
ETTm1,32,2,0.3383301496505737,0.1064009591937065,0.2379479706287384,True
ETTm1,128,0,0.3079670071601867,0.1221735328435897,0.210257276892662,True
ETTm1,128,1,0.3215624094009399,0.0808498114347457,0.199838176369667,True
ETTm1,128,2,0.2972474694252014,0.0913166031241417,0.197351649403572,True
ETTm1,512,0,0.3137271702289581,0.1245662048459053,0.1982074528932571,True
ETTm1,512,1,0.3183306157588959,0.0693305060267448,0.1871108412742614,True
ETTm1,512,2,0.2903099954128265,0.1207220256328582,0.2628620862960815,True
weather,32,0,0.2287201285362243,0.0237058997154235,0.1224149987101554,True
weather,32,1,0.2277887761592865,0.0243605095893144,0.1211956962943077,True
weather,32,2,0.2281944304704666,0.0268711149692535,0.1235716044902801,True
weather,128,0,0.2290258407592773,0.0197212379425764,0.1207955703139305,True
weather,128,1,0.2291635125875473,0.0200433675199747,0.1205300688743591,True
weather,128,2,0.227104976773262,0.0238325670361518,0.1230436265468597,True
weather,512,0,0.2286674380302429,0.0150345331057906,0.1201809272170066,True
weather,512,1,0.225488856434822,0.0154079236090183,0.1173946857452392,True
weather,512,2,0.2281198352575302,0.0158821139484643,0.1224822700023651,True
