dataset,seed,small_open_mse,large_history_mse,relative_reduction
ETTh2,0,0.2250277549028396,0.3790349066257477,0.40631390151876434
ETTh2,1,0.2194941490888595,0.4711396694183349,0.5341208492168679
ETTh2,2,0.2445306777954101,0.5179808139801025,0.5279155690797394
ETTm1,0,0.1143159493803978,0.3137271702289581,0.635619862643806
ETTm1,1,0.1334587633609771,0.3183306157588959,0.5807542323793984
ETTm1,2,0.1064009591937065,0.2903099954128265,0.6334919194139277
weather,0,0.0237058997154235,0.2286674380302429,0.8963302343366955
weather,1,0.0243605095893144,0.225488856434822,0.8919657939000819
weather,2,0.0268711149692535,0.2281198352575302,0.8822061442446772
