dataset,seeds,small_open_mse,large_history_mse,relative_reduction_mean,relative_reduction_std
ETTh2,3,0.22968419392903638,0.4560517966747284,0.48945010660512384,0.07206488619651032
ETTm1,3,0.11805855731169379,0.3074559271335601,0.6166220048123773,0.03108061872092271
weather,3,0.02497917475799713,0.22742537657419837,0.8901673908271516,0.007231747398893643
