dataset,condition,seeds,mse_mean,mse_std,residual_mse_mean,separation_mse_mean,history_mse,relative_reduction_vs_history
ETTh1,clean,10,0.14351433300814015,0.0021406555813236776,0.08337591606927804,0.16675178789990636,0.21446971948428395,0.3308410466837176
ETTh1,delayed50,10,0.1795236064299374,0.002977418854177061,0.11909180766135763,0.23818343953354923,0.21446971948428395,0.16294194415126917
ETTh1,history,10,0.21446971948428395,0.0034619527890185917,0.15387436691544196,0.30774487346348334,0.21446971948428395,0.0
ETTh1,latent_oracle_upper_bound,10,0.06086264808984444,0.0,0.0,0.0,0.21446971948428395,0.7162179899512371
ETTh1,misleading_test,10,0.4252033263880553,0.009592178662320719,0.3645589856259728,0.7291179801499006,0.21446971948428395,-0.9825797665540081
ETTh1,noisy,10,0.17157169286943177,0.003158845545450169,0.11126605378264627,0.22253208183185,0.21446971948428395,0.20001903633764806
ETTh1,shuffled,10,0.21458329776027454,0.0034633342415765203,0.15398842065688742,0.3079383630633797,0.21446971948428395,-0.0005295772114763952
ETTh2,clean,10,0.2102169947553873,0.003408238251929195,0.08250863605253761,0.16501727103163422,0.28200262755324634,0.25455660970501004
ETTh2,delayed50,10,0.2454786439897846,0.002918478796811827,0.1179261619245368,0.23585226696543216,0.28200262755324634,0.12951646543281037
ETTh2,history,10,0.28200262755324634,0.0029415597719602447,0.1542446398912827,0.3084794522105839,0.28200262755324634,0.0
ETTh2,latent_oracle_upper_bound,10,0.12792798923292534,0.0,0.0,0.0,0.28200262755324634,0.5463588749407287
ETTh2,misleading_test,10,0.4908583207065247,0.008003098771867712,0.36263165513545054,0.7252632796201035,0.28200262755324634,-0.7406161246275738
ETTh2,noisy,10,0.23851907491405858,0.003914813694182453,0.11121972012911736,0.22243944511060354,0.28200262755324634,0.1541955584473319
ETTh2,shuffled,10,0.2821330128122309,0.002891130007228057,0.15439741249064354,0.30873994446448594,0.28200262755324634,-0.00046235476639289175
ETTm1,clean,10,0.11480729791458791,0.004438713491542555,0.0829335502885835,0.16586707805968814,0.1864164461299114,0.3841353577002532
ETTm1,delayed50,10,0.15112674328879794,0.003915917663846901,0.11940764808103359,0.23881517365546756,0.1864164461299114,0.1893057376306836
ETTm1,history,10,0.1864164461299114,0.0026941949847058746,0.1544977727425647,0.3089568531306136,0.1864164461299114,0.0
ETTm1,latent_oracle_upper_bound,10,0.03179190425153853,5.665583147960493e-18,0.0,0.0,0.1864164461299114,0.8294576207649451
ETTm1,misleading_test,10,0.3985935211332333,0.00676125182905932,0.3668289607034951,0.733657883258459,0.1864164461299114,-1.1381886062534323
ETTm1,noisy,10,0.14341914934359962,0.004538767610996043,0.11153593340294876,0.22307185474877259,0.1864164461299114,0.23065184257588234
ETTm1,shuffled,10,0.1865024938062218,0.002724388452101086,0.1545799464598563,0.30909669180005517,0.1864164461299114,-0.0004615884386640623
ETTm2,clean,10,0.15274771917651414,0.002919172745673704,0.08290172387842507,0.16580344334284253,0.22242630955002984,0.31326595542800684
ETTm2,delayed50,10,0.18805822666674418,0.0036113767666984976,0.11814587000454924,0.23629151512540353,0.22242630955002984,0.15451446797284263
ETTm2,history,10,0.22242630955002984,0.0034750780597042467,0.15243482330003513,0.3048351608867775,0.22242630955002984,0.0
ETTm2,latent_oracle_upper_bound,10,0.07053843827317985,0.0,0.0,0.0,0.22242630955002984,0.6828682793151599
ETTm2,misleading_test,10,0.4321752087908772,0.005578910967131746,0.3620418268277473,0.7240836821653279,0.22242630955002984,-0.9430039983362175
ETTm2,noisy,10,0.18059628269127095,0.002710161133739771,0.11068178092098122,0.22136356090082865,0.22242630955002984,0.18806240567215882
ETTm2,shuffled,10,0.22245794190975618,0.003435637695332751,0.1524958553147863,0.3048959497371033,0.22242630955002984,-0.00014221500950273303
electricity,clean,10,0.45435575338775963,0.0028364557274344403,0.08304336942901788,0.16608674728043565,0.5245301379703091,0.13378522891762168
electricity,delayed50,10,0.48933831396420435,0.004048408519038609,0.11758420716280589,0.2351683350932027,0.5245301379703091,0.06709209149026396
electricity,history,10,0.5245301379703091,0.0036304622082819664,0.1531579778804369,0.30629212981078024,0.5245301379703091,0.0
electricity,latent_oracle_upper_bound,10,0.3717856865985887,8.679012619367784e-17,0.0,0.0,0.5245301379703091,0.291202431118203
electricity,misleading_test,10,0.7342414190972861,0.008664960081710242,0.3628719625619049,0.7257438783348015,0.5245301379703091,-0.399807877462415
electricity,noisy,10,0.48271040385112496,0.002791162434220654,0.1110221004495631,0.2220441933508138,0.5245301379703091,0.07972799099973038
electricity,shuffled,10,0.5246209187337028,0.003680052947208557,0.15324990511476505,0.30649705283982354,0.5245301379703091,-0.00017307063373883658
exchange_rate,clean,10,0.17715493642303576,0.0067307501639907175,0.08264892762418177,0.16529786217258022,0.24956375612341125,0.2901415687323152
