dataset,unit,seeds,delta_mse,ci95_low,ci95_high,all_seed_deltas_positive
ETTh1,world_seed,10,0.07095538647614377,0.06825443958434993,0.07365633336793762,True
ETTh2,world_seed,10,0.07178563279785902,0.06928913462661136,0.07428213096910667,True
ETTm1,world_seed,10,0.07160914821532346,0.06897188454525599,0.07424641188539094,True
ETTm2,world_seed,10,0.06967859037351568,0.06846288325808933,0.07089429748894202,True
electricity,world_seed,10,0.07017438458254961,0.0673352026368231,0.07301356652827612,True
exchange_rate,world_seed,10,0.07240881970037549,0.06866855353785294,0.07614908586289805,True
weather,world_seed,10,0.07064913768479203,0.0682611954633868,0.07303707990619726,True
