case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
RN,ETTh2,96,192,M,True,False,7,8353,2689,0.48155011533136033,0.47673222139849075,0.383,0.418,1.2573110060871027,1.140507706694954,0.05417224997654557,<project-root>/checkpoints/extra_models/ridge_RN_ETTh2_s96_p192_M.npz
RN,ETTh2,96,336,M,True,False,7,8209,2545,0.6289175300643388,0.5558557660757806,0.448,0.465,1.403833772465042,1.1953887442489903,0.06718316720798612,<project-root>/checkpoints/extra_models/ridge_RN_ETTh2_s96_p336_M.npz
RN,ETTh2,96,720,M,True,False,7,7825,2161,0.9396690455520946,0.6972139364117637,0.605,0.551,1.5531719761191647,1.2653610461193532,0.09857762511819601,<project-root>/checkpoints/extra_models/ridge_RN_ETTh2_s96_p720_M.npz
RR,ETTh2,96,96,M,True,True,7,8449,2785,0.34590845241383306,0.39895673110038327,0.289,0.353,1.196915060255478,1.1301890399444285,0.045448207994922996,<project-root>/checkpoints/extra_models/ridge_RR_ETTh2_s96_p96_M.npz
RR,ETTh2,96,192,M,True,True,7,8353,2689,0.4804776126798424,0.4832011831898047,0.383,0.418,1.2545107380674736,1.1559836918416382,0.05554479104466736,<project-root>/checkpoints/extra_models/ridge_RR_ETTh2_s96_p192_M.npz
RR,ETTh2,96,336,M,True,True,7,8209,2545,0.6200279290324398,0.5633535121372075,0.448,0.465,1.3839909130188388,1.211512929327328,0.06883924989961088,<project-root>/checkpoints/extra_models/ridge_RR_ETTh2_s96_p336_M.npz
RR,ETTh2,96,720,M,True,True,7,7825,2161,0.9640573718024575,0.7124234299075419,0.605,0.551,1.5934832591776158,1.2929644825908202,0.10185179184190929,<project-root>/checkpoints/extra_models/ridge_RR_ETTh2_s96_p720_M.npz
NN,ETTm1,96,96,M,False,False,7,34369,11425,0.3445115381076431,0.371400001780884,0.299,0.343,1.1522125020322513,1.0827988390113235,0.17595175001770258,<project-root>/checkpoints/extra_models/ridge_NN_ETTm1_s96_p96_M.npz
NN,ETTm1,96,192,M,False,False,7,34273,11329,0.38086138304771805,0.3897868901394942,0.335,0.365,1.1368996508887106,1.0679092880534087,0.20332699990831316,<project-root>/checkpoints/extra_models/ridge_NN_ETTm1_s96_p192_M.npz
NN,ETTm1,96,336,M,False,False,7,34129,11185,0.41241520564633105,0.41196892434800525,0.369,0.386,1.117656383865396,1.067277006082915,0.24839304201304913,<project-root>/checkpoints/extra_models/ridge_NN_ETTm1_s96_p336_M.npz
NN,ETTm1,96,720,M,False,False,7,33745,10801,0.4710537547096403,0.44834494562668603,0.425,0.421,1.108361775787389,1.064952364908993,0.3655256668571383,<project-root>/checkpoints/extra_models/ridge_NN_ETTm1_s96_p720_M.npz
NR,ETTm1,96,96,M,False,True,7,34369,11425,0.346707722888111,0.37205179216522816,0.299,0.343,1.1595576016324785,1.084699102522531,0.1748232499230653,<project-root>/checkpoints/extra_models/ridge_NR_ETTm1_s96_p96_M.npz
NR,ETTm1,96,192,M,False,True,7,34273,11329,0.38417911622334083,0.3917483239585906,0.335,0.365,1.1468033320099726,1.0732830793386043,0.20808554184623063,<project-root>/checkpoints/extra_models/ridge_NR_ETTm1_s96_p192_M.npz
NR,ETTm1,96,336,M,False,True,7,34129,11185,0.4191373127280948,0.41309861397586106,0.369,0.386,1.1358734762278992,1.070203663149899,0.2527497501578182,<project-root>/checkpoints/extra_models/ridge_NR_ETTm1_s96_p336_M.npz
NR,ETTm1,96,720,M,False,True,7,33745,10801,0.4842606764601675,0.4480618657611751,0.425,0.421,1.1394368857886294,1.0642799661785634,0.3759309579618275,<project-root>/checkpoints/extra_models/ridge_NR_ETTm1_s96_p720_M.npz
RN,ETTm1,96,96,M,True,False,7,34369,11425,0.34480215107352813,0.3717920257489236,0.299,0.343,1.1531844517509302,1.083941766031847,0.18012083298526704,<project-root>/checkpoints/extra_models/ridge_RN_ETTm1_s96_p96_M.npz
RN,ETTm1,96,192,M,True,False,7,34273,11329,0.38097734495637436,0.3900959449378765,0.335,0.365,1.1372458058399235,1.0687560135284289,0.21582308295182884,<project-root>/checkpoints/extra_models/ridge_RN_ETTm1_s96_p192_M.npz
RN,ETTm1,96,336,M,True,False,7,34129,11185,0.4125263244107937,0.41207596512246847,0.369,0.386,1.117957518728438,1.0675543137887784,0.2649795420002192,<project-root>/checkpoints/extra_models/ridge_RN_ETTm1_s96_p336_M.npz
RN,ETTm1,96,720,M,True,False,7,33745,10801,0.4705588444309164,0.4475337944983948,0.425,0.421,1.107197281013921,1.063025640138705,0.40002679103054106,<project-root>/checkpoints/extra_models/ridge_RN_ETTm1_s96_p720_M.npz
RR,ETTm1,96,96,M,True,True,7,34369,11425,0.34700926480625155,0.37242638670006395,0.299,0.343,1.1605661030309418,1.085791214868991,0.18431691685691476,<project-root>/checkpoints/extra_models/ridge_RR_ETTm1_s96_p96_M.npz
RR,ETTm1,96,192,M,True,True,7,34273,11329,0.3843458368835274,0.3919947670474716,0.335,0.365,1.1473010056224697,1.0739582658834839,0.22347020893357694,<project-root>/checkpoints/extra_models/ridge_RR_ETTm1_s96_p192_M.npz
RR,ETTm1,96,336,M,True,True,7,34129,11185,0.41923233444894203,0.41306579344588057,0.369,0.386,1.1361309876665096,1.0701186358701569,0.27584500005468726,<project-root>/checkpoints/extra_models/ridge_RR_ETTm1_s96_p336_M.npz
RR,ETTm1,96,720,M,True,True,7,33745,10801,0.48351247225428595,0.4470203417960572,0.425,0.421,1.1376764053042023,1.061806037520326,0.4085235830862075,<project-root>/checkpoints/extra_models/ridge_RR_ETTm1_s96_p720_M.npz
NN,ETTm2,96,96,M,False,False,7,34369,11425,0.19793378195260533,0.29729140626316114,0.167,0.26,1.1852322272611098,1.1434284856275427,0.17090483289211988,<project-root>/checkpoints/extra_models/ridge_NN_ETTm2_s96_p96_M.npz
NN,ETTm2,96,192,M,False,False,7,34273,11329,0.2882234142676217,0.36399999653386383,0.224,0.303,1.286711670837597,1.201320120573808,0.19930337485857308,<project-root>/checkpoints/extra_models/ridge_NN_ETTm2_s96_p192_M.npz
NN,ETTm2,96,336,M,False,False,7,34129,11185,0.38920023779288443,0.43101351511428426,0.281,0.342,1.385054227020941,1.260273436006679,0.24285424989648163,<project-root>/checkpoints/extra_models/ridge_NN_ETTm2_s96_p336_M.npz
NN,ETTm2,96,720,M,False,False,7,33745,10801,0.5567356033353995,0.5237270354164971,0.397,0.421,1.4023566834644823,1.2440072100154327,0.36068199994042516,<project-root>/checkpoints/extra_models/ridge_NN_ETTm2_s96_p720_M.npz
NR,ETTm2,96,96,M,False,True,7,34369,11425,0.19858208800343166,0.2975577262101166,0.167,0.26,1.1891142994217465,1.144452793115833,0.17103954195044935,<project-root>/checkpoints/extra_models/ridge_NR_ETTm2_s96_p96_M.npz
NR,ETTm2,96,192,M,False,True,7,34273,11329,0.28916540285511955,0.36283483199853434,0.224,0.303,1.2909169770317837,1.1974746930644697,0.20395924989134073,<project-root>/checkpoints/extra_models/ridge_NR_ETTm2_s96_p192_M.npz
NR,ETTm2,96,336,M,False,True,7,34129,11185,0.39053447494099974,0.4301953419040897,0.281,0.342,1.389802401925266,1.2578811166786248,0.24865404097363353,<project-root>/checkpoints/extra_models/ridge_NR_ETTm2_s96_p336_M.npz
NR,ETTm2,96,720,M,False,True,7,33745,10801,0.5646510828507609,0.5309351795104902,0.397,0.421,1.4222949190195489,1.2611286924239673,0.37124795909039676,<project-root>/checkpoints/extra_models/ridge_NR_ETTm2_s96_p720_M.npz
RN,ETTm2,96,96,M,True,False,7,34369,11425,0.1992051606339043,0.298745806352043,0.167,0.26,1.192845273256912,1.1490223321232422,0.17508758301846683,<project-root>/checkpoints/extra_models/ridge_RN_ETTm2_s96_p96_M.npz
RN,ETTm2,96,192,M,True,False,7,34273,11329,0.2904146784613397,0.36582911087303893,0.224,0.303,1.296494100273838,1.2073568015611846,0.2128774579614401,<project-root>/checkpoints/extra_models/ridge_RN_ETTm2_s96_p192_M.npz
RN,ETTm2,96,336,M,True,False,7,34129,11185,0.39242590760864465,0.43314430751428934,0.281,0.342,1.3965334790343225,1.2665038231411967,0.26126595796085894,<project-root>/checkpoints/extra_models/ridge_RN_ETTm2_s96_p336_M.npz
RN,ETTm2,96,720,M,True,False,7,33745,10801,0.5628065794250431,0.5270563356781233,0.397,0.421,1.4176488146726525,1.2519152866463736,0.39422020805068314,<project-root>/checkpoints/extra_models/ridge_RN_ETTm2_s96_p720_M.npz
RR,ETTm2,96,96,M,True,True,7,34369,11425,0.1998611544169874,0.2989416531177109,0.167,0.26,1.1967733797424394,1.1497755889142727,0.1769482500385493,<project-root>/checkpoints/extra_models/ridge_RR_ETTm2_s96_p96_M.npz
RR,ETTm2,96,192,M,True,True,7,34273,11329,0.29136145512209977,0.36457173156337225,0.224,0.303,1.3007207817950883,1.2032070348626147,0.21766654099337757,<project-root>/checkpoints/extra_models/ridge_RR_ETTm2_s96_p192_M.npz
RR,ETTm2,96,336,M,True,True,7,34129,11185,0.393749367446234,0.4322779328029457,0.281,0.342,1.4012433005204057,1.263970563751303,0.267256333027035,<project-root>/checkpoints/extra_models/ridge_RR_ETTm2_s96_p336_M.npz
RR,ETTm2,96,720,M,True,True,7,33745,10801,0.5707065037110256,0.5341517467588529,0.397,0.421,1.437547868289737,1.2687689946766103,0.4050694580655545,<project-root>/checkpoints/extra_models/ridge_RR_ETTm2_s96_p720_M.npz
NN,electricity,96,96,M,False,False,321,18221,5165,0.19456539266196884,0.27740118553747467,0.141,0.237,1.3798964018579352,1.1704691372889227,2.233011333970353,<project-root>/checkpoints/extra_models/ridge_NN_electricity_s96_p96_M.npz
NN,electricity,96,192,M,False,False,321,18125,5069,0.1938402311011897,0.2802755460840604,0.154,0.248,1.2587027993583746,1.1301433309841147,3.3108668338973075,<project-root>/checkpoints/extra_models/ridge_NN_electricity_s96_p192_M.npz
NN,electricity,96,336,M,False,False,321,17981,4925,0.20677834561222483,0.29605306976637197,0.171,0.265,1.2092300912995604,1.1171813953447998,4.44798866705969,<project-root>/checkpoints/extra_models/ridge_NN_electricity_s96_p336_M.npz
NN,electricity,96,720,M,False,False,321,17597,4541,0.242315884084969,0.3292184119209304,0.21,0.297,1.1538851623093762,1.1084795014172741,7.1384677910245955,<project-root>/checkpoints/extra_models/ridge_NN_electricity_s96_p720_M.npz
NR,electricity,96,96,M,False,True,321,18221,5165,0.19151207541792262,0.27667556358944156,0.141,0.237,1.358241669630657,1.1674074413056608,2.3372920828405768,<project-root>/checkpoints/extra_models/ridge_NR_electricity_s96_p96_M.npz
NR,electricity,96,192,M,False,True,321,18125,5069,0.19021783363744268,0.27918012612533427,0.154,0.248,1.235180737905472,1.125726315021509,3.1722194999456406,<project-root>/checkpoints/extra_models/ridge_NR_electricity_s96_p192_M.npz
NR,electricity,96,336,M,False,True,321,17981,4925,0.20489889719024856,0.29521132093983715,0.171,0.265,1.1982391648552546,1.1140049846786306,4.26270208414644,<project-root>/checkpoints/extra_models/ridge_NR_electricity_s96_p336_M.npz
NR,electricity,96,720,M,False,True,321,17597,4541,0.23666022378044613,0.3230871737206502,0.21,0.297,1.1269534465735531,1.087835601753031,7.108149624895304,<project-root>/checkpoints/extra_models/ridge_NR_electricity_s96_p720_M.npz
RN,electricity,96,96,M,True,False,321,18221,5165,0.19448076159376904,0.27721950781221444,0.141,0.237,1.3792961815160927,1.1697025646084998,2.418282208032906,<project-root>/checkpoints/extra_models/ridge_RN_electricity_s96_p96_M.npz
RN,electricity,96,192,M,True,False,321,18125,5069,0.19377401526024982,0.28021420897046195,0.154,0.248,1.2582728263652585,1.1298960039131531,3.4075439998414367,<project-root>/checkpoints/extra_models/ridge_RN_electricity_s96_p192_M.npz
