seasonal_pattern,seq_len,pred_len,series_count,train_windows,mse,mae,smape,seconds,checkpoint
Yearly,9,6,23000,398693,3423864.6995448866,900.523193442335,15.898203106889541,1.3905117909889668,checkpoints/m4_full/ols_m4_Yearly_s9.npz
Quarterly,12,8,24000,1758113,1967074.6001883484,635.4441987696125,12.229772412285602,2.2972755830269307,checkpoints/m4_full/ols_m4_Quarterly_s12.npz
Monthly,27,18,48000,8270418,1943915.6076548973,606.166588109299,14.812579618216745,7.83590429101605,checkpoints/m4_full/ols_m4_Monthly_s27.npz
Weekly,130,13,359,319964,335372.33023297077,317.45051460961184,7.968532822158944,1.1426418330520391,checkpoints/m4_full/ols_m4_Weekly_s130.npz
Daily,140,14,4227,9322276,498153.6640181416,182.6731524748448,3.0850984053459922,13.115510625066236,checkpoints/m4_full/ols_m4_Daily_s140.npz
Hourly,480,48,414,135322,1751767.4054454598,266.7962496289264,19.569914647993514,1.7268450419651344,checkpoints/m4_full/ols_m4_Hourly_s480.npz
