case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NR,traffic,96,192,M,False,True,862,11993,3317,1.3142513205731057,0.7145394582382848,0.423,0.284,3.1069771171941034,2.5159840078812845,24.223501874832436,<project-root>/checkpoints/extra_models_fast/knn_NR_traffic_s96_p192_M.npz
NR,traffic,96,336,M,False,True,862,11849,3173,1.6234182069153205,0.8413394640141308,0.435,0.29,3.731995877966254,2.9011705655659688,28.826963416999206,<project-root>/checkpoints/extra_models_fast/knn_NR_traffic_s96_p336_M.npz
NR,traffic,96,720,M,False,True,862,11465,2789,1.8049393034034371,0.9229147210652842,0.464,0.307,3.889955395266028,3.0062368764341505,38.36961974995211,<project-root>/checkpoints/extra_models_fast/knn_NR_traffic_s96_p720_M.npz
RN,traffic,96,96,M,True,False,862,12089,3413,1.5129398080996144,0.7971153792047087,0.41,0.279,3.690097092925889,2.85704436990935,21.586797666968778,<project-root>/checkpoints/extra_models_fast/knn_RN_traffic_s96_p96_M.npz
RN,traffic,96,192,M,True,False,862,11993,3317,1.2728099959104318,0.6875832289494759,0.423,0.284,3.0090070825305717,2.4210677075685774,24.844369334168732,<project-root>/checkpoints/extra_models_fast/knn_RN_traffic_s96_p192_M.npz
RN,traffic,96,336,M,True,False,862,11849,3173,1.5959263926457457,0.8307245391887579,0.435,0.29,3.6687963049327488,2.8645673765129582,30.194455625023693,<project-root>/checkpoints/extra_models_fast/knn_RN_traffic_s96_p336_M.npz
RN,traffic,96,720,M,True,False,862,11465,2789,1.7960501000710272,0.9177622084891413,0.464,0.307,3.8707976294634205,2.9894534478473656,38.12952541699633,<project-root>/checkpoints/extra_models_fast/knn_RN_traffic_s96_p720_M.npz
RR,traffic,96,96,M,True,True,862,12089,3413,1.5066552475585409,0.7782186544550203,0.41,0.279,3.674768896484246,2.7893141736739073,22.1327334579546,<project-root>/checkpoints/extra_models_fast/knn_RR_traffic_s96_p96_M.npz
RR,traffic,96,192,M,True,True,862,11993,3317,1.2677385144993203,0.6717442325716765,0.423,0.284,2.997017764773807,2.3652965935622414,25.47871533408761,<project-root>/checkpoints/extra_models_fast/knn_RR_traffic_s96_p192_M.npz
RR,traffic,96,336,M,True,True,862,11849,3173,1.595967858857019,0.8244717804294086,0.435,0.29,3.6688916295563656,2.843006139411754,30.698862250195816,<project-root>/checkpoints/extra_models_fast/knn_RR_traffic_s96_p336_M.npz
RR,traffic,96,720,M,True,True,862,11465,2789,1.8040602617309838,0.9185490939957219,0.464,0.307,3.888060908902982,2.992016592819941,39.13311729184352,<project-root>/checkpoints/extra_models_fast/knn_RR_traffic_s96_p720_M.npz
NN,weather,96,96,M,False,False,21,36696,10444,0.23172576565683506,0.2681033945401499,0.182,0.232,1.2732184926199728,1.1556180799144393,1.8227561670355499,<project-root>/checkpoints/extra_models_fast/knn_NN_weather_s96_p96_M.npz
NN,weather,96,192,M,False,False,21,36600,10348,0.2978066896852012,0.32225449580480825,0.225,0.269,1.323585287489783,1.1979721033635993,2.246200457913801,<project-root>/checkpoints/extra_models_fast/knn_NN_weather_s96_p192_M.npz
NN,weather,96,336,M,False,False,21,36456,10204,0.3711012795322892,0.3743681545796972,0.271,0.301,1.3693774152482996,1.2437480218594592,2.693817207822576,<project-root>/checkpoints/extra_models_fast/knn_NN_weather_s96_p336_M.npz
