source,model,case,lr_tag,group,series_count,smape,mase,naive_smape,naive_mase,forecast_dir,owa
deep_tsl,GRU,NR,lr0p001,Hourly,414,33.544772,10.576468,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,3.120386
deep_tsl,GRU,RN,lr0p001,Yearly,23000,107.764993,21.109026,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,5.952795
deep_tsl,GRU,RN,lr0p001,Quarterly,24000,82.271083,11.202164,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,7.819926
deep_tsl,GRU,RN,lr0p001,Monthly,48000,62.471942,7.317415,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,5.605837
deep_tsl,GRU,RN,lr0p001,Weekly,359,80.829682,77.136193,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,18.298409
deep_tsl,GRU,RN,lr0p001,Daily,4227,52.987695,56.884508,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,17.375638
deep_tsl,GRU,RN,lr0p001,Hourly,414,39.86684,16.259147,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,4.478684
deep_tsl,GRU,RR,lr0p001,Yearly,23000,107.764993,21.109026,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,5.952795
deep_tsl,GRU,RR,lr0p001,Quarterly,24000,82.271083,11.202164,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,7.819926
deep_tsl,GRU,RR,lr0p001,Monthly,48000,62.471942,7.317415,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,5.605837
deep_tsl,GRU,RR,lr0p001,Weekly,359,80.838485,77.147598,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,18.300943
deep_tsl,GRU,RR,lr0p001,Daily,4227,52.987695,56.884508,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,17.375638
deep_tsl,GRU,RR,lr0p001,Hourly,414,39.86684,16.259147,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,4.478684
deep_tsl,PatchTST,NN,lr0p0001,Yearly,23000,26.810736,6.330994,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001,1.616772
deep_tsl,PatchTST,NN,lr0p0001,Quarterly,24000,10.334432,1.220543,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001,0.914258
deep_tsl,PatchTST,NN,lr0p0001,Monthly,48000,13.086713,0.974794,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001,0.911911
deep_tsl,PatchTST,NN,lr0p0001,Weekly,359,11.780613,3.850376,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001,1.336144
deep_tsl,PatchTST,NN,lr0p0001,Daily,4227,3.182034,3.436581,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001,1.046579
deep_tsl,PatchTST,NN,lr0p0001,Hourly,414,24.424331,5.521257,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001,1.816967
deep_tsl,PatchTST,NR,lr0p0001,Yearly,23000,26.810736,6.330994,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001,1.616772
deep_tsl,PatchTST,NR,lr0p0001,Quarterly,24000,10.334432,1.220543,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001,0.914258
deep_tsl,PatchTST,NR,lr0p0001,Monthly,48000,13.12543,0.977951,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001,0.914737
deep_tsl,PatchTST,NR,lr0p0001,Weekly,359,11.780613,3.850376,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001,1.336144
deep_tsl,PatchTST,NR,lr0p0001,Daily,4227,3.182034,3.436581,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001,1.046579
