dataset,pred_len,NN_OLS_smape,NN_OLS_mase,NN_OLS_owa,NN_OLS-revin_smape,NN_OLS-revin_mase,NN_OLS-revin_owa,NR_OLS_smape,NR_OLS_mase,NR_OLS_owa,NR_OLS-revin_smape,NR_OLS-revin_mase,NR_OLS-revin_owa,RN_OLS_smape,RN_OLS_mase,RN_OLS_owa,RN_OLS-revin_smape,RN_OLS-revin_mase,RN_OLS-revin_owa,RR_OLS_smape,RR_OLS_mase,RR_OLS_owa,RR_OLS-revin_smape,RR_OLS-revin_mase,RR_OLS-revin_owa
M4-Yearly,6,15.89820310688954,4.12961895069265,1.005948959819108,193.42265353213824,198.33251145624115,30.869400072811853,24.299279847861044,5.5920152554648865,1.3920652007060754,197.8916726977997,872.8804331380705,124.77253112289958,20.046935458472134,5.2631536333345,1.2754881998497465,156.32608134076645,93.8428301168831,16.58893324791387,15.530075306606271,2.576803276944211,0.7529743187099309,117.27084322542908,28.434649267934613,6.916648159962178
M4-Quarterly,8,12.229772412285602,1.6991164598291095,1.018585321241227,76.2220426479232,29.142519699962953,12.13794365014344,15.09342977577334,2.308167459404149,1.382632259305575,103.20162743583676,57.39093588727242,23.65148481817091,13.566090935566828,2.054638263890463,1.1828915923493837,27.85199027131676,5.140686607140838,2.7163899857733593,11.380973380644225,1.3365956523187068,0.9047540596479812,23.71887428525561,3.554794569829064,2.1480536671307573
M4-Monthly,18,14.812579618216745,1.279560777179062,0.9711086539039424,151.13455835551972,30.701633998143414,16.912341308753177,13.564969650551632,1.3540497466851105,1.0157742878307614,162.18625456677,39.44042527131969,21.99744921596961,14.480696788358964,1.286496258798949,0.9634825073595894,144.6223359264019,23.152267286980813,13.71223183679965,12.7199506133978,1.1007628842912835,0.8809105342862309,135.82857059040356,20.633964663249884,13.169414278306784
M4-Weekly,13,7.968532822158944,2.7259928934138142,0.9256664981350358,6.905383649000189,2.203241714710383,0.7735309209951311,40.82916918751311,2.81856419399275,4.638974020497372,40.83947608277189,2.4163408797147596,4.542982395659585,8.490407882097633,3.5772876661671944,1.1074088224465284,7.4533090652088285,2.347898152002043,0.8294779972265078,40.668134755242896,2.1974817962016178,4.473591848352013,40.89726247380124,2.103122304393203,4.47305736060602
M4-Daily,14,3.085098405345992,3.323475728806885,1.0134133160797871,47.08550761604126,44.65690958541752,14.541698786351,7.386501994578555,2.9592778340846415,1.8339910498352592,64.81723329054728,62.536455470962615,22.41144308281949,3.181904156826997,3.459163737521391,1.0500019449796294,41.94535348358594,44.19531969669438,13.627338561882585,7.374961061507453,2.9143506116778397,1.8241622481969857,36.77443589404324,32.22328461290255,12.152521953997724
M4-Hourly,48,19.569914647993514,2.6228950848760277,1.8024245519736344,13.392201196869452,1.1048093603402147,0.9442656049976176,21.10859712804418,3.3809010180460795,1.9678754386191164,12.505092207094451,1.3147281451406485,0.910086699715756,24.76496895314673,3.981211052251241,2.5583176864653954,14.489212189098447,1.2333709012673877,1.0375637470199766,22.804156880931785,2.337673254185366,1.6373847597882905,12.920827031691696,1.0967239460354217,0.8430940139011137
