case,,,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR
model,,,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost
metric,,,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae
dataset,seq_len,pred_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTm2,96,720,0.5567,0.5237,0.9557,0.6384,0.5567,0.5237,1.2466,0.6881,,,0.5647,0.5309,0.9599,0.6428,0.5647,0.5309,1.2662,0.6977,,,0.5628,0.5271,0.9215,0.674,0.5628,0.5271,1.1544,0.7538,,,0.5707,0.5342,0.933,0.6778,0.5707,0.5342,1.1771,0.7582,,
electricity,96,96,0.1946,0.2774,0.2025,0.2842,0.1946,0.2774,0.485,0.5061,,,0.1915,0.2767,0.2015,0.2852,0.1915,0.2767,0.4934,0.5147,,,0.1945,0.2772,0.2024,0.2842,0.1945,0.2772,0.4945,0.5162,,,0.1915,0.2765,0.2015,0.2852,0.1915,0.2765,0.4754,0.5043,,
electricity,96,192,0.1938,0.2803,0.2045,0.2902,0.1938,0.2803,0.604,0.5941,,,0.1902,0.2792,0.2045,0.2917,0.1902,0.2792,0.6047,0.598,,,0.1938,0.2802,0.2068,0.2937,0.1938,0.2802,0.6028,0.5947,,,0.1902,0.2791,0.207,0.2953,0.1902,0.2791,0.5916,0.5899,,
electricity,96,336,0.2068,0.2961,0.2211,0.3081,0.2068,0.2961,0.9301,0.7562,,,0.2049,0.2952,0.2259,0.3126,0.2049,0.2952,0.926,0.7581,,,0.2066,0.2959,0.2288,0.3184,0.2066,0.2959,0.932,0.759,,,0.2049,0.2952,0.2348,0.3237,0.2049,0.2952,0.9256,0.7564,,
electricity,96,720,0.2423,0.3292,0.2685,0.3466,0.2423,0.3292,1.1792,0.8669,,,0.2367,0.3231,0.268,0.3438,0.2367,0.3231,1.1687,0.8657,,,0.2419,0.3291,0.3017,0.3822,0.2419,0.3291,1.1765,0.8667,,,0.2364,0.3228,0.3021,0.3784,0.2364,0.3228,1.1706,0.8667,,
exchange_rate,96,96,0.0802,0.2022,0.0874,0.2066,0.0802,0.2022,0.3139,0.3895,,,0.1007,0.2205,0.0914,0.2072,0.1007,0.2205,0.3757,0.4222,,,0.0825,0.2068,0.0846,0.2004,0.0825,0.2068,0.1564,0.2847,,,0.1095,0.2318,0.0807,0.1956,0.1095,0.2318,0.213,0.3192,,
exchange_rate,96,192,0.166,0.3003,0.1845,0.3107,0.1659,0.3003,0.528,0.5365,,,0.2552,0.361,0.2119,0.3162,0.2552,0.361,0.6738,0.5803,,,0.1775,0.3129,0.1703,0.2919,0.1775,0.3129,0.3235,0.4225,,,0.2904,0.3887,0.1739,0.2912,0.2904,0.3887,0.4576,0.4923,,
exchange_rate,96,336,0.3025,0.4121,0.3317,0.4214,0.3024,0.4121,0.8542,0.6934,,,0.5408,0.5509,0.3767,0.4342,0.5408,0.5509,1.1692,0.7798,,,0.3388,0.4381,0.3131,0.4033,0.3388,0.4381,1.02,0.7416,,,0.6258,0.5948,0.3197,0.4069,0.6258,0.5948,1.2382,0.8307,,
exchange_rate,96,720,0.8298,0.6821,0.82,0.6679,0.8297,0.6821,1.2863,0.8821,,,1.7451,1.0216,0.9037,0.6941,1.7451,1.0216,2.527,1.187,,,0.9045,0.7199,0.9952,0.7419,0.9045,0.7199,1.6998,0.9991,,,1.9609,1.0954,0.697,0.6374,1.961,1.0954,2.4097,1.2314,,
illness,104,24,2.1952,1.0238,2.0041,0.8834,2.1957,1.024,4.8152,1.4592,,,0.6481,0.5638,1.4131,0.8555,0.6478,0.5637,1.2986,0.6912,,,2.2875,1.047,2.096,0.9865,2.288,1.0472,5.221,1.5343,,,0.6613,0.5612,1.0012,0.6703,0.6611,0.5611,1.6193,0.7828,,
illness,104,36,2.2212,1.0469,1.8303,0.8766,2.2216,1.047,5.3693,1.5678,,,0.6524,0.5777,1.5426,0.9179,0.6522,0.5776,1.4404,0.7392,,,2.3555,1.0802,2.0772,1.0029,2.3559,1.0804,5.5955,1.6152,,,0.6512,0.5706,0.9863,0.6837,0.651,0.5705,1.7507,0.8354,,
illness,104,48,2.2623,1.0687,1.7508,0.8747,2.2626,1.0688,5.5627,1.6082,,,0.6513,0.5864,1.5907,0.9492,0.6511,0.5863,1.577,0.7761,,,2.4582,1.1194,2.1046,1.0253,2.4586,1.1195,5.7208,1.646,,,0.6309,0.5689,0.9307,0.6789,0.6307,0.5689,1.8107,0.8464,,
illness,104,60,2.3852,1.1038,1.6603,0.8713,2.3855,1.1038,5.4998,1.5984,,,0.701,0.6127,1.7273,1.0049,0.7008,0.6126,1.6504,0.7853,,,2.6545,1.1711,2.2002,1.0602,2.6548,1.1711,6.0407,1.6963,,,0.6614,0.583,0.939,0.6968,0.6612,0.5829,1.9641,0.8696,,
traffic,96,96,0.6486,0.3961,0.6628,0.3856,0.6486,0.3961,1.4833,0.7986,,,0.6548,0.3971,0.668,0.3869,0.6548,0.3971,1.5089,0.8145,,,0.6482,0.3954,0.6607,0.3828,0.6482,0.3954,1.5129,0.7971,,,0.6547,0.3963,0.6665,0.3848,0.6547,0.3963,1.5067,0.7782,,
traffic,96,192,0.5983,0.3704,0.6147,0.3624,0.5983,0.3704,1.2632,0.6858,,,0.6023,0.3686,0.6161,0.3593,0.6023,0.3686,1.3143,0.7145,,,0.598,0.3699,0.612,0.3599,0.598,0.3699,1.2728,0.6876,,,0.6024,0.3682,0.6143,0.358,0.6024,0.3682,1.2677,0.6717,,
traffic,96,336,0.6052,0.3732,0.6222,0.3661,0.6052,0.3732,1.6159,0.837,,,0.6142,0.3753,0.6302,0.3677,0.6142,0.3753,1.6234,0.8413,,,0.6048,0.3723,0.6192,0.3624,0.6048,0.3723,1.5959,0.8307,,,0.6143,0.3747,0.6283,0.3653,0.6143,0.3747,1.596,0.8245,,
traffic,96,720,0.6456,0.395,0.6624,0.3895,0.6456,0.395,1.8089,0.9249,,,0.6647,0.4015,0.6877,0.3977,0.6647,0.4015,1.8049,0.9229,,,0.6453,0.3937,0.6572,0.3827,0.6453,0.3937,1.7961,0.9178,,,0.6648,0.4005,0.6831,0.3921,0.6648,0.4005,1.8041,0.9185,,
weather,96,96,0.195,0.2533,0.5739,0.4134,0.195,0.2533,0.2317,0.2681,,,0.1943,0.2514,0.5689,0.4106,0.1943,0.2514,0.2316,0.2678,,,0.1942,0.2514,0.47,0.3694,0.1942,0.2514,0.2271,0.2743,,,0.1936,0.2495,0.4665,0.3665,0.1936,0.2495,0.2273,0.2739,,
weather,96,192,0.2355,0.2924,0.8136,0.5106,0.2355,0.2924,0.2978,0.3223,,,0.2337,0.291,0.7951,0.5026,0.2337,0.291,0.2931,0.3211,,,0.2344,0.2899,0.6335,0.445,0.2344,0.2899,0.288,0.3239,,,0.2328,0.2886,0.621,0.4378,0.2328,0.2886,0.2841,0.3224,,
weather,96,336,0.2813,0.3303,1.0552,0.5982,0.2813,0.3303,0.3711,0.3744,,,0.2749,0.3299,1.0101,0.584,0.2749,0.3299,0.3575,0.3708,,,0.2798,0.3274,0.846,0.5337,0.2798,0.3274,0.3467,0.3653,,,0.2737,0.3271,0.8105,0.521,0.2737,0.3271,0.3352,0.3624,,
weather,96,720,0.3451,0.3806,1.2552,0.6839,0.3451,0.3806,0.4305,0.4146,,,0.3285,0.3779,1.1991,0.6514,0.3285,0.3779,0.404,0.4075,,,0.3423,0.3764,1.1519,0.6528,0.3423,0.3764,0.4336,0.4191,,,0.3268,0.3741,1.0984,0.6211,0.3268,0.3741,0.402,0.4088,,
