dataset,pred_len,NN_OLS_mse,NN_OLS_mae,NN_OLS-revin_mse,NN_OLS-revin_mae,NR_OLS_mse,NR_OLS_mae,NR_OLS-revin_mse,NR_OLS-revin_mae,RN_OLS_mse,RN_OLS_mae,RN_OLS-revin_mse,RN_OLS-revin_mae,RR_OLS_mse,RR_OLS_mae,RR_OLS-revin_mse,RR_OLS-revin_mae
ETTh1,96,0.3814801240542964,0.3929667859875138,0.3877805307048282,0.3951896230633527,0.3800433139060087,0.3919174718322504,0.3861475104045938,0.3941205070624773,0.3807556644828804,0.3932840289915889,0.3849447390529718,0.394371059277312,0.3793783089051643,0.3920820966340917,0.384686281552737,0.3941213803777332
ETTh1,192,0.4318271926181752,0.424339147092337,0.441069516182786,0.4260918135529075,0.4326878007009845,0.42142150500108,0.4414641588067448,0.4246950629884016,0.4302212216532098,0.4238965023147442,0.4341594132265543,0.4224134877952909,0.4303737570398181,0.4208314512417548,0.4360205642409049,0.423736614378568
ETTh1,336,0.475388963731009,0.4506262692043437,0.4863167475362365,0.4512429967841456,0.4803552513727301,0.4449316903970243,0.4896081699092814,0.447700782037045,0.4714422614365709,0.4479407427927041,0.4715157974478554,0.4406437233971702,0.4755604386416044,0.4429130796159751,0.4840750748225708,0.4488102946573011
ETTh1,720,0.5000009760985757,0.4969451622474762,0.487736560739837,0.476157852259817,0.503505632036233,0.4727230721230731,0.5054957343445979,0.4680321810088074,0.4802374207357408,0.480889107996215,0.4496993904738839,0.4475333774994612,0.4946958765769658,0.4666486882998535,0.5349604785739234,0.4905604852513713
ETTh2,96,0.3405435676928283,0.3933642669185136,0.3836778179515689,0.4033278817240718,0.3436265067262419,0.3974299004068499,0.3868333122904128,0.4074589327133692,0.3428101083265554,0.3949276776631331,0.3426978072420585,0.3743160086989507,0.345909164925231,0.3989568915617149,0.3414356086924678,0.3752784190941909
ETTh2,192,0.4689830430004011,0.4697772665540426,0.8629460838396449,0.6282289809629799,0.4681574688375992,0.4765496493300096,0.9145200888257464,0.6407688208028548,0.481550343348584,0.4767321928688138,0.4996567392136108,0.4606632460156998,0.4804778281215179,0.4832010528768941,0.4841666124827012,0.4627149010359055
ETTh2,336,0.5845319827634773,0.5348068150059789,2.140319257108673,1.020558171699907,0.578093636259079,0.5437078322447643,2.5591705471444985,1.110123823833273,0.6289175046434637,0.5558555769817503,0.5059719946488119,0.4716764488008424,0.6200279227829898,0.5633532706136664,0.5122490794618839,0.4871420422118033
ETTh2,720,0.8104608639473379,0.6480298931526445,5.322574292908107,1.5346857462693049,0.8369902848937434,0.6631119235646167,7.125882954190162,1.805573997795868,0.9396686507423396,0.6972136261366219,0.6831219872494032,0.563395649617041,0.9640571992090924,0.7124231493448465,0.8287069294646427,0.6493795122359453
ETTm1,96,0.3445113749611911,0.3713999112809146,0.554379438188006,0.4829419128772528,0.3467075546825424,0.3720516828205151,0.5569451125354166,0.4815538439635479,0.3448019857916967,0.3717919332787814,0.6308674700157745,0.5183826059758597,0.3470090945339764,0.3724262759688146,0.6337182629632185,0.5203293420535068
ETTm1,192,0.38086127153255,0.3897867997632719,1.1232996970776772,0.7182650078550796,0.3841789914454893,0.3917482160242351,1.118306802104032,0.7146968547658188,0.3809772292417238,0.3900958520154347,1.407420088891209,0.8084408079347009,0.3843457080948239,0.3919946573641324,1.3984370988528347,0.8052812808131999
ETTm1,336,0.4124151215066102,0.4119688438154714,1.6147451182894392,0.8927433788962155,0.4191372080359899,0.4130985188523042,1.5953497568706765,0.8859064796891055,0.4125262342583425,0.4120758812502939,1.9803252414277417,0.99691864321959,0.419232224250175,0.4130656967003002,1.9541166452425336,0.9887361306634672
ETTm1,720,0.4710537215784853,0.4483448827202737,1.5093266770400935,0.8803305729593247,0.4842606189434197,0.4480617918838175,1.4806386232974602,0.8660972177972941,0.4705587983107813,0.4475337263388072,2.522943699855279,1.16942021080269,0.4835124034151342,0.447020265078995,2.4598152867240657,1.143963010712397
ETTm2,96,0.1979340029975327,0.2972914725463918,0.1877804780116398,0.2661072143998608,0.198582307078238,0.2975577898871172,0.1893842797594535,0.2681796296861021,0.1992053758936126,0.2987458652903643,0.2508362527875521,0.3258578610567557,0.1998613677212344,0.2989417098893661,0.2566059165840976,0.3263206531393314
ETTm2,192,0.2882235720064894,0.3640000220046231,0.2629625745513069,0.3152020012033453,0.2891655595883149,0.3628348601033531,0.2623326746960938,0.3182641059469586,0.2904148296023252,0.3658291301518607,0.4816109297856533,0.4723670247068795,0.2913616052876938,0.3645717542150403,0.4915833814166459,0.4670977636266029
ETTm2,336,0.3892003210510681,0.4310135027743191,0.3482448279244892,0.3715551942969416,0.3905345580414141,0.4301953306148074,0.3474301683130715,0.3737195817757265,0.3924259853146336,0.4331442911590248,0.621618482464167,0.5484009368752105,0.393749445001072,0.4322779177756853,0.6280859988291483,0.5429096628941322
ETTm2,720,0.5567356044643684,0.5237269916239066,0.9557278499274152,0.638431893928852,0.564651082369348,0.5309351277175638,0.9599219202406564,0.6427622915999582,0.5628065727613996,0.5270562869117548,0.921483851626121,0.6740231140101834,0.5707064955676765,0.5341516907855548,0.9330288019337172,0.6777639360479004
electricity,96,0.1945653911502309,0.2774011741833414,0.2024668743560796,0.2841571718454435,0.1915120745164011,0.2766755524743667,0.2014559420822646,0.285160320669957,0.1944807603122161,0.2772194966008173,0.2024482875188087,0.2841754527418573,0.1915115183658456,0.2765447200801124,0.2015051386695706,0.2851822515205788
electricity,192,0.1938402293569773,0.2802755338096012,0.2045282995175898,0.2902370405496214,0.1902178328031109,0.2791801141208965,0.2044953973770857,0.2917446280242026,0.1937740137194246,0.2802141967999547,0.2067825818908873,0.2936760674093622,0.1902302513284864,0.2791424260018497,0.2070050510807168,0.2952650362080484
electricity,336,0.2067783432583612,0.2960530579105049,0.2211476053772879,0.3080983132350046,0.2048988961129787,0.2952113093926637,0.2259239546895732,0.3126264185415716,0.2065540840081695,0.2958794184643792,0.228827555913615,0.3184329738957995,0.204891707660944,0.2951671436655043,0.2348344569223339,0.3236795221631175
electricity,720,0.2423158813166889,0.3292184011214843,0.268528943337789,0.3465994376233792,0.2366602223832742,0.3230871629582419,0.2680315359372629,0.3437808857266952,0.2419093556011839,0.3290706374656569,0.3016742324146277,0.3822235810956149,0.2363799619324365,0.3228250999481158,0.3020533067491063,0.3784422412150857
exchange_rate,96,0.0802464999170322,0.202160142603275,0.087426774807812,0.2066104999454276,0.1007151774739254,0.2204502127085447,0.0914012835243041,0.2072467575064931,0.0825076328318847,0.2067780757946812,0.0845726407117489,0.2004159812723334,0.1095029644860694,0.2318032753312708,0.0806508916737034,0.1955604083237092
exchange_rate,192,0.1659577851668483,0.3002952827733089,0.1844685081394143,0.3106698796628809,0.2552397343854352,0.3609596607546399,0.2119358980178111,0.3162349313881083,0.1774759108616186,0.3128652956112823,0.1702742364869079,0.2918961912269008,0.2903883206969996,0.3886627943134976,0.1739001759805565,0.2912106792876985
exchange_rate,336,0.3024518382614224,0.4120847569928778,0.3316646785483212,0.4213934725364593,0.5408210633540828,0.5508692471191082,0.3766873682087887,0.434186811057599,0.3388239579434019,0.4381231641586926,0.3131098893283102,0.4032638142372558,0.6257735268602578,0.5948210527304999,0.319705059704009,0.4069371151579105
exchange_rate,720,0.8297614958058462,0.6821429652234731,0.8199765683042932,0.667880496092293,1.745060766959535,1.021575956756713,0.9037089195860606,0.6941311145438078,0.9044981758716064,0.7199264835699793,0.9952081262913972,0.7418636668537945,1.9609136524765456,1.0953951355313212,0.6969611178011748,0.6374248754789085
traffic,96,0.648631942461111,0.3960947061173274,0.6628450386313758,0.3856493782984092,0.6548172086194494,0.3970714131223929,0.66795106619036,0.38689793484742,0.6481967387316556,0.39535670860272,0.6607063403596816,0.3827689293395526,0.65466000975808,0.3963342281573914,0.6664588797561981,0.3847699726518303
traffic,192,0.598342341433408,0.3704324417951998,0.6146869902506233,0.3624307932895658,0.6023170376600553,0.3685749687767425,0.6160829406411491,0.3593326976560939,0.5980168431964856,0.3698641549960888,0.6120241874639759,0.3599198024349429,0.6024029247148405,0.3682229432342873,0.614275442268271,0.3579689703038641
