source,model,case,lr_tag,group,series_count,smape,mase,owa,naive_smape,naive_mase,forecast_dir
deep_tsl,GRU,RN,lr0p001,Monthly,48000,62.471942,7.317415,5.605837,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_tsl,GRU,RN,lr0p001,Others,5000,53.900343,54.974799,14.341565,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_tsl,GRU,RN,lr0p001,Average,100000,77.212558,13.804694,6.456019,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_tsl,GRU,RR,lr0p001,Yearly,23000,107.764993,21.109026,5.952795,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_tsl,GRU,RR,lr0p001,Quarterly,24000,82.271083,11.202164,7.819926,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_tsl,GRU,RR,lr0p001,Monthly,48000,62.471942,7.317415,5.605837,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_tsl,GRU,RR,lr0p001,Others,5000,53.900975,54.975618,14.34176,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_tsl,GRU,RR,lr0p001,Average,100000,77.212589,13.804735,6.456031,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_tsl,PatchTST,NN,lr0p0001,Yearly,23000,26.810736,6.330994,1.616772,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_tsl,PatchTST,NN,lr0p0001,Quarterly,24000,10.334432,1.220543,0.914258,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_tsl,PatchTST,NN,lr0p0001,Monthly,48000,13.086713,0.974794,0.911911,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_tsl,PatchTST,NN,lr0p0001,Others,5000,5.558274,3.638902,1.158634,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_tsl,PatchTST,NN,lr0p0001,Average,100000,15.206269,2.398905,1.187827,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
