case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse_revin,mae_revin,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,mse_ols,mae_ols,mse_revin_vs_ols,mae_revin_vs_ols
RN,ETTh2,96,96,M,True,False,7,8449,2785,0.3426978072420585,0.3743160086989507,0.289,0.353,1.1858055613912062,1.0603852937647331,0.2134296250296756,checkpoints/revin_ols/revin_ols_RN_ETTh2_s96_p96_M.npz,0.3428101083265554,0.3949276776631331,0.9996724102301269,0.9478090036987386
RN,ETTh2,96,192,M,True,False,7,8353,2689,0.4996567392136108,0.4606632460156998,0.383,0.418,1.304586786458514,1.1020651818557412,0.2444720829371363,checkpoints/revin_ols/revin_ols_RN_ETTh2_s96_p192_M.npz,0.481550343348584,0.4767321928688138,1.037600213799287,0.9662935562282536
RN,ETTh2,96,336,M,True,False,7,8209,2545,0.5059719946488119,0.4716764488008424,0.448,0.465,1.1294017737696695,1.0143579544104138,0.2904113329714164,checkpoints/revin_ols/revin_ols_RN_ETTh2_s96_p336_M.npz,0.6289175046434637,0.5558555769817503,0.8045125011040197,0.8485593530643454
RN,ETTh2,96,720,M,True,False,7,7825,2161,0.6831219872494032,0.563395649617041,0.605,0.551,1.1291272516519062,1.0224966417732142,0.368183417012915,checkpoints/revin_ols/revin_ols_RN_ETTh2_s96_p720_M.npz,0.9396686507423396,0.6972136261366219,0.7269817788533605,0.8080674681286871
NR,ETTh2,96,96,M,False,True,7,8449,2785,0.3868333122904128,0.4074589327133692,0.289,0.353,1.3385235719391446,1.1542745969217258,0.2153830829774961,checkpoints/revin_ols/revin_ols_NR_ETTh2_s96_p96_M.npz,0.3436265067262419,0.3974299004068499,1.1257376969425488,1.0252347201261218
NR,ETTh2,96,192,M,False,True,7,8353,2689,0.9145200888257464,0.6407688208028548,0.383,0.418,2.387780910772184,1.5329397626862555,0.215185459004715,checkpoints/revin_ols/revin_ols_NR_ETTh2_s96_p192_M.npz,0.4681574688375992,0.4765496493300096,1.9534454744392589,1.3446003406019165
NR,ETTh2,96,336,M,False,True,7,8209,2545,2.5591705471444985,1.110123823833273,0.448,0.465,5.71243425701897,2.3873630620070383,0.2903707920340821,checkpoints/revin_ols/revin_ols_NR_ETTh2_s96_p336_M.npz,0.578093636259079,0.5437078322447643,4.426913542424083,2.041765371026551
NR,ETTh2,96,720,M,False,True,7,7825,2161,7.125882954190162,1.805573997795868,0.605,0.551,11.778318932545725,3.276903807252028,0.2890510000288486,checkpoints/revin_ols/revin_ols_NR_ETTh2_s96_p720_M.npz,0.8369902848937434,0.6631119235646167,8.513698525299848,2.722879703459177
RR,ETTh2,96,96,M,True,True,7,8449,2785,0.3414356086924678,0.3752784190941909,0.289,0.353,1.181438092361481,1.0631116688220703,0.2206980410264805,checkpoints/revin_ols/revin_ols_RR_ETTh2_s96_p96_M.npz,0.345909164925231,0.3989568915617149,0.987067251503064,0.9406490451265682
RR,ETTh2,96,192,M,True,True,7,8353,2689,0.4841666124827012,0.4627149010359055,0.383,0.418,1.2641425913386457,1.1069734474543196,0.2564585000509396,checkpoints/revin_ols/revin_ols_RR_ETTh2_s96_p192_M.npz,0.4804778281215179,0.4832010528768941,1.0076773248322508,0.9576032549618474
RR,ETTh2,96,336,M,True,True,7,8209,2545,0.5122490794618839,0.4871420422118033,0.448,0.465,1.143413123798848,1.047617295079147,0.2649464169517159,checkpoints/revin_ols/revin_ols_RR_ETTh2_s96_p336_M.npz,0.6200279227829898,0.5633532706136664,0.8261709846270447,0.8647185835650774
RR,ETTh2,96,720,M,True,True,7,7825,2161,0.8287069294646427,0.6493795122359453,0.605,0.551,1.369763519776269,1.1785472091396465,0.3223367079626769,checkpoints/revin_ols/revin_ols_RR_ETTh2_s96_p720_M.npz,0.9640571992090924,0.7124231493448465,0.8596034863330824,0.9115081575228472
NN,ETTm1,96,96,M,False,False,7,34369,11425,0.554379438188006,0.4829419128772528,0.299,0.343,1.8541118334047024,1.4079939150940313,0.6756825000047684,checkpoints/revin_ols/revin_ols_NN_ETTm1_s96_p96_M.npz,0.3445113749611911,0.3713999112809146,1.60917600543801,1.3003285628465633
