case,mean_mse,median_mse,mean_mae,median_mae,count
NN,0.9137436646998557,0.6184592763543155,0.5542402499630987,0.43866740516852654,36
NR,0.9514403380798763,0.6231167285772424,0.5700715720805315,0.44094379654732196,36
RN,0.8116767196826354,0.6155950007871527,0.5435635075436255,0.4462754000474557,36
RR,0.6784473564749387,0.6176612616154371,0.5053895823009006,0.45576259784660333,36
