case,mean_mse_ratio,median_mse_ratio,better_mse_count,count
NR,1.0140367819592795,1.0033296729859067,16,36
RN,1.0314682226708198,0.9953705064899894,21,36
RR,0.9565658038853084,0.9902867756965132,22,36
