case,mean_mse_ratio,median_mse_ratio,mean_mae_ratio,better_mse_count,count
NN,1.7510797614118754,1.0623148458858553,1.226374764653563,9,36
NR,1.9565040962983586,1.1141747827038375,1.3005666901810085,7,36
RN,1.5806359838777801,1.0313141483827617,1.1950519210781103,10,36
RR,1.594420279499866,1.117160473718326,1.1996277586117037,7,36
