analysis,case,metric,target,pearson,spearman,n
revin_minus_ols_reversal_effect,NR,reverse_similarity_gain,delta,-0.06892492540431834,-0.06666666666666667,9
revin_minus_ols_reversal_effect,RN,trend_r2,delta,-0.046062524787671186,0.09999999999999999,9
revin_minus_ols_reversal_effect,RN,trend_slope_abs,delta,-0.044271715427580925,0.09999999999999999,9
revin_minus_ols_reversal_effect,RN,lag1_autocorr,delta,0.1613269819461878,0.33333333333333337,9
revin_minus_ols_reversal_effect,RN,period_autocorr,delta,-0.04547541161616732,0.0,9
revin_minus_ols_reversal_effect,RN,roughness_std_diff,delta,-0.1204466270598738,-0.049999999999999996,9
revin_minus_ols_reversal_effect,RN,train_test_mean_shift,delta,-0.11261036581873801,-0.09999999999999999,9
revin_minus_ols_reversal_effect,RN,train_test_scale_shift,delta,-0.1645200903386437,-0.16666666666666669,9
revin_minus_ols_reversal_effect,RN,forward_similarity,delta,0.12748966585671181,0.19999999999999998,9
revin_minus_ols_reversal_effect,RN,reverse_similarity,delta,-0.0029923290067886254,-0.03333333333333333,9
revin_minus_ols_reversal_effect,RN,reverse_similarity_gain,delta,-0.07736472439105045,-0.21666666666666667,9
revin_minus_ols_reversal_effect,RR,trend_r2,delta,-0.16015657364702654,0.13333333333333333,9
revin_minus_ols_reversal_effect,RR,trend_slope_abs,delta,-0.15996710645379897,0.13333333333333333,9
revin_minus_ols_reversal_effect,RR,lag1_autocorr,delta,-0.1363856003905965,0.19999999999999998,9
revin_minus_ols_reversal_effect,RR,period_autocorr,delta,-0.4546144274165648,-0.13333333333333333,9
revin_minus_ols_reversal_effect,RR,roughness_std_diff,delta,0.3108388701631225,0.03333333333333333,9
revin_minus_ols_reversal_effect,RR,train_test_mean_shift,delta,-0.36278659760553106,-0.16666666666666669,9
revin_minus_ols_reversal_effect,RR,train_test_scale_shift,delta,-0.09828523252408367,0.03333333333333333,9
revin_minus_ols_reversal_effect,RR,forward_similarity,delta,0.2738610774894131,0.3666666666666667,9
revin_minus_ols_reversal_effect,RR,reverse_similarity,delta,-0.40705688999034617,-0.13333333333333333,9
revin_minus_ols_reversal_effect,RR,reverse_similarity_gain,delta,-0.4147667005019036,-0.35,9
