dataset,case,revin_vs_ols_mse,revin_vs_ols_mae,channels,train_rows,test_rows,known_period,trend_r2,trend_slope_abs,lag1_autocorr,period_autocorr,roughness_std_diff,train_test_mean_shift,train_test_scale_shift,forward_similarity,reverse_similarity,reverse_similarity_gain,NR_mse_ratio,NR_mae_ratio,RN_mse_ratio,RN_mae_ratio,RR_mse_ratio,RR_mae_ratio
ETTh1,NN,1.0090941928128592,0.9923313269445079,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh1,NR,1.014890086012105,1.002422393089456,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh1,RN,0.9891806038084041,0.9784031710956257,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh1,RR,1.0316022516240484,1.0191651758115552,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh2,NN,3.2989093364145834,1.6597819415220207,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTh2,NR,4.004948809776435,1.7836200338034416,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTh2,RN,0.8921917259966985,0.8926823452800061,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTh2,RR,0.9201297618238604,0.9186197602940851,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTm1,NN,2.919508032156383,1.8183924579311173,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm1,NR,2.8452696639612842,1.799056093621762,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm1,RN,3.921490544932743,2.124747434269218,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm1,RR,3.803321209466884,2.1010473976496344,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm2,NN,1.1181231608046551,0.9605278890492686,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
ETTm2,NR,1.112635314442941,0.9644431102060214,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
ETTm2,RN,1.5347201318390638,1.2317283550062226,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
ETTm2,RR,1.55028013174291,1.224399281998798,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
electricity,NN,1.0683544663931057,1.0383443585382857,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
electricity,NR,1.0905380684706338,1.0496784697841406,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
electricity,RN,1.1157473311819208,1.0777207864030176,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
electricity,RR,1.1410833481163924,1.0894678472215693,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
exchange_rate,NN,1.071452692517992,1.014560749689655,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
exchange_rate,NR,0.73805996870463,0.8209643895129795,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
exchange_rate,RN,1.0022113103046604,0.9632789269557647,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
exchange_rate,RR,0.5504235724223737,0.7147395265282837,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
illness,NN,0.8017391252348831,0.8270218581014788,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
illness,NR,2.3628679234962124,1.5913850158449354,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
illness,RN,0.8707899097042713,0.9229678660671987,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
illness,RR,1.4808886833606043,1.1952556271029324,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
