dataset,case,revin_case_vs_nn,ols_case_vs_nn,delta,channels,train_rows,test_rows,known_period,trend_r2,trend_slope_abs,lag1_autocorr,period_autocorr,roughness_std_diff,train_test_mean_shift,train_test_scale_shift,forward_similarity,reverse_similarity,reverse_similarity_gain,NR_mse_ratio,NR_mae_ratio,RN_mse_ratio,RN_mae_ratio,RR_mse_ratio,RR_mae_ratio
ETTh1,NR,1.0099657528133401,1.003920655659853,0.0060450971534871945,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh1,RN,0.9671496271859683,0.9866382073056598,-0.019488580119691484,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh1,RR,1.0181966629789385,0.9952187783501514,0.02297788462878722,7,8640,2976,24,0.0957941445319415,0.8030949458209767,0.9276391801978248,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.2145973528088259,0.1689105837165626,-0.0456867690922632,1.0039206556598528,0.982268755430358,0.9866382073056597,0.990373777886564,0.9952187783501514,0.9778501023350696
ETTh2,NR,1.150622231910869,1.0072529648439172,0.1433692670669518,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTh2,RN,0.45923720828293957,1.067202772052595,-0.6079655637696553,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTh2,RR,0.46149848725874587,1.072627170094298,-0.6111286828355521,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006376,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.0230001809888228,0.1918166231803493,0.2148168041691721,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTm1,NR,0.9922911426793215,1.0148555275511089,-0.022564384871787496,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm1,RN,1.3222186059032124,1.0000916884434963,0.322126917459716,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm1,RR,1.3069908574375813,1.0148442793030679,0.29214657813451334,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.97501273116486,0.7719233948822123,0.2089329534764157,0.4283335739384712,0.5249228522244047,0.212986035698366,0.1985539804727993,-0.0144320552255666,1.0148555275511089,1.002224413051274,1.0000916884434965,1.0000747488781334,1.014844279303068,1.002033944207816
ETTm2,NR,1.0020486144673426,1.0060473545750692,-0.003998740107726717,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
ETTm2,RN,1.4791124919978071,1.0083045890941795,0.47080790290362773,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
ETTm2,RR,1.5039376270130524,1.0143518990921179,0.4895857279209345,7,34560,11616,96,0.2880693911876865,2.100131188353991,0.9900034093958928,0.8855246122202743,0.1556097399065669,1.291106332801773,0.6679696984797255,-0.0119290153064108,0.1652644449779026,0.1771934602843135,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.014351899092118,1.007490005026702
electricity,NR,1.003647932470787,0.983297559768074,0.020350372702713004,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
electricity,RN,1.0422726519036596,0.9991153048436365,0.04315734706002319,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
electricity,RR,1.0485235287341794,0.9830150227589745,0.06550850597520483,321,18412,5356,24,0.0251709517024506,0.3695662612985561,0.9076981621306116,0.8793201245018079,0.4190198767922367,0.1962228458230389,0.1867164455636664,0.2821407874328839,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159592,0.9991153048436364,0.9995227202636944,0.9830150227589745,0.9926144230080504
