epoch,train_mse,val_mse
1,1.2194423708915711,0.2334025651216507
2,1.1747303002675373,0.23454397916793823
3,1.139193301518758,0.23335331678390503
4,1.131248284180959,0.23292480409145355
5,1.1266569588979085,0.23424863815307617
6,1.125532066186269,0.23281852900981903
7,1.1298733183542888,0.23508135974407196
8,1.1227036502361298,0.23272943496704102
9,1.1221542774836222,0.23449735343456268
10,1.1194096372922262,0.2332082986831665
11,1.1191396188735963,0.23311486840248108
12,1.1162249053319295,0.23243600130081177
13,1.1160367981592814,0.23566675186157227
14,1.1166444050470987,0.23190459609031677
15,1.1147063325246176,0.2356225997209549
16,1.1115508941014607,0.23553048074245453
17,1.1138636283874512,0.23224346339702606
18,1.111760997136434,0.23601187765598297
