metric,target,pearson,spearman
trend_r2,RN_mse_ratio,0.7809949131755869,0.7333333333333334
trend_r2,NR_mse_ratio,-0.11735762606917842,-0.13333333333333333
trend_r2,RR_mse_ratio,-0.02740839132328227,0.03333333333333333
trend_r2,RN_mae_ratio,0.7848082215163595,0.75
trend_r2,NR_mae_ratio,-0.19316764262350408,0.03333333333333333
trend_r2,RR_mae_ratio,-0.10986832624471808,0.11666666666666665
trend_slope_abs,RN_mse_ratio,0.8063279262949273,0.7333333333333334
trend_slope_abs,NR_mse_ratio,-0.1527715448810129,-0.13333333333333333
trend_slope_abs,RR_mse_ratio,-0.0581706245569385,0.03333333333333333
trend_slope_abs,RN_mae_ratio,0.8086671644715249,0.75
trend_slope_abs,NR_mae_ratio,-0.2367845499490372,0.03333333333333333
trend_slope_abs,RR_mae_ratio,-0.15040964310209398,0.11666666666666665
lag1_autocorr,RN_mse_ratio,0.6047484050689811,0.7166666666666667
lag1_autocorr,NR_mse_ratio,0.11025908840236393,0.3
lag1_autocorr,RR_mse_ratio,0.18081157240200685,0.33333333333333337
lag1_autocorr,RN_mae_ratio,0.6420038183224954,0.75
lag1_autocorr,NR_mae_ratio,0.03145614564401476,0.2833333333333333
lag1_autocorr,RR_mae_ratio,0.10195655990989927,0.41666666666666663
period_autocorr,RN_mse_ratio,0.2724625008767794,0.43333333333333335
period_autocorr,NR_mse_ratio,0.7202477100099047,0.5333333333333333
period_autocorr,RR_mse_ratio,0.7420979815879141,0.65
period_autocorr,RN_mae_ratio,0.34252063756223,0.48333333333333334
period_autocorr,NR_mae_ratio,0.6985913041025157,0.5833333333333334
period_autocorr,RR_mae_ratio,0.7363636405278643,0.75
roughness_std_diff,RN_mse_ratio,-0.45726100159442024,-0.6
roughness_std_diff,NR_mse_ratio,-0.39271767838586064,-0.35
roughness_std_diff,RR_mse_ratio,-0.44699438685779364,-0.41666666666666663
roughness_std_diff,RN_mae_ratio,-0.48576243966266097,-0.6166666666666666
roughness_std_diff,NR_mae_ratio,-0.3227800881347299,-0.5
roughness_std_diff,RR_mae_ratio,-0.37812821447983386,-0.5666666666666667
train_test_mean_shift,RN_mse_ratio,0.8208326831131659,0.7833333333333333
train_test_mean_shift,NR_mse_ratio,0.11078634820815628,0.26666666666666666
train_test_mean_shift,RR_mse_ratio,0.20586352482938136,0.43333333333333335
train_test_mean_shift,RN_mae_ratio,0.829307847184337,0.7999999999999999
train_test_mean_shift,NR_mae_ratio,0.02207298252513316,0.43333333333333335
train_test_mean_shift,RR_mae_ratio,0.1118377156244306,0.5166666666666667
train_test_scale_shift,RN_mse_ratio,0.05235621408105866,-0.08333333333333334
train_test_scale_shift,NR_mse_ratio,0.022793513393389864,-0.16666666666666669
train_test_scale_shift,RR_mse_ratio,0.025252209070376,-0.049999999999999996
train_test_scale_shift,RN_mae_ratio,-0.0035592421488729008,-0.06666666666666667
train_test_scale_shift,NR_mae_ratio,0.051133258252652,0.11666666666666665
train_test_scale_shift,RR_mae_ratio,0.04913625201693395,0.11666666666666665
forward_similarity,RN_mse_ratio,-0.665457565460084,-0.6333333333333333
forward_similarity,NR_mse_ratio,0.15563104777083164,-0.09999999999999999
forward_similarity,RR_mse_ratio,0.06880153519117878,-0.09999999999999999
forward_similarity,RN_mae_ratio,-0.6461209844220965,-0.5333333333333333
forward_similarity,NR_mae_ratio,0.262815913397433,-0.25
forward_similarity,RR_mae_ratio,0.19140328007360008,-0.11666666666666665
reverse_similarity,RN_mse_ratio,0.6721923645102994,0.7166666666666667
reverse_similarity,NR_mse_ratio,0.26133731520377856,0.2333333333333333
reverse_similarity,RR_mse_ratio,0.3450750518467676,0.2833333333333333
reverse_similarity,RN_mae_ratio,0.6956381358695644,0.7
reverse_similarity,NR_mae_ratio,0.1365452239400848,0.16666666666666669
reverse_similarity,RR_mae_ratio,0.21879457988165749,0.16666666666666669
reverse_similarity_gain,RN_mse_ratio,0.8112060317792466,0.8499999999999999
reverse_similarity_gain,NR_mse_ratio,0.06997724412782307,0.16666666666666669
reverse_similarity_gain,RR_mse_ratio,0.17336054095027154,0.2833333333333333
reverse_similarity_gain,RN_mae_ratio,0.8143010417032189,0.7999999999999999
reverse_similarity_gain,NR_mae_ratio,-0.07093496808322601,0.43333333333333335
reverse_similarity_gain,RR_mae_ratio,0.022393903399217187,0.39999999999999997
