dataset,channels,train_rows,test_rows,known_period,trend_r2,trend_slope_abs,lag1_autocorr,period_autocorr,roughness_std_diff,train_test_mean_shift,train_test_scale_shift,forward_similarity,reverse_similarity,reverse_similarity_gain,NR_mse_ratio,NR_mae_ratio,RN_mse_ratio,RN_mae_ratio,RR_mse_ratio,RR_mae_ratio
ETTh1,7,8640,2976,24,0.09579414453194156,0.8030949458209767,0.9276391801978249,0.7764143934204837,0.3588434464912672,0.4278307136080551,0.5190776480919236,0.21459735280882594,0.16891058371656267,-0.04568676909226327,1.0039206556598528,0.982268755430358,0.9866382073056597,0.9903737778865641,0.9952187783501514,0.9778501023350695
ETTh2,7,8640,2976,24,0.2896393070358571,2.1113159362646727,0.9738371077006375,0.8847152499511031,0.2560875290091404,1.3005130579151156,0.6613550677380575,-0.023000180988822876,0.1918166231803493,0.21481680416917218,1.0072529648439172,1.0161671975626718,1.067202772052595,1.0335085513594973,1.072627170094298,1.0488842670667302
ETTm1,7,34560,11616,96,0.0963735876683095,0.8094743231651187,0.9750127311648599,0.7719233948822123,0.20893295347641574,0.42833357393847127,0.5249228522244047,0.212986035698366,0.19855398047279937,-0.01443205522556662,1.0148555275511089,1.0022244130512739,1.0000916884434963,1.0000747488781334,1.0148442793030679,1.002033944207816
ETTm2,7,34560,11616,96,0.28806939118768654,2.100131188353991,0.9900034093958928,0.8855246122202743,0.15560973990656699,1.2911063328017727,0.6679696984797255,-0.011929015306410853,0.16526444497790266,0.17719346028431351,1.0060473545750692,1.0023899305069195,1.0083045890941793,1.0053044412252792,1.0143518990921179,1.007490005026702
electricity,321,18412,5356,24,0.025170951702450674,0.36956626129855613,0.9076981621306117,0.8793201245018079,0.41901987679223673,0.19622284582303898,0.1867164455636664,0.28214078743288395,-0.256360543033314,-0.538501330466198,0.983297559768074,0.9930022484159591,0.9991153048436365,0.9995227202636945,0.9830150227589745,0.9926144230080505
exchange_rate,8,5311,1613,7,0.24023717648402595,1.8677563230496927,0.9987461226941619,0.9932859283208513,0.05600249343014752,1.444859870170289,0.4779271956568266,-0.25837479629210486,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764925,1.8866456320957252,1.3725396852849567
traffic,862,12280,3604,24,0.008785753767613716,0.23941514360861077,0.840167987955388,0.7408948895957533,0.5746659060939571,0.14942886236641773,0.1468840846993174,-0.2379293538866222,-0.21107465462854266,0.02685469925807954,1.0151536053261434,1.0049439672670486,0.9994193844342749,0.997742438239333,1.0152371987209414,1.003158815039685
weather,21,36887,10635,144,0.03923223222298029,0.5008875139319284,0.8918655796426539,0.6085359983796411,0.2601478953665244,0.4212725780518948,0.9068202844539273,-0.04903607178790966,-0.014719929719353006,0.034316142068556654,0.9795966011254958,0.9947360850042938,0.9944362802894884,0.9909477541256064,0.9753203117992454,0.9862583693684243
illness,7,676,297,52,0.29650052526008197,2.3706673681743253,0.974236814915862,0.6309064293771919,0.30132482532128335,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.27770076640124897,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.28764344856831653,0.5384460978700117
