epoch,train_mse,val_mse
1,0.7861233241558075,0.252070814371109
2,0.26258994050820667,0.18836310505867004
3,0.21208096690972647,0.15592412650585175
4,0.18993164459864298,0.14165249466896057
5,0.17932323980331422,0.13400620222091675
6,0.17206246109803516,0.12620849907398224
7,0.16346773584683735,0.1170925498008728
8,0.1537655063867569,0.10863439738750458
9,0.14446096046765644,0.10131499916315079
10,0.13764652729034424,0.09644315391778946
11,0.13342676297823589,0.09342856705188751
12,0.13102350719769795,0.09168601781129837
13,0.12916287499666215,0.09004443138837814
14,0.1270211844841639,0.08846136182546616
15,0.1251936630407969,0.08686051517724991
16,0.12324932567278545,0.08516040444374084
17,0.12125834957758586,0.08409588783979416
18,0.12001429826021194,0.08414141088724136
